date,realtime_start,realtime_end,value
1968-01-01,2018-10-13,2018-10-13,5.13333333333333
1968-04-01,2018-10-13,2018-10-13,5.31666666666667
1968-07-01,2018-10-13,2018-10-13,5.08333333333333
1968-10-01,2018-10-13,2018-10-13,4.93333333333333
1969-01-01,2018-10-13,2018-10-13,5.11666666666667
1969-04-01,2018-10-13,2018-10-13,5.6
1969-07-01,2018-10-13,2018-10-13,5.9
1969-10-01,2018-10-13,2018-10-13,5.65
1970-01-01,2018-10-13,2018-10-13,6.41666666666667
1970-04-01,2018-10-13,2018-10-13,8.8
1970-07-01,2018-10-13,2018-10-13,6.85
1970-10-01,2018-10-13,2018-10-13,6.36666666666667
1971-01-01,2018-10-13,2018-10-13,7.4
1971-04-01,2018-10-13,2018-10-13,7.91666666666667
1971-07-01,2018-10-13,2018-10-13,6.65
1971-10-01,2018-10-13,2018-10-13,6.06666666666667
1972-01-01,2018-10-13,2018-10-13,5.53333333333333
1972-04-01,2018-10-13,2018-10-13,5.61666666666667
1972-07-01,2018-10-13,2018-10-13,4.56666666666667
1972-10-01,2018-10-13,2018-10-13,4.61666666666667
1973-01-01,2018-10-13,2018-10-13,4.98333333333333
1973-04-01,2018-10-13,2018-10-13,6.2
1973-07-01,2018-10-13,2018-10-13,7.38333333333333
1973-10-01,2018-10-13,2018-10-13,9.36666666666667
1974-01-01,2018-10-13,2018-10-13,9.61666666666667
1974-04-01,2018-10-13,2018-10-13,18.9333333333333
1974-07-01,2018-10-13,2018-10-13,13.9333333333333
1974-10-01,2018-10-13,2018-10-13,10.15
1975-01-01,2018-10-13,2018-10-13,8.9
1975-04-01,2018-10-13,2018-10-13,9.16666666666667
1975-07-01,2018-10-13,2018-10-13,8.13333333333333
1975-10-01,2018-10-13,2018-10-13,7.9
1976-01-01,2018-10-13,2018-10-13,8.13333333333333
1976-04-01,2018-10-13,2018-10-13,10.04
1976-07-01,2018-10-13,2018-10-13,9.44666666666667
1976-10-01,2018-10-13,2018-10-13,9.34
1977-01-01,2018-10-13,2018-10-13,9.32333333333334
1977-04-01,2018-10-13,2018-10-13,10.9166666666667
1977-07-01,2018-10-13,2018-10-13,10.6833333333333
1977-10-01,2018-10-13,2018-10-13,9.92666666666667
1978-01-01,2018-10-13,2018-10-13,9.69333333333333
1978-04-01,2018-10-13,2018-10-13,10.6966666666667
1978-07-01,2018-10-13,2018-10-13,9.75333333333333
1978-10-01,2018-10-13,2018-10-13,9.23
1979-01-01,2018-10-13,2018-10-13,8.75666666666666
1979-04-01,2018-10-13,2018-10-13,10.4066666666667
1979-07-01,2018-10-13,2018-10-13,9.83666666666666
1979-10-01,2018-10-13,2018-10-13,10.0933333333333
1980-01-01,2018-10-13,2018-10-13,10.52
1980-04-01,2018-10-13,2018-10-13,13.6466666666667
1980-07-01,2018-10-13,2018-10-13,12.2966666666667
1980-10-01,2018-10-13,2018-10-13,11.6466666666667
1981-01-01,2018-10-13,2018-10-13,13.5333333333333
1981-04-01,2018-10-13,2018-10-13,16.1833333333333
1981-07-01,2018-10-13,2018-10-13,15.4866666666667
1981-10-01,2018-10-13,2018-10-13,14.95
1982-01-01,2018-10-13,2018-10-13,17.4066666666667
1982-04-01,2018-10-13,2018-10-13,19.47
1982-07-01,2018-10-13,2018-10-13,16.64
1982-10-01,2018-10-13,2018-10-13,13.82
1983-01-01,2018-10-13,2018-10-13,13.2266666666667
