date,realtime_start,realtime_end,value
1973-12-01,2018-10-13,2018-10-13,7.88
1974-01-01,2018-10-13,2018-10-13,8.38
1974-02-01,2018-10-13,2018-10-13,8.75
1974-03-01,2018-10-13,2018-10-13,9
1974-04-01,2018-10-13,2018-10-13,9
1974-05-01,2018-10-13,2018-10-13,9.13
1974-06-01,2018-10-13,2018-10-13,9.41
1974-07-01,2018-10-13,2018-10-13,10
1974-08-01,2018-10-13,2018-10-13,11.25
1974-09-01,2018-10-13,2018-10-13,12.38
1974-10-01,2018-10-13,2018-10-13,13.75
1974-11-01,2018-10-13,2018-10-13,12.75
1974-12-01,2018-10-13,2018-10-13,11
1975-01-01,2018-10-13,2018-10-13,9.75
1975-02-01,2018-10-13,2018-10-13,9.88
1975-03-01,2018-10-13,2018-10-13,11
1975-04-01,2018-10-13,2018-10-13,9.25
1975-05-01,2018-10-13,2018-10-13,8.25
1975-06-01,2018-10-13,2018-10-13,8
1975-07-01,2018-10-13,2018-10-13,7
1975-08-01,2018-10-13,2018-10-13,7.13
1975-09-01,2018-10-13,2018-10-13,7.63
1975-10-01,2018-10-13,2018-10-13,7.25
1975-11-01,2018-10-13,2018-10-13,7.13
1975-12-01,2018-10-13,2018-10-13,7.18
1976-01-01,2018-10-13,2018-10-13,6.25
1976-02-01,2018-10-13,2018-10-13,7.38
1976-03-01,2018-10-13,2018-10-13,8.25
1976-04-01,2018-10-13,2018-10-13,8.13
1976-05-01,2018-10-13,2018-10-13,7.75
1976-06-01,2018-10-13,2018-10-13,7.25
1976-07-01,2018-10-13,2018-10-13,8.4
1976-08-01,2018-10-13,2018-10-13,8.45
1976-09-01,2018-10-13,2018-10-13,9.75
1976-10-01,2018-10-13,2018-10-13,9.63
1976-11-01,2018-10-13,2018-10-13,9.25
1976-12-01,2018-10-13,2018-10-13,10.38
1977-01-01,2018-10-13,2018-10-13,12
1977-02-01,2018-10-13,2018-10-13,13.13
1977-03-01,2018-10-13,2018-10-13,15
1977-04-01,2018-10-13,2018-10-13,14.5
1977-05-01,2018-10-13,2018-10-13,14.63
1977-06-01,2018-10-13,2018-10-13,13.5
1977-07-01,2018-10-13,2018-10-13,14.3
1977-08-01,2018-10-13,2018-10-13,15.63
1977-09-01,2018-10-13,2018-10-13,14.25
1977-10-01,2018-10-13,2018-10-13,13.75
1977-11-01,2018-10-13,2018-10-13,12.13
1977-12-01,2018-10-13,2018-10-13,11.5
1978-01-01,2018-10-13,2018-10-13,11.5
1978-02-01,2018-10-13,2018-10-13,12.13
1978-03-01,2018-10-13,2018-10-13,12.13
1978-04-01,2018-10-13,2018-10-13,11.5
1978-05-01,2018-10-13,2018-10-13,11
1978-06-01,2018-10-13,2018-10-13,10.25
1978-07-01,2018-10-13,2018-10-13,10
1978-08-01,2018-10-13,2018-10-13,10.2
1978-09-01,2018-10-13,2018-10-13,10.25
1978-10-01,2018-10-13,2018-10-13,10.5
