date,realtime_start,realtime_end,value
1979-05-01,2018-10-13,2018-10-13,5.326
1979-06-01,2018-10-13,2018-10-13,5.418
1979-07-01,2018-10-13,2018-10-13,5.987
1979-08-01,2018-10-13,2018-10-13,6.554
1979-09-01,2018-10-13,2018-10-13,6.752
1979-10-01,2018-10-13,2018-10-13,7.029
1979-11-01,2018-10-13,2018-10-13,7.764
1979-12-01,2018-10-13,2018-10-13,8.219
1980-01-01,2018-10-13,2018-10-13,8.372
1980-02-01,2018-10-13,2018-10-13,8.882
1980-03-01,2018-10-13,2018-10-13,11.944
1980-04-01,2018-10-13,2018-10-13,13.193
1980-05-01,2018-10-13,2018-10-13,12.851
1980-06-01,2018-10-13,2018-10-13,11.728
1980-07-01,2018-10-13,2018-10-13,11.281
1980-08-01,2018-10-13,2018-10-13,11.383
1980-09-01,2018-10-13,2018-10-13,10.944
1980-10-01,2018-10-13,2018-10-13,10.748
1980-11-01,2018-10-13,2018-10-13,9.671
1980-12-01,2018-10-13,2018-10-13,9.58
1981-01-01,2018-10-13,2018-10-13,8.865
1981-02-01,2018-10-13,2018-10-13,8.425
1981-03-01,2018-10-13,2018-10-13,7.861
1981-04-01,2018-10-13,2018-10-13,7.242
1981-05-01,2018-10-13,2018-10-13,7.281
1981-06-01,2018-10-13,2018-10-13,7.432
1981-07-01,2018-10-13,2018-10-13,7.453
1981-08-01,2018-10-13,2018-10-13,7.483
1981-09-01,2018-10-13,2018-10-13,7.43
1981-10-01,2018-10-13,2018-10-13,7.408
1981-11-01,2018-10-13,2018-10-13,7.287
1981-12-01,2018-10-13,2018-10-13,6.784
1982-01-01,2018-10-13,2018-10-13,6.512
1982-02-01,2018-10-13,2018-10-13,6.616
1982-03-01,2018-10-13,2018-10-13,6.605
1982-04-01,2018-10-13,2018-10-13,6.916
1982-05-01,2018-10-13,2018-10-13,7.06
1982-06-01,2018-10-13,2018-10-13,7.192
1982-07-01,2018-10-13,2018-10-13,7.325
1982-08-01,2018-10-13,2018-10-13,7.353
1982-09-01,2018-10-13,2018-10-13,7.309
1982-10-01,2018-10-13,2018-10-13,7.231
1982-11-01,2018-10-13,2018-10-13,7.187
1982-12-01,2018-10-13,2018-10-13,7.082
1983-01-01,2018-10-13,2018-10-13,6.691
1983-02-01,2018-10-13,2018-10-13,6.856
1983-03-01,2018-10-13,2018-10-13,6.9
1983-04-01,2018-10-13,2018-10-13,6.644
1983-05-01,2018-10-13,2018-10-13,6.421
1983-06-01,2018-10-13,2018-10-13,6.591
1983-07-01,2018-10-13,2018-10-13,6.683
1983-08-01,2018-10-13,2018-10-13,6.788
1983-09-01,2018-10-13,2018-10-13,6.879
1983-10-01,2018-10-13,2018-10-13,6.731
1983-11-01,2018-10-13,2018-10-13,6.487
1983-12-01,2018-10-13,2018-10-13,6.568
1984-01-01,2018-10-13,2018-10-13,6.478
1984-02-01,2018-10-13,2018-10-13,6.575
1984-03-01,2018-10-13,2018-10-13,6.587
1984-04-01,2018-10-13,2018-10-13,6.411
1984-05-01,2018-10-13,2018-10-13,6.395
1984-06-01,2018-10-13,2018-10-13,6.473
1984-07-01,2018-10-13,2018-10-13,6.438
1984-08-01,2018-10-13,2018-10-13,6.434
1984-09-01,2018-10-13,2018-10-13,6.456
1984-10-01,2018-10-13,2018-10-13,6.414
1984-11-01,2018-10-13,2018-10-13,6.414
1984-12-01,2018-10-13,2018-10-13,6.423
1985-01-01,2018-10-13,2018-10-13,6.378
1985-02-01,2018-10-13,2018-10-13,6.455
1985-03-01,2018-10-13,2018-10-13,6.488
1985-04-01,2018-10-13,2018-10-13,6.43
1985-05-01,2018-10-13,2018-10-13,6.38
1985-06-01,2018-10-13,2018-10-13,6.37
1985-07-01,2018-10-13,2018-10-13,6.35
1985-08-01,2018-10-13,2018-10-13,6.41
1985-09-01,2018-10-13,2018-10-13,6.43
1985-10-01,2018-10-13,2018-10-13,6.44
1985-11-01,2018-10-13,2018-10-13,7.66
1985-12-01,2018-10-13,2018-10-13,7.76
1986-01-01,2018-10-13,2018-10-13,6.82
1986-02-01,2018-10-13,2018-10-13,6.14
1986-03-01,2018-10-13,2018-10-13,5.72
1986-04-01,2018-10-13,2018-10-13,5.1
