date,realtime_start,realtime_end,value
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,4.91666666666667
1960-04-01,2018-10-13,2018-10-13,3.98
1960-07-01,2018-10-13,2018-10-13,3.10666666666667
1960-10-01,2018-10-13,2018-10-13,3.98333333333333
1961-01-01,2018-10-13,2018-10-13,3.69666666666667
1961-04-01,2018-10-13,2018-10-13,3.53
1961-07-01,2018-10-13,2018-10-13,3.13666666666667
1961-10-01,2018-10-13,2018-10-13,3.10666666666667
1962-01-01,2018-10-13,2018-10-13,3.40216666666667
1962-04-01,2018-10-13,2018-10-13,3.697
1962-07-01,2018-10-13,2018-10-13,5.6135
1962-10-01,2018-10-13,2018-10-13,4.55216666666667
1963-01-01,2018-10-13,2018-10-13,4.1885
1963-04-01,2018-10-13,2018-10-13,3.67233333333333
1963-07-01,2018-10-13,2018-10-13,4.0345
1963-10-01,2018-10-13,2018-10-13,4.1475
1964-01-01,2018-10-13,2018-10-13,4.144
1964-04-01,2018-10-13,2018-10-13,4.06266666666667
1964-07-01,2018-10-13,2018-10-13,4.1875
1964-10-01,2018-10-13,2018-10-13,4.44333333333333
1965-01-01,2018-10-13,2018-10-13,4.39216666666667
1965-04-01,2018-10-13,2018-10-13,4.66033333333333
1965-07-01,2018-10-13,2018-10-13,5.09866666666667
1965-10-01,2018-10-13,2018-10-13,5.65
1966-01-01,2018-10-13,2018-10-13,6.03916666666667
1966-04-01,2018-10-13,2018-10-13,6.1455
1966-07-01,2018-10-13,2018-10-13,6.3555
1966-10-01,2018-10-13,2018-10-13,6.485
1967-01-01,2018-10-13,2018-10-13,6.0145
1967-04-01,2018-10-13,2018-10-13,5.1595
1967-07-01,2018-10-13,2018-10-13,5.68083333333333
1967-10-01,2018-10-13,2018-10-13,6.53383333333333
1968-01-01,2018-10-13,2018-10-13,6.8385
1968-04-01,2018-10-13,2018-10-13,7.31166666666667
1968-07-01,2018-10-13,2018-10-13,6.68516666666667
1968-10-01,2018-10-13,2018-10-13,6.4385
1969-01-01,2018-10-13,2018-10-13,6.8985
1969-04-01,2018-10-13,2018-10-13,7.26466666666667
1969-07-01,2018-10-13,2018-10-13,8.289
1969-10-01,2018-10-13,2018-10-13,8.7275
1970-01-01,2018-10-13,2018-10-13,8.62583333333334
1970-04-01,2018-10-13,2018-10-13,7.64016666666667
1970-07-01,2018-10-13,2018-10-13,7.3705
1970-10-01,2018-10-13,2018-10-13,6.179
1971-01-01,2018-10-13,2018-10-13,5.11316666666667
1971-04-01,2018-10-13,2018-10-13,3.8525
1971-07-01,2018-10-13,2018-10-13,4.59283333333333
1971-10-01,2018-10-13,2018-10-13,4.71866666666667
1972-01-01,2018-10-13,2018-10-13,4.60533333333333
1972-04-01,2018-10-13,2018-10-13,5.76183333333333
1972-07-01,2018-10-13,2018-10-13,4.947
1972-10-01,2018-10-13,2018-10-13,5.078
1973-01-01,2018-10-13,2018-10-13,5.052
1973-04-01,2018-10-13,2018-10-13,6.33916666666667
1973-07-01,2018-10-13,2018-10-13,8.2725
1973-10-01,2018-10-13,2018-10-13,9.54166666666666
1974-01-01,2018-10-13,2018-10-13,9.04016666666666
1974-04-01,2018-10-13,2018-10-13,11.1915
1974-07-01,2018-10-13,2018-10-13,11.6643333333333
1974-10-01,2018-10-13,2018-10-13,10.3215
1975-01-01,2018-10-13,2018-10-13,7.38033333333333
1975-04-01,2018-10-13,2018-10-13,7.2955
1975-07-01,2018-10-13,2018-10-13,8.25966666666666
1975-10-01,2018-10-13,2018-10-13,9.1595
1976-01-01,2018-10-13,2018-10-13,9.25116666666666
1976-04-01,2018-10-13,2018-10-13,9.51833333333333
1976-07-01,2018-10-13,2018-10-13,9.38333333333333
1976-10-01,2018-10-13,2018-10-13,8.95333333333333
1977-01-01,2018-10-13,2018-10-13,7.91083333333333
1977-04-01,2018-10-13,2018-10-13,7.354
1977-07-01,2018-10-13,2018-10-13,7.33666666666667
1977-10-01,2018-10-13,2018-10-13,7.37016666666667
1978-01-01,2018-10-13,2018-10-13,7.335
1978-04-01,2018-10-13,2018-10-13,8.29566666666667
1978-07-01,2018-10-13,2018-10-13,8.8865
1978-10-01,2018-10-13,2018-10-13,10.3378333333333
1979-01-01,2018-10-13,2018-10-13,11.0283333333333
1979-04-01,2018-10-13,2018-10-13,11.2386666666667
1979-07-01,2018-10-13,2018-10-13,11.6841666666667
1979-10-01,2018-10-13,2018-10-13,13.8941666666667
1980-01-01,2018-10-13,2018-10-13,14.2241666666667
1980-04-01,2018-10-13,2018-10-13,13.5808333333333
1980-07-01,2018-10-13,2018-10-13,10.785
1980-10-01,2018-10-13,2018-10-13,13.9258333333333
1981-01-01,2018-10-13,2018-10-13,17.15
1981-04-01,2018-10-13,2018-10-13,18.4816666666667
1981-07-01,2018-10-13,2018-10-13,20.7375
1981-10-01,2018-10-13,2018-10-13,17.1333333333333
1982-01-01,2018-10-13,2018-10-13,15.3633333333333
1982-04-01,2018-10-13,2018-10-13,16.0516666666667
1982-07-01,2018-10-13,2018-10-13,14.8783333333333
1982-10-01,2018-10-13,2018-10-13,11.2075
1983-01-01,2018-10-13,2018-10-13,9.66916666666667
1983-04-01,2018-10-13,2018-10-13,9.3125
1983-07-01,2018-10-13,2018-10-13,9.37166666666666
1983-10-01,2018-10-13,2018-10-13,9.51
1984-01-01,2018-10-13,2018-10-13,10.0058333333333
1984-04-01,2018-10-13,2018-10-13,11.3016666666667
1984-07-01,2018-10-13,2018-10-13,12.4891666666667
1984-10-01,2018-10-13,2018-10-13,11.0916666666667
1985-01-01,2018-10-13,2018-10-13,10.515
1985-04-01,2018-10-13,2018-10-13,9.8
1985-07-01,2018-10-13,2018-10-13,9.145
1985-10-01,2018-10-13,2018-10-13,8.92416666666666
1986-01-01,2018-10-13,2018-10-13,10.97
1986-04-01,2018-10-13,2018-10-13,8.94166666666667
1986-07-01,2018-10-13,2018-10-13,8.44416666666667
1986-10-01,2018-10-13,2018-10-13,8.39583333333334
1987-01-01,2018-10-13,2018-10-13,7.5125
1987-04-01,2018-10-13,2018-10-13,8.11083333333334
1987-07-01,2018-10-13,2018-10-13,9.04583333333333
1987-10-01,2018-10-13,2018-10-13,8.96916666666666
1988-01-01,2018-10-13,2018-10-13,8.6175
1988-04-01,2018-10-13,2018-10-13,9.09
1988-07-01,2018-10-13,2018-10-13,9.9325
1988-10-01,2018-10-13,2018-10-13,10.8
1989-01-01,2018-10-13,2018-10-13,11.6866666666667
1989-04-01,2018-10-13,2018-10-13,12.3965
1989-07-01,2018-10-13,2018-10-13,12.2815
1989-10-01,2018-10-13,2018-10-13,12.3423333333333
1990-01-01,2018-10-13,2018-10-13,12.8146666666667
1990-04-01,2018-10-13,2018-10-13,13.6975
1990-07-01,2018-10-13,2018-10-13,13.2286666666667
1990-10-01,2018-10-13,2018-10-13,12.3443333333333
1991-01-01,2018-10-13,2018-10-13,10.6145
1991-04-01,2018-10-13,2018-10-13,9.246
1991-07-01,2018-10-13,2018-10-13,8.69083333333334
1991-10-01,2018-10-13,2018-10-13,7.8895
1992-01-01,2018-10-13,2018-10-13,7.3675
1992-04-01,2018-10-13,2018-10-13,6.58933333333333
1992-07-01,2018-10-13,2018-10-13,5.2615
1992-10-01,2018-10-13,2018-10-13,7.49
1993-01-01,2018-10-13,2018-10-13,6.3325
1993-04-01,2018-10-13,2018-10-13,5.16
1993-07-01,2018-10-13,2018-10-13,4.522
1993-10-01,2018-10-13,2018-10-13,4.39733333333333
1994-01-01,2018-10-13,2018-10-13,3.96116666666667
1994-04-01,2018-10-13,2018-10-13,6.18883333333333
1994-07-01,2018-10-13,2018-10-13,5.895
1994-10-01,2018-10-13,2018-10-13,5.90583333333333
1995-01-01,2018-10-13,2018-10-13,8.09026086966667
1995-04-01,2018-10-13,2018-10-13,7.58583732066667
1995-07-01,2018-10-13,2018-10-13,6.64677272733333
1995-10-01,2018-10-13,2018-10-13,6.20032581466667
1996-01-01,2018-10-13,2018-10-13,5.32814574333333
1996-04-01,2018-10-13,2018-10-13,4.888887446
1996-07-01,2018-10-13,2018-10-13,4.35961544033333
1996-10-01,2018-10-13,2018-10-13,3.21960606066667
1997-01-01,2018-10-13,2018-10-13,3.16207575766667
1997-04-01,2018-10-13,2018-10-13,3.349199134
1997-07-01,2018-10-13,2018-10-13,3.598828283
1997-10-01,2018-10-13,2018-10-13,4.12047505133333
1998-01-01,2018-10-13,2018-10-13,4.834498557
1998-04-01,2018-10-13,2018-10-13,4.97830447333333
1998-07-01,2018-10-13,2018-10-13,5.31911327533333
1998-10-01,2018-10-13,2018-10-13,5.14169841266667
1999-01-01,2018-10-13,2018-10-13,5.03179710133333
1999-04-01,2018-10-13,2018-10-13,4.71587373733333
1999-07-01,2018-10-13,2018-10-13,4.84936507933333
1999-10-01,2018-10-13,2018-10-13,5.06339682533333
2000-01-01,2018-10-13,2018-10-13,5.32617770866667
2000-04-01,2018-10-13,2018-10-13,5.765135566
2000-07-01,2018-10-13,2018-10-13,5.87424242433334
2000-10-01,2018-10-13,2018-10-13,5.82837092766667
2001-01-01,2018-10-13,2018-10-13,5.13734848466667
2001-04-01,2018-10-13,2018-10-13,4.489310967
2001-07-01,2018-10-13,2018-10-13,3.95496924133333
2001-10-01,2018-10-13,2018-10-13,2.43283132066667
2002-01-01,2018-10-13,2018-10-13,2.123530303
2002-04-01,2018-10-13,2018-10-13,2.600878788
2002-07-01,2018-10-13,2018-10-13,2.912374459
2002-10-01,2018-10-13,2018-10-13,2.857969697
2003-01-01,2018-10-13,2018-10-13,2.99763492066667
2003-04-01,2018-10-13,2018-10-13,3.28015873033333
2003-07-01,2018-10-13,2018-10-13,2.85917407133333
2003-10-01,2018-10-13,2018-10-13,2.72071428566667
2004-01-01,2018-10-13,2018-10-13,2.33022015166667
2004-04-01,2018-10-13,2018-10-13,2.079296537
2004-07-01,2018-10-13,2018-10-13,2.221111111
2004-10-01,2018-10-13,2018-10-13,2.616904762
2005-01-01,2018-10-13,2018-10-13,2.59080303033333
