date,realtime_start,realtime_end,value
1997-07-01,2018-10-13,2018-10-13,12.54
1997-08-01,2018-10-13,2018-10-13,13.77
1997-09-01,2018-10-13,2018-10-13,13.47
1997-10-01,2018-10-13,2018-10-13,14.82
1997-11-01,2018-10-13,2018-10-13,13.04
1997-12-01,2018-10-13,2018-10-13,10.63
1998-01-01,2018-10-13,2018-10-13,19.17
1998-02-01,2018-10-13,2018-10-13,18.23
1998-03-01,2018-10-13,2018-10-13,14.36
1998-04-01,2018-10-13,2018-10-13,15.72
1998-05-01,2018-10-13,2018-10-13,14.75
1998-06-01,2018-10-13,2018-10-13,14.86
1998-07-01,2018-10-13,2018-10-13,16.48
1998-08-01,2018-10-13,2018-10-13,18.65
1998-09-01,2018-10-13,2018-10-13,.
1998-10-01,2018-10-13,2018-10-13,18.78
1998-11-01,2018-10-13,2018-10-13,14.89
1998-12-01,2018-10-13,2018-10-13,13.49
1999-01-01,2018-10-13,2018-10-13,12.75
1999-02-01,2018-10-13,2018-10-13,10.04
1999-03-01,2018-10-13,2018-10-13,11.09
1999-04-01,2018-10-13,2018-10-13,13.59
1999-05-01,2018-10-13,2018-10-13,11.71
1999-06-01,2018-10-13,2018-10-13,9.28
1999-07-01,2018-10-13,2018-10-13,9.76
1999-08-01,2018-10-13,2018-10-13,9.93
1999-09-01,2018-10-13,2018-10-13,9.91
1999-10-01,2018-10-13,2018-10-13,10.68
1999-11-01,2018-10-13,2018-10-13,11.63
1999-12-01,2018-10-13,2018-10-13,11.09
2000-01-01,2018-10-13,2018-10-13,10.05
2000-02-01,2018-10-13,2018-10-13,12.17
2000-03-01,2018-10-13,2018-10-13,13.43
2000-04-01,2018-10-13,2018-10-13,11.76
2000-05-01,2018-10-13,2018-10-13,10.67
2000-06-01,2018-10-13,2018-10-13,9.72
2000-07-01,2018-10-13,2018-10-13,9.9
2000-08-01,2018-10-13,2018-10-13,9.37
2000-09-01,2018-10-13,2018-10-13,10.32
2000-10-01,2018-10-13,2018-10-13,11.5
2000-11-01,2018-10-13,2018-10-13,10.9
2000-12-01,2018-10-13,2018-10-13,9.3
2001-01-01,2018-10-13,2018-10-13,8.3
2001-02-01,2018-10-13,2018-10-13,8.06
2001-03-01,2018-10-13,2018-10-13,6.14
2001-04-01,2018-10-13,2018-10-13,8.62
2001-05-01,2018-10-13,2018-10-13,8.69
2001-06-01,2018-10-13,2018-10-13,6.74
2001-07-01,2018-10-13,2018-10-13,6.44
2001-08-01,2018-10-13,2018-10-13,7.07
2001-09-01,2018-10-13,2018-10-13,7.18
2001-10-01,2018-10-13,2018-10-13,6.61
2001-11-01,2018-10-13,2018-10-13,6.44
2001-12-01,2018-10-13,2018-10-13,6.51
2002-01-01,2018-10-13,2018-10-13,6
2002-02-01,2018-10-13,2018-10-13,5.56
2002-03-01,2018-10-13,2018-10-13,4.73
2002-04-01,2018-10-13,2018-10-13,4.39
2002-05-01,2018-10-13,2018-10-13,4.15
2002-06-01,2018-10-13,2018-10-13,4.03
2002-07-01,2018-10-13,2018-10-13,3.51
2002-08-01,2018-10-13,2018-10-13,2.96
2002-09-01,2018-10-13,2018-10-13,2.99
2002-10-01,2018-10-13,2018-10-13,3.03
2002-11-01,2018-10-13,2018-10-13,2.87
2002-12-01,2018-10-13,2018-10-13,2.88
2003-01-01,2018-10-13,2018-10-13,2.97
2003-02-01,2018-10-13,2018-10-13,2.94
2003-03-01,2018-10-13,2018-10-13,2.65
2003-04-01,2018-10-13,2018-10-13,2.48
2003-05-01,2018-10-13,2018-10-13,2.59
2003-06-01,2018-10-13,2018-10-13,2.78
2003-07-01,2018-10-13,2018-10-13,2.97
2003-08-01,2018-10-13,2018-10-13,2.94
2003-09-01,2018-10-13,2018-10-13,2.84
2003-10-01,2018-10-13,2018-10-13,2.75
2003-11-01,2018-10-13,2018-10-13,2.72
2003-12-01,2018-10-13,2018-10-13,2.58
2004-01-01,2018-10-13,2018-10-13,1.8
2004-02-01,2018-10-13,2018-10-13,1.58
2004-03-01,2018-10-13,2018-10-13,1.57
2004-04-01,2018-10-13,2018-10-13,1.49
2004-05-01,2018-10-13,2018-10-13,1.31
2004-06-01,2018-10-13,2018-10-13,1.53
2004-07-01,2018-10-13,2018-10-13,1.66
2004-08-01,2018-10-13,2018-10-13,1.68
2004-09-01,2018-10-13,2018-10-13,2.33
2004-10-01,2018-10-13,2018-10-13,2.35
2004-11-01,2018-10-13,2018-10-13,2.34
2004-12-01,2018-10-13,2018-10-13,2.32
2005-01-01,2018-10-13,2018-10-13,2.49
2005-02-01,2018-10-13,2018-10-13,2.95
2005-03-01,2018-10-13,2018-10-13,2.83
2005-04-01,2018-10-13,2018-10-13,2.92
2005-05-01,2018-10-13,2018-10-13,3.24
2005-06-01,2018-10-13,2018-10-13,2.85
2005-07-01,2018-10-13,2018-10-13,3.01
2005-08-01,2018-10-13,2018-10-13,3.83
2005-09-01,2018-10-13,2018-10-13,4.25
