date,realtime_start,realtime_end,value
1998-01-01,2018-10-13,2018-10-13,22.86
1998-02-01,2018-10-13,2018-10-13,24
1998-03-01,2018-10-13,2018-10-13,27.26
1998-04-01,2018-10-13,2018-10-13,29.4
1998-05-01,2018-10-13,2018-10-13,32.95
1998-06-01,2018-10-13,2018-10-13,40.63
1998-07-01,2018-10-13,2018-10-13,43.01
1998-08-01,2018-10-13,2018-10-13,44.35
1998-09-01,2018-10-13,2018-10-13,47.38
1998-10-01,2018-10-13,2018-10-13,54.67
1998-11-01,2018-10-13,2018-10-13,53.06
1998-12-01,2018-10-13,2018-10-13,49.23
1999-01-01,2018-10-13,2018-10-13,45.5
1999-02-01,2018-10-13,2018-10-13,38.2
1999-03-01,2018-10-13,2018-10-13,34.85
1999-04-01,2018-10-13,2018-10-13,34.09
1999-05-01,2018-10-13,2018-10-13,31.2
1999-06-01,2018-10-13,2018-10-13,27.39
1999-07-01,2018-10-13,2018-10-13,23.45
1999-08-01,2018-10-13,2018-10-13,19.06
1999-09-01,2018-10-13,2018-10-13,15.88
1999-10-01,2018-10-13,2018-10-13,13.37
1999-11-01,2018-10-13,2018-10-13,12.91
1999-12-01,2018-10-13,2018-10-13,12.95
2000-01-01,2018-10-13,2018-10-13,12.85
2000-02-01,2018-10-13,2018-10-13,12.64
2000-03-01,2018-10-13,2018-10-13,12.4
2000-04-01,2018-10-13,2018-10-13,12.16
2000-05-01,2018-10-13,2018-10-13,11.81
2000-06-01,2018-10-13,2018-10-13,11.69
2000-07-01,2018-10-13,2018-10-13,11.79
2000-08-01,2018-10-13,2018-10-13,12.36
2000-09-01,2018-10-13,2018-10-13,12.84
2000-10-01,2018-10-13,2018-10-13,13.09
2000-11-01,2018-10-13,2018-10-13,13.17
2000-12-01,2018-10-13,2018-10-13,13.24
2001-01-01,2018-10-13,2018-10-13,13.83
2001-02-01,2018-10-13,2018-10-13,14.35
2001-03-01,2018-10-13,2018-10-13,14.86
2001-04-01,2018-10-13,2018-10-13,14.93
2001-05-01,2018-10-13,2018-10-13,14.92
2001-06-01,2018-10-13,2018-10-13,15
2001-07-01,2018-10-13,2018-10-13,15.14
2001-08-01,2018-10-13,2018-10-13,15.62
2001-09-01,2018-10-13,2018-10-13,16.16
2001-10-01,2018-10-13,2018-10-13,16.67
2001-11-01,2018-10-13,2018-10-13,17.06
2001-12-01,2018-10-13,2018-10-13,17.24
2002-01-01,2018-10-13,2018-10-13,17.39
2002-02-01,2018-10-13,2018-10-13,17.24
2002-03-01,2018-10-13,2018-10-13,17.02
2002-04-01,2018-10-13,2018-10-13,16.57
2002-05-01,2018-10-13,2018-10-13,16.24
2002-06-01,2018-10-13,2018-10-13,15.85
2002-07-01,2018-10-13,2018-10-13,15.26
2002-08-01,2018-10-13,2018-10-13,14.77
2002-09-01,2018-10-13,2018-10-13,14.36
2002-10-01,2018-10-13,2018-10-13,13.94
2002-11-01,2018-10-13,2018-10-13,13.76
2002-12-01,2018-10-13,2018-10-13,13.63
2003-01-01,2018-10-13,2018-10-13,13.49
2003-02-01,2018-10-13,2018-10-13,13.15
2003-03-01,2018-10-13,2018-10-13,12.9
2003-04-01,2018-10-13,2018-10-13,12.48
2003-05-01,2018-10-13,2018-10-13,12.02
2003-06-01,2018-10-13,2018-10-13,11.55
2003-07-01,2018-10-13,2018-10-13,10.65
2003-08-01,2018-10-13,2018-10-13,9.58
2003-09-01,2018-10-13,2018-10-13,8.58
2003-10-01,2018-10-13,2018-10-13,7.96
2003-11-01,2018-10-13,2018-10-13,7.58
2003-12-01,2018-10-13,2018-10-13,7.14
2004-01-01,2018-10-13,2018-10-13,6.68
2004-02-01,2018-10-13,2018-10-13,6.38
2004-03-01,2018-10-13,2018-10-13,6.11
2004-04-01,2018-10-13,2018-10-13,6.01
2004-05-01,2018-10-13,2018-10-13,6.17
2004-06-01,2018-10-13,2018-10-13,6.31
2004-07-01,2018-10-13,2018-10-13,6.49
2004-08-01,2018-10-13,2018-10-13,6.54
2004-09-01,2018-10-13,2018-10-13,6.61
2004-10-01,2018-10-13,2018-10-13,6.65
2004-11-01,2018-10-13,2018-10-13,6.66
2004-12-01,2018-10-13,2018-10-13,6.71
2005-01-01,2018-10-13,2018-10-13,6.71
2005-02-01,2018-10-13,2018-10-13,6.74
2005-03-01,2018-10-13,2018-10-13,6.93
2005-04-01,2018-10-13,2018-10-13,6.87
2005-05-01,2018-10-13,2018-10-13,7.03
2005-06-01,2018-10-13,2018-10-13,7.19
2005-07-01,2018-10-13,2018-10-13,7.41
2005-08-01,2018-10-13,2018-10-13,7.71
2005-09-01,2018-10-13,2018-10-13,8.51
2005-10-01,2018-10-13,2018-10-13,9.38
2005-11-01,2018-10-13,2018-10-13,10.72
2005-12-01,2018-10-13,2018-10-13,11.75
2006-01-01,2018-10-13,2018-10-13,12.23
2006-02-01,2018-10-13,2018-10-13,12.32
2006-03-01,2018-10-13,2018-10-13,12.19
2006-04-01,2018-10-13,2018-10-13,12.03
2006-05-01,2018-10-13,2018-10-13,11.82
2006-06-01,2018-10-13,2018-10-13,11.7
2006-07-01,2018-10-13,2018-10-13,11.57
2006-08-01,2018-10-13,2018-10-13,11.34
2006-09-01,2018-10-13,2018-10-13,11.05
2006-10-01,2018-10-13,2018-10-13,10.72
2006-11-01,2018-10-13,2018-10-13,10.25
2006-12-01,2018-10-13,2018-10-13,9.71
2007-01-01,2018-10-13,2018-10-13,9.26
2007-02-01,2018-10-13,2018-10-13,8.83
2007-03-01,2018-10-13,2018-10-13,8.52
2007-04-01,2018-10-13,2018-10-13,8.3
2007-05-01,2018-10-13,2018-10-13,8.06
2007-06-01,2018-10-13,2018-10-13,7.87
2007-07-01,2018-10-13,2018-10-13,7.69
2007-08-01,2018-10-13,2018-10-13,7.51
2007-09-01,2018-10-13,2018-10-13,7.44
2007-10-01,2018-10-13,2018-10-13,7.41
2007-11-01,2018-10-13,2018-10-13,7.4
2007-12-01,2018-10-13,2018-10-13,7.42
2008-01-01,2018-10-13,2018-10-13,7.4
2008-02-01,2018-10-13,2018-10-13,7.36
2008-03-01,2018-10-13,2018-10-13,7.26
2008-04-01,2018-10-13,2018-10-13,7.23
2008-05-01,2018-10-13,2018-10-13,7.34
2008-06-01,2018-10-13,2018-10-13,7.49
2008-07-01,2018-10-13,2018-10-13,7.82
2008-08-01,2018-10-13,2018-10-13,8.4
2008-09-01,2018-10-13,2018-10-13,9.45
2008-10-01,2018-10-13,2018-10-13,10.17
2008-11-01,2018-10-13,2018-10-13,10.83
2008-12-01,2018-10-13,2018-10-13,11.16
2009-01-01,2018-10-13,2018-10-13,11.34
2009-02-01,2018-10-13,2018-10-13,11.13
2009-03-01,2018-10-13,2018-10-13,10.65
2009-04-01,2018-10-13,2018-10-13,10.09
2009-05-01,2018-10-13,2018-10-13,9.68
2009-06-01,2018-10-13,2018-10-13,9.25
2009-07-01,2018-10-13,2018-10-13,8.99
2009-08-01,2018-10-13,2018-10-13,8.73
2009-09-01,2018-10-13,2018-10-13,8.35
2009-10-01,2018-10-13,2018-10-13,7.97
2009-11-01,2018-10-13,2018-10-13,7.68
2009-12-01,2018-10-13,2018-10-13,7.48
2010-01-01,2018-10-13,2018-10-13,7.31
2010-02-01,2018-10-13,2018-10-13,7.08
2010-03-01,2018-10-13,2018-10-13,6.99
2010-04-01,2018-10-13,2018-10-13,6.98
2010-05-01,2018-10-13,2018-10-13,6.95
2010-06-01,2018-10-13,2018-10-13,6.95
2010-07-01,2018-10-13,2018-10-13,6.95
2010-08-01,2018-10-13,2018-10-13,6.96
2010-09-01,2018-10-13,2018-10-13,6.95
2010-10-01,2018-10-13,2018-10-13,6.99
2010-11-01,2018-10-13,2018-10-13,7.03
2010-12-01,2018-10-13,2018-10-13,7.06
2011-01-01,2018-10-13,2018-10-13,6.88
2011-02-01,2018-10-13,2018-10-13,6.82
2011-03-01,2018-10-13,2018-10-13,6.91
2011-04-01,2018-10-13,2018-10-13,6.95
2011-05-01,2018-10-13,2018-10-13,6.91
