date,realtime_start,realtime_end,value
1997-01-01,2018-10-13,2018-10-13,25.38
1997-02-01,2018-10-13,2018-10-13,23.54
1997-03-01,2018-10-13,2018-10-13,23.73
1997-04-01,2018-10-13,2018-10-13,23.97
1997-05-01,2018-10-13,2018-10-13,21.73
1997-06-01,2018-10-13,2018-10-13,22.41
1997-07-01,2018-10-13,2018-10-13,20.73
1997-08-01,2018-10-13,2018-10-13,21.27
1997-09-01,2018-10-13,2018-10-13,21.27
1997-10-01,2018-10-13,2018-10-13,20.47
1997-11-01,2018-10-13,2018-10-13,22.55
1997-12-01,2018-10-13,2018-10-13,20.48
1998-01-01,2018-10-13,2018-10-13,19.95
1998-02-01,2018-10-13,2018-10-13,20.67
1998-03-01,2018-10-13,2018-10-13,21.83
1998-04-01,2018-10-13,2018-10-13,20.44
1998-05-01,2018-10-13,2018-10-13,20.27
1998-06-01,2018-10-13,2018-10-13,21.79
1998-07-01,2018-10-13,2018-10-13,22.66
1998-08-01,2018-10-13,2018-10-13,27.2
1998-09-01,2018-10-13,2018-10-13,40.35
1998-10-01,2018-10-13,2018-10-13,38.69
1998-11-01,2018-10-13,2018-10-13,35.56
1998-12-01,2018-10-13,2018-10-13,36.29
1999-01-01,2018-10-13,2018-10-13,35.45
1999-02-01,2018-10-13,2018-10-13,31.35
1999-03-01,2018-10-13,2018-10-13,26.37
1999-04-01,2018-10-13,2018-10-13,22.99
1999-05-01,2018-10-13,2018-10-13,23.26
1999-06-01,2018-10-13,2018-10-13,23.77
1999-07-01,2018-10-13,2018-10-13,22.98
1999-08-01,2018-10-13,2018-10-13,24.36
1999-09-01,2018-10-13,2018-10-13,23.43
1999-10-01,2018-10-13,2018-10-13,22.41
1999-11-01,2018-10-13,2018-10-13,20.09
1999-12-01,2018-10-13,2018-10-13,19.06
2000-01-01,2018-10-13,2018-10-13,18.69
2000-02-01,2018-10-13,2018-10-13,18.12
2000-03-01,2018-10-13,2018-10-13,15.86
2000-04-01,2018-10-13,2018-10-13,15.1
2000-05-01,2018-10-13,2018-10-13,16.77
2000-06-01,2018-10-13,2018-10-13,17.73
2000-07-01,2018-10-13,2018-10-13,15.4
2000-08-01,2018-10-13,2018-10-13,16.84
2000-09-01,2018-10-13,2018-10-13,17.13
2000-10-01,2018-10-13,2018-10-13,17.99
2000-11-01,2018-10-13,2018-10-13,18.76
2000-12-01,2018-10-13,2018-10-13,18.39
2001-01-01,2018-10-13,2018-10-13,18.86
2001-02-01,2018-10-13,2018-10-13,18.36
2001-03-01,2018-10-13,2018-10-13,17.22
2001-04-01,2018-10-13,2018-10-13,16.31
2001-05-01,2018-10-13,2018-10-13,14.22
2001-06-01,2018-10-13,2018-10-13,11.9
2001-07-01,2018-10-13,2018-10-13,11.6
2001-08-01,2018-10-13,2018-10-13,10.22
2001-09-01,2018-10-13,2018-10-13,12.19
2001-10-01,2018-10-13,2018-10-13,11.16
2001-11-01,2018-10-13,2018-10-13,10.21
2001-12-01,2018-10-13,2018-10-13,8.87
2002-01-01,2018-10-13,2018-10-13,8.44
2002-02-01,2018-10-13,2018-10-13,9.06
2002-03-01,2018-10-13,2018-10-13,8.61
2002-04-01,2018-10-13,2018-10-13,7.12
2002-05-01,2018-10-13,2018-10-13,7.63
2002-06-01,2018-10-13,2018-10-13,8.65
2002-07-01,2018-10-13,2018-10-13,8.73
2002-08-01,2018-10-13,2018-10-13,7.95
2002-09-01,2018-10-13,2018-10-13,8.74
2002-10-01,2018-10-13,2018-10-13,9.1
2002-11-01,2018-10-13,2018-10-13,8.73
