date,realtime_start,realtime_end,value
1991-06-01,2018-10-13,2018-10-13,68.5
1991-07-01,2018-10-13,2018-10-13,62
1991-08-01,2018-10-13,2018-10-13,49.1
1991-09-01,2018-10-13,2018-10-13,48.7
1991-10-01,2018-10-13,2018-10-13,47
1991-11-01,2018-10-13,2018-10-13,46.9
1991-12-01,2018-10-13,2018-10-13,47.2
1992-01-01,2018-10-13,2018-10-13,46.4
1992-02-01,2018-10-13,2018-10-13,46.9
1992-03-01,2018-10-13,2018-10-13,46.4
1992-04-01,2018-10-13,2018-10-13,47.2
1992-05-01,2018-10-13,2018-10-13,46.3
1992-06-01,2018-10-13,2018-10-13,47.6
1992-07-01,2018-10-13,2018-10-13,44.5
1992-08-01,2018-10-13,2018-10-13,44.5
1992-09-01,2018-10-13,2018-10-13,44.7
1992-10-01,2018-10-13,2018-10-13,43
1992-11-01,2018-10-13,2018-10-13,43.9
1992-12-01,2018-10-13,2018-10-13,44.3
1993-01-01,2018-10-13,2018-10-13,41
1993-02-01,2018-10-13,2018-10-13,38
1993-03-01,2018-10-13,2018-10-13,35.1
1993-04-01,2018-10-13,2018-10-13,33.5
1993-05-01,2018-10-13,2018-10-13,33.4
1993-06-01,2018-10-13,2018-10-13,33.4
1993-07-01,2018-10-13,2018-10-13,33.9
1993-08-01,2018-10-13,2018-10-13,33.9
1993-09-01,2018-10-13,2018-10-13,34
1993-10-01,2018-10-13,2018-10-13,33.9
1993-11-01,2018-10-13,2018-10-13,34.3
1993-12-01,2018-10-13,2018-10-13,34.1
1994-01-01,2018-10-13,2018-10-13,34.3
1994-02-01,2018-10-13,2018-10-13,34.1
1994-03-01,2018-10-13,2018-10-13,33.2
1994-04-01,2018-10-13,2018-10-13,33.2
1994-05-01,2018-10-13,2018-10-13,32.41
1994-06-01,2018-10-13,2018-10-13,31.8
1994-07-01,2018-10-13,2018-10-13,31.69
1994-08-01,2018-10-13,2018-10-13,31.03
1994-09-01,2018-10-13,2018-10-13,30.5
1994-10-01,2018-10-13,2018-10-13,30.32
1994-11-01,2018-10-13,2018-10-13,29.64
1994-12-01,2018-10-13,2018-10-13,28.89
1995-01-01,2018-10-13,2018-10-13,28.61
1995-02-01,2018-10-13,2018-10-13,30.08
1995-03-01,2018-10-13,2018-10-13,30.44
1995-04-01,2018-10-13,2018-10-13,29.93
1995-05-01,2018-10-13,2018-10-13,28.96
1995-06-01,2018-10-13,2018-10-13,27.68
1995-07-01,2018-10-13,2018-10-13,27.18
1995-08-01,2018-10-13,2018-10-13,26.58
1995-09-01,2018-10-13,2018-10-13,25.82
1995-10-01,2018-10-13,2018-10-13,25.66
1995-11-01,2018-10-13,2018-10-13,25.8
1995-12-01,2018-10-13,2018-10-13,25.54
1996-01-01,2018-10-13,2018-10-13,22.95
1996-02-01,2018-10-13,2018-10-13,22.67
1996-03-01,2018-10-13,2018-10-13,22.65
1996-04-01,2018-10-13,2018-10-13,22.87
1996-05-01,2018-10-13,2018-10-13,21.59
1996-06-01,2018-10-13,2018-10-13,21.63
