date,realtime_start,realtime_end,value
1981-01-01,2018-10-13,2018-10-13,6.49
1981-02-01,2018-10-13,2018-10-13,7.36
1981-03-01,2018-10-13,2018-10-13,7.54
1981-04-01,2018-10-13,2018-10-13,7.74
1981-05-01,2018-10-13,2018-10-13,8.54
1981-06-01,2018-10-13,2018-10-13,9.2
1981-07-01,2018-10-13,2018-10-13,10.37
1981-08-01,2018-10-13,2018-10-13,11.27
1981-09-01,2018-10-13,2018-10-13,11.3
1981-10-01,2018-10-13,2018-10-13,11.51
1981-11-01,2018-10-13,2018-10-13,12.16
1981-12-01,2018-10-13,2018-10-13,13.2
1982-01-01,2018-10-13,2018-10-13,14.27
1982-02-01,2018-10-13,2018-10-13,15.18
1982-03-01,2018-10-13,2018-10-13,15.79
1982-04-01,2018-10-13,2018-10-13,15.73
1982-05-01,2018-10-13,2018-10-13,15.87
1982-06-01,2018-10-13,2018-10-13,16.07
1982-07-01,2018-10-13,2018-10-13,16.43
1982-08-01,2018-10-13,2018-10-13,16.24
1982-09-01,2018-10-13,2018-10-13,16.29
1982-10-01,2018-10-13,2018-10-13,15.75
1982-11-01,2018-10-13,2018-10-13,14.9
1982-12-01,2018-10-13,2018-10-13,14.44
1983-01-01,2018-10-13,2018-10-13,13.12
1983-02-01,2018-10-13,2018-10-13,10.73
1983-03-01,2018-10-13,2018-10-13,9.78
1983-04-01,2018-10-13,2018-10-13,11.21
1983-05-01,2018-10-13,2018-10-13,11.25
1983-06-01,2018-10-13,2018-10-13,12.55
1983-07-01,2018-10-13,2018-10-13,13.8
1983-08-01,2018-10-13,2018-10-13,15.19
1983-09-01,2018-10-13,2018-10-13,14.96
1983-10-01,2018-10-13,2018-10-13,15.15
1983-11-01,2018-10-13,2018-10-13,15.62
1983-12-01,2018-10-13,2018-10-13,17.33
1984-01-01,2018-10-13,2018-10-13,17.68
1984-02-01,2018-10-13,2018-10-13,17.68
1984-03-01,2018-10-13,2018-10-13,17.74
1984-04-01,2018-10-13,2018-10-13,17.78
1984-05-01,2018-10-13,2018-10-13,17.81
1984-06-01,2018-10-13,2018-10-13,17.61
1984-07-01,2018-10-13,2018-10-13,18.45
1984-08-01,2018-10-13,2018-10-13,21.5
1984-09-01,2018-10-13,2018-10-13,21.77
1984-10-01,2018-10-13,2018-10-13,21.77
