date,realtime_start,realtime_end,value
1978-01-01,2018-10-13,2018-10-13,6.1548
1978-02-01,2018-10-13,2018-10-13,6.7603
1978-03-01,2018-10-13,2018-10-13,6.6882
1978-04-01,2018-10-13,2018-10-13,7.5859
1978-05-01,2018-10-13,2018-10-13,9.122
1978-06-01,2018-10-13,2018-10-13,9.9048
1978-07-01,2018-10-13,2018-10-13,10.0193
1978-08-01,2018-10-13,2018-10-13,9.3324
1978-09-01,2018-10-13,2018-10-13,9.2947
1978-10-01,2018-10-13,2018-10-13,10.4851
1978-11-01,2018-10-13,2018-10-13,12.0071
1978-12-01,2018-10-13,2018-10-13,12.3142
1979-01-01,2018-10-13,2018-10-13,12.6094
1979-02-01,2018-10-13,2018-10-13,13.1486
1979-03-01,2018-10-13,2018-10-13,11.8942
1979-04-01,2018-10-13,2018-10-13,11.5757
1979-05-01,2018-10-13,2018-10-13,11.7254
1979-06-01,2018-10-13,2018-10-13,13.1815
1979-07-01,2018-10-13,2018-10-13,13.9172
1979-08-01,2018-10-13,2018-10-13,14.0706
1979-09-01,2018-10-13,2018-10-13,14.1391
1979-10-01,2018-10-13,2018-10-13,14.178
1979-11-01,2018-10-13,2018-10-13,16.2528
1979-12-01,2018-10-13,2018-10-13,16.7368
1980-01-01,2018-10-13,2018-10-13,17.0916
1980-02-01,2018-10-13,2018-10-13,17.744
1980-03-01,2018-10-13,2018-10-13,17.9933
1980-04-01,2018-10-13,2018-10-13,17.4625
1980-05-01,2018-10-13,2018-10-13,17.0074
1980-06-01,2018-10-13,2018-10-13,16.7229
1980-07-01,2018-10-13,2018-10-13,15.7615
1980-08-01,2018-10-13,2018-10-13,16.3781
1980-09-01,2018-10-13,2018-10-13,15.7876
1980-10-01,2018-10-13,2018-10-13,15.8682
1980-11-01,2018-10-13,2018-10-13,15.5852
1980-12-01,2018-10-13,2018-10-13,14.628
1981-01-01,2018-10-13,2018-10-13,14.1071
1981-02-01,2018-10-13,2018-10-13,12.9516
1981-03-01,2018-10-13,2018-10-13,12.4837
1981-04-01,2018-10-13,2018-10-13,12.2367
1981-05-01,2018-10-13,2018-10-13,12.3026
1981-06-01,2018-10-13,2018-10-13,12.5519
1981-07-01,2018-10-13,2018-10-13,13.7628
1981-08-01,2018-10-13,2018-10-13,14.0609
1981-09-01,2018-10-13,2018-10-13,14.832
1981-10-01,2018-10-13,2018-10-13,16.1676
1981-11-01,2018-10-13,2018-10-13,14.8899
1981-12-01,2018-10-13,2018-10-13,15.3296
1982-01-01,2018-10-13,2018-10-13,14.9531
1982-02-01,2018-10-13,2018-10-13,14.3281
1982-03-01,2018-10-13,2018-10-13,13.4341
1982-04-01,2018-10-13,2018-10-13,13.6492
1982-05-01,2018-10-13,2018-10-13,13.2352
1982-06-01,2018-10-13,2018-10-13,12.8786
1982-07-01,2018-10-13,2018-10-13,12.1797
1982-08-01,2018-10-13,2018-10-13,10.9055
1982-09-01,2018-10-13,2018-10-13,10.6129
1982-10-01,2018-10-13,2018-10-13,9.5856
1982-11-01,2018-10-13,2018-10-13,9.3253
1982-12-01,2018-10-13,2018-10-13,10.5015
