date,realtime_start,realtime_end,value
1965-01-01,2018-10-13,2018-10-13,4.34416666666667
1966-01-01,2018-10-13,2018-10-13,5.48333333333333
1967-01-01,2018-10-13,2018-10-13,5.02083333333333
1968-01-01,2018-10-13,2018-10-13,5.85916666666667
1969-01-01,2018-10-13,2018-10-13,7.76083333333333
1970-01-01,2018-10-13,2018-10-13,7.56416666666667
1971-01-01,2018-10-13,2018-10-13,5.005
1972-01-01,2018-10-13,2018-10-13,4.66583333333333
1973-01-01,2018-10-13,2018-10-13,8.41583333333333
1974-01-01,2018-10-13,2018-10-13,10.2441666666667
1975-01-01,2018-10-13,2018-10-13,6.43666666666667
1976-01-01,2018-10-13,2018-10-13,5.26833333333333
1977-01-01,2018-10-13,2018-10-13,5.64083333333333
1978-01-01,2018-10-13,2018-10-13,8.22166666666666
1979-01-01,2018-10-13,2018-10-13,11.225
1980-01-01,2018-10-13,2018-10-13,13.0666666666667
1981-01-01,2018-10-13,2018-10-13,15.9108333333333
1982-01-01,2018-10-13,2018-10-13,12.2708333333333
1983-01-01,2018-10-13,2018-10-13,9.06666666666667
1984-01-01,2018-10-13,2018-10-13,10.365
1985-01-01,2018-10-13,2018-10-13,8.0475
1986-01-01,2018-10-13,2018-10-13,6.51833333333334
1987-01-01,2018-10-13,2018-10-13,6.86083333333333
1988-01-01,2018-10-13,2018-10-13,7.7275
1989-01-01,2018-10-13,2018-10-13,9.085
1990-01-01,2018-10-13,2018-10-13,8.1475
1991-01-01,2018-10-13,2018-10-13,5.835
1992-01-01,2018-10-13,2018-10-13,3.68166666666667
1993-01-01,2018-10-13,2018-10-13,3.17416666666667
1994-01-01,2018-10-13,2018-10-13,4.62916666666667
1995-01-01,2018-10-13,2018-10-13,5.91666666666667
1996-01-01,2018-10-13,2018-10-13,5.39
1997-01-01,2018-10-13,2018-10-13,5.61583333333333
1998-01-01,2018-10-13,2018-10-13,5.46666666666667
1999-01-01,2018-10-13,2018-10-13,5.33
2000-01-01,2018-10-13,2018-10-13,6.45583333333334
2001-01-01,2018-10-13,2018-10-13,3.68666666666667
2002-01-01,2018-10-13,2018-10-13,1.72583333333333
2003-01-01,2018-10-13,2018-10-13,1.15083333333333
2004-01-01,2018-10-13,2018-10-13,1.56333333333333
2005-01-01,2018-10-13,2018-10-13,3.51166666666667
2006-01-01,2018-10-13,2018-10-13,5.15333333333333
2007-01-01,2018-10-13,2018-10-13,5.26833333333333
2008-01-01,2018-10-13,2018-10-13,2.965
2009-01-01,2018-10-13,2018-10-13,0.555833333333333
2010-01-01,2018-10-13,2018-10-13,0.311666666666667
2011-01-01,2018-10-13,2018-10-13,0.303333333333333
2012-01-01,2018-10-13,2018-10-13,0.2825
2013-01-01,2018-10-13,2018-10-13,0.166666666666667
2014-01-01,2018-10-13,2018-10-13,0.124166666666667
2015-01-01,2018-10-13,2018-10-13,0.226666666666667
2016-01-01,2018-10-13,2018-10-13,0.644166666666667
2017-01-01,2018-10-13,2018-10-13,1.1525
