date,realtime_start,realtime_end,value
1997-07-01,2018-10-13,2018-10-13,9.67213333333333
1997-10-01,2018-10-13,2018-10-13,8.75853333333334
1998-01-01,2018-10-13,2018-10-13,8.6748
1998-04-01,2018-10-13,2018-10-13,7.08366666666667
1998-07-01,2018-10-13,2018-10-13,6.03156666666667
1998-10-01,2018-10-13,2018-10-13,5.6296
1999-01-01,2018-10-13,2018-10-13,5.06333333333333
1999-04-01,2018-10-13,2018-10-13,4.01576666666667
1999-07-01,2018-10-13,2018-10-13,2.81476666666667
1999-10-01,2018-10-13,2018-10-13,2.7398
2000-01-01,2018-10-13,2018-10-13,2.69526666666667
2000-04-01,2018-10-13,2018-10-13,2.553
2000-07-01,2018-10-13,2018-10-13,2.45466666666667
2000-10-01,2018-10-13,2018-10-13,2.701
2001-01-01,2018-10-13,2018-10-13,2.76756666666667
2001-04-01,2018-10-13,2018-10-13,2.562
2001-07-01,2018-10-13,2018-10-13,2.4393
2001-10-01,2018-10-13,2018-10-13,2.31586666666667
2002-01-01,2018-10-13,2018-10-13,2.15423333333333
2002-04-01,2018-10-13,2018-10-13,1.98066666666667
2002-07-01,2018-10-13,2018-10-13,2.12666666666667
2002-10-01,2018-10-13,2018-10-13,2.34666666666667
2003-01-01,2018-10-13,2018-10-13,2.31333333333333
2003-04-01,2018-10-13,2018-10-13,2.20333333333333
2003-07-01,2018-10-13,2018-10-13,2.79333333333333
2003-10-01,2018-10-13,2018-10-13,3.16333333333333
2004-01-01,2018-10-13,2018-10-13,2.48
2004-04-01,2018-10-13,2018-10-13,2.84333333333333
2004-07-01,2018-10-13,2018-10-13,2.98666666666667
2004-10-01,2018-10-13,2018-10-13,2.86
2005-01-01,2018-10-13,2018-10-13,2.46
2005-04-01,2018-10-13,2018-10-13,1.74333333333333
2005-07-01,2018-10-13,2018-10-13,1.51666666666667
2005-10-01,2018-10-13,2018-10-13,1.71
2006-01-01,2018-10-13,2018-10-13,1.835
2006-04-01,2018-10-13,2018-10-13,2.34
2006-07-01,2018-10-13,2018-10-13,2.89666666666667
2006-10-01,2018-10-13,2018-10-13,2.84
2007-01-01,2018-10-13,2018-10-13,2.69333333333333
2007-04-01,2018-10-13,2018-10-13,3.54333333333333
2007-07-01,2018-10-13,2018-10-13,3.32666666666667
2007-10-01,2018-10-13,2018-10-13,4.48333333333333
2008-01-01,2018-10-13,2018-10-13,4.30666666666667
2008-04-01,2018-10-13,2018-10-13,4.36333333333333
2008-07-01,2018-10-13,2018-10-13,4.23
2008-10-01,2018-10-13,2018-10-13,3.23333333333333
2009-01-01,2018-10-13,2018-10-13,1.55333333333333
2009-04-01,2018-10-13,2018-10-13,1.15333333333333
2009-07-01,2018-10-13,2018-10-13,1.72
2009-10-01,2018-10-13,2018-10-13,1.91666666666667
2010-01-01,2018-10-13,2018-10-13,1.9
2010-04-01,2018-10-13,2018-10-13,2.48
2010-07-01,2018-10-13,2018-10-13,2.49333333333333
2010-10-01,2018-10-13,2018-10-13,3.69
2011-01-01,2018-10-13,2018-10-13,4.61333333333333
2011-04-01,2018-10-13,2018-10-13,4.69666666666667
2011-07-01,2018-10-13,2018-10-13,5.59
2011-10-01,2018-10-13,2018-10-13,5.65666666666667
2012-01-01,2018-10-13,2018-10-13,5.62666666666667
2012-04-01,2018-10-13,2018-10-13,4.03666666666667
2012-07-01,2018-10-13,2018-10-13,3.72333333333333
2012-10-01,2018-10-13,2018-10-13,3.85666666666667
2013-01-01,2018-10-13,2018-10-13,3.66666666666667
2013-04-01,2018-10-13,2018-10-13,4.70666666666667
2013-07-01,2018-10-13,2018-10-13,5.35666666666667
2013-10-01,2018-10-13,2018-10-13,6.17666666666667
2014-01-01,2018-10-13,2018-10-13,5.58
2014-04-01,2018-10-13,2018-10-13,4.57666666666667
2014-07-01,2018-10-13,2018-10-13,4.49333333333333
2014-10-01,2018-10-13,2018-10-13,4.56666666666667
2015-01-01,2018-10-13,2018-10-13,5.19
