date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,4.57
1960-04-01,2018-10-13,2018-10-13,4.96333333333333
1960-07-01,2018-10-13,2018-10-13,5.57
1960-10-01,2018-10-13,2018-10-13,4.69333333333333
1961-01-01,2018-10-13,2018-10-13,4.35333333333333
1961-04-01,2018-10-13,2018-10-13,4.46333333333333
1961-07-01,2018-10-13,2018-10-13,6.64666666666667
1961-10-01,2018-10-13,2018-10-13,5.50666666666667
1962-01-01,2018-10-13,2018-10-13,5.06
1962-04-01,2018-10-13,2018-10-13,3.93
1962-07-01,2018-10-13,2018-10-13,3.76
1962-10-01,2018-10-13,2018-10-13,3.75666666666667
1963-01-01,2018-10-13,2018-10-13,3.56
1963-04-01,2018-10-13,2018-10-13,3.68333333333333
1963-07-01,2018-10-13,2018-10-13,3.71666666666667
1963-10-01,2018-10-13,2018-10-13,3.73333333333333
1964-01-01,2018-10-13,2018-10-13,4.12333333333333
1964-04-01,2018-10-13,2018-10-13,4.38
1964-07-01,2018-10-13,2018-10-13,4.65333333333333
1964-10-01,2018-10-13,2018-10-13,5.98666666666667
1965-01-01,2018-10-13,2018-10-13,6.51
1965-04-01,2018-10-13,2018-10-13,6.09333333333333
1965-07-01,2018-10-13,2018-10-13,5.56
1965-10-01,2018-10-13,2018-10-13,5.45333333333333
1966-01-01,2018-10-13,2018-10-13,5.56666666666667
1966-04-01,2018-10-13,2018-10-13,5.67666666666667
1966-07-01,2018-10-13,2018-10-13,6.72
1966-10-01,2018-10-13,2018-10-13,6.59333333333333
1967-01-01,2018-10-13,2018-10-13,5.87333333333333
1967-04-01,2018-10-13,2018-10-13,5.31333333333333
1967-07-01,2018-10-13,2018-10-13,5.37333333333333
1967-10-01,2018-10-13,2018-10-13,6.92
1968-01-01,2018-10-13,2018-10-13,7.33333333333333
1968-04-01,2018-10-13,2018-10-13,7.18666666666667
1968-07-01,2018-10-13,2018-10-13,6.86333333333333
1968-10-01,2018-10-13,2018-10-13,6.68666666666667
1969-01-01,2018-10-13,2018-10-13,7.40666666666667
1969-04-01,2018-10-13,2018-10-13,7.84333333333333
1969-07-01,2018-10-13,2018-10-13,7.81
1969-10-01,2018-10-13,2018-10-13,7.71
