date,realtime_start,realtime_end,value
2005-01-01,2018-10-13,2018-10-13,40411150.0
2006-01-01,2018-10-13,2018-10-13,40874425.0
2007-01-01,2018-10-13,2018-10-13,40991925.0
2008-01-01,2018-10-13,2018-10-13,41032350.0
2009-01-01,2018-10-13,2018-10-13,41029625.0
2010-01-01,2018-10-13,2018-10-13,40178300.0
2011-01-01,2018-10-13,2018-10-13,40437425.0
2012-01-01,2018-10-13,2018-10-13,40538075.0
2013-01-01,2018-10-13,2018-10-13,40814225.0
2014-01-01,2018-10-13,2018-10-13,40989700.0
2015-01-01,2018-10-13,2018-10-13,41116975.0
2016-01-01,2018-10-13,2018-10-13,41931650.0
2017-01-01,2018-10-13,2018-10-13,42093600.0
