date,realtime_start,realtime_end,value
1990-01-01,2018-10-13,2018-10-13,99.0583405783594
1990-02-01,2018-10-13,2018-10-13,99.1155785968332
1990-03-01,2018-10-13,2018-10-13,99.2011567817832
1990-04-01,2018-10-13,2018-10-13,99.3145174476878
1990-05-01,2018-10-13,2018-10-13,99.4211792803207
1990-06-01,2018-10-13,2018-10-13,99.4602052832108
1990-07-01,2018-10-13,2018-10-13,99.3986457614951
1990-08-01,2018-10-13,2018-10-13,99.2730647272716
1990-09-01,2018-10-13,2018-10-13,99.1705470130718
1990-10-01,2018-10-13,2018-10-13,99.1931744895986
1990-11-01,2018-10-13,2018-10-13,99.3994389634403
1990-12-01,2018-10-13,2018-10-13,99.7816147005433
1991-01-01,2018-10-13,2018-10-13,100.260874972978
1991-02-01,2018-10-13,2018-10-13,100.707878363051
1991-03-01,2018-10-13,2018-10-13,100.987099144449
1991-04-01,2018-10-13,2018-10-13,101.033414545743
1991-05-01,2018-10-13,2018-10-13,100.854817397845
1991-06-01,2018-10-13,2018-10-13,100.526376936833
1991-07-01,2018-10-13,2018-10-13,100.16745493124
1991-08-01,2018-10-13,2018-10-13,99.8673841018547
1991-09-01,2018-10-13,2018-10-13,99.6819042902201
1991-10-01,2018-10-13,2018-10-13,99.611023655046
1991-11-01,2018-10-13,2018-10-13,99.6233936673583
1991-12-01,2018-10-13,2018-10-13,99.6869135415514
1992-01-01,2018-10-13,2018-10-13,99.7966364271979
1992-02-01,2018-10-13,2018-10-13,99.9918019430977
1992-03-01,2018-10-13,2018-10-13,100.326665699875
1992-04-01,2018-10-13,2018-10-13,100.836438600565
1992-05-01,2018-10-13,2018-10-13,101.484356512684
1992-06-01,2018-10-13,2018-10-13,102.175498021122
1992-07-01,2018-10-13,2018-10-13,102.793561986088
1992-08-01,2018-10-13,2018-10-13,103.27497391298
1992-09-01,2018-10-13,2018-10-13,103.594965049239
1992-10-01,2018-10-13,2018-10-13,103.769474906915
1992-11-01,2018-10-13,2018-10-13,103.857369759382
1992-12-01,2018-10-13,2018-10-13,103.906761396025
1993-01-01,2018-10-13,2018-10-13,103.947664678016
1993-02-01,2018-10-13,2018-10-13,103.982882105793
1993-03-01,2018-10-13,2018-10-13,104.027652945313
1993-04-01,2018-10-13,2018-10-13,104.114712004393
1993-05-01,2018-10-13,2018-10-13,104.289794997313
1993-06-01,2018-10-13,2018-10-13,104.56485568986
1993-07-01,2018-10-13,2018-10-13,104.863811518767
1993-08-01,2018-10-13,2018-10-13,105.069692532143
1993-09-01,2018-10-13,2018-10-13,105.047895193535
1993-10-01,2018-10-13,2018-10-13,104.722234797403
1993-11-01,2018-10-13,2018-10-13,104.096742807728
1993-12-01,2018-10-13,2018-10-13,103.259117621174
1994-01-01,2018-10-13,2018-10-13,102.361797290817
1994-02-01,2018-10-13,2018-10-13,101.533232017905
1994-03-01,2018-10-13,2018-10-13,100.848851787422
1994-04-01,2018-10-13,2018-10-13,100.31383135445
1994-05-01,2018-10-13,2018-10-13,99.9030512087052
1994-06-01,2018-10-13,2018-10-13,99.6128035580577
1994-07-01,2018-10-13,2018-10-13,99.4688104330574
1994-08-01,2018-10-13,2018-10-13,99.4942617046116
1994-09-01,2018-10-13,2018-10-13,99.6927033924989
1994-10-01,2018-10-13,2018-10-13,100.062862597937
1994-11-01,2018-10-13,2018-10-13,100.561310632179
1994-12-01,2018-10-13,2018-10-13,101.135065852295
1995-01-01,2018-10-13,2018-10-13,101.746736280505
1995-02-01,2018-10-13,2018-10-13,102.324355037642
1995-03-01,2018-10-13,2018-10-13,102.794129180887
1995-04-01,2018-10-13,2018-10-13,103.106964008456
1995-05-01,2018-10-13,2018-10-13,103.211727161685
1995-06-01,2018-10-13,2018-10-13,103.104899634563
1995-07-01,2018-10-13,2018-10-13,102.846641232859
1995-08-01,2018-10-13,2018-10-13,102.546789488884
1995-09-01,2018-10-13,2018-10-13,102.300908430222
1995-10-01,2018-10-13,2018-10-13,102.167930690736
1995-11-01,2018-10-13,2018-10-13,102.174381344496
1995-12-01,2018-10-13,2018-10-13,102.286250828784
1996-01-01,2018-10-13,2018-10-13,102.442820494451
1996-02-01,2018-10-13,2018-10-13,102.565621733998
1996-03-01,2018-10-13,2018-10-13,102.603247336511
1996-04-01,2018-10-13,2018-10-13,102.569655064606
1996-05-01,2018-10-13,2018-10-13,102.506542051909
1996-06-01,2018-10-13,2018-10-13,102.436384666725
1996-07-01,2018-10-13,2018-10-13,102.38527532061
1996-08-01,2018-10-13,2018-10-13,102.332251241189
1996-09-01,2018-10-13,2018-10-13,102.300680022399
1996-10-01,2018-10-13,2018-10-13,102.250178887415
1996-11-01,2018-10-13,2018-10-13,102.067909703327
1996-12-01,2018-10-13,2018-10-13,101.578803911999
1997-01-01,2018-10-13,2018-10-13,100.768107918275
1997-02-01,2018-10-13,2018-10-13,100.189936473071
1997-03-01,2018-10-13,2018-10-13,99.925263277506
1997-04-01,2018-10-13,2018-10-13,99.9184352033784
1997-05-01,2018-10-13,2018-10-13,100.080740672247
1997-06-01,2018-10-13,2018-10-13,100.297237729555
1997-07-01,2018-10-13,2018-10-13,100.465829596373
1997-08-01,2018-10-13,2018-10-13,100.522424836818
1997-09-01,2018-10-13,2018-10-13,100.473726511843
1997-10-01,2018-10-13,2018-10-13,100.380913142912
1997-11-01,2018-10-13,2018-10-13,100.327784628733
1997-12-01,2018-10-13,2018-10-13,100.352470797704
1998-01-01,2018-10-13,2018-10-13,100.339455105606
1998-02-01,2018-10-13,2018-10-13,99.9546122625081
1998-03-01,2018-10-13,2018-10-13,99.3429193949329
1998-04-01,2018-10-13,2018-10-13,98.8286034188888
1998-05-01,2018-10-13,2018-10-13,98.3185477838007
1998-06-01,2018-10-13,2018-10-13,97.8166084485547
1998-07-01,2018-10-13,2018-10-13,97.4906312712494
1998-08-01,2018-10-13,2018-10-13,97.5702482826204
1998-09-01,2018-10-13,2018-10-13,97.7867783726727
1998-10-01,2018-10-13,2018-10-13,98.0185819534968
1998-11-01,2018-10-13,2018-10-13,98.1550832774587
1998-12-01,2018-10-13,2018-10-13,98.3482813058338
1999-01-01,2018-10-13,2018-10-13,98.5540387518735
1999-02-01,2018-10-13,2018-10-13,98.6610936854011
1999-03-01,2018-10-13,2018-10-13,98.6880641279875
1999-04-01,2018-10-13,2018-10-13,98.7569455276664
1999-05-01,2018-10-13,2018-10-13,98.9050354998619
1999-06-01,2018-10-13,2018-10-13,99.0563286318309
1999-07-01,2018-10-13,2018-10-13,99.1553599393182
1999-08-01,2018-10-13,2018-10-13,99.3381213675593
1999-09-01,2018-10-13,2018-10-13,99.4705446466996
1999-10-01,2018-10-13,2018-10-13,99.5698829253755
1999-11-01,2018-10-13,2018-10-13,99.7125636956956
1999-12-01,2018-10-13,2018-10-13,99.8945743104431
2000-01-01,2018-10-13,2018-10-13,100.009609825121
2000-02-01,2018-10-13,2018-10-13,100.110100628538
2000-03-01,2018-10-13,2018-10-13,100.211624519893
2000-04-01,2018-10-13,2018-10-13,100.313244517717
2000-05-01,2018-10-13,2018-10-13,100.416813580886
2000-06-01,2018-10-13,2018-10-13,100.50590701904
2000-07-01,2018-10-13,2018-10-13,100.603358245897
2000-08-01,2018-10-13,2018-10-13,100.722441545224
2000-09-01,2018-10-13,2018-10-13,100.849973252221
2000-10-01,2018-10-13,2018-10-13,100.948057066558
2000-11-01,2018-10-13,2018-10-13,101.027933365985
2000-12-01,2018-10-13,2018-10-13,101.092171596116
2001-01-01,2018-10-13,2018-10-13,101.13534637925
2001-02-01,2018-10-13,2018-10-13,101.160351692476
2001-03-01,2018-10-13,2018-10-13,101.215778492786
2001-04-01,2018-10-13,2018-10-13,101.290356995605
2001-05-01,2018-10-13,2018-10-13,101.338082282724
2001-06-01,2018-10-13,2018-10-13,101.405016820091
2001-07-01,2018-10-13,2018-10-13,101.460736558321
2001-08-01,2018-10-13,2018-10-13,101.411948803579
2001-09-01,2018-10-13,2018-10-13,101.328705908196
2001-10-01,2018-10-13,2018-10-13,101.251535800683
2001-11-01,2018-10-13,2018-10-13,101.19413247287
2001-12-01,2018-10-13,2018-10-13,101.1802498833
2002-01-01,2018-10-13,2018-10-13,101.180276672679
2002-02-01,2018-10-13,2018-10-13,101.205671161683
2002-03-01,2018-10-13,2018-10-13,101.22838215334
2002-04-01,2018-10-13,2018-10-13,101.236006852271
2002-05-01,2018-10-13,2018-10-13,101.24935607715
2002-06-01,2018-10-13,2018-10-13,101.274553357653
2002-07-01,2018-10-13,2018-10-13,101.289685709579
2002-08-01,2018-10-13,2018-10-13,101.300158762591
2002-09-01,2018-10-13,2018-10-13,101.323564408291
2002-10-01,2018-10-13,2018-10-13,101.379207747206
2002-11-01,2018-10-13,2018-10-13,101.464701443085
2002-12-01,2018-10-13,2018-10-13,101.540598588113
2003-01-01,2018-10-13,2018-10-13,101.52545141527
2003-02-01,2018-10-13,2018-10-13,101.17963794918
2003-03-01,2018-10-13,2018-10-13,100.201061587203
2003-04-01,2018-10-13,2018-10-13,98.6112407696414
2003-05-01,2018-10-13,2018-10-13,97.6533329334741
2003-06-01,2018-10-13,2018-10-13,97.7973731631098
2003-07-01,2018-10-13,2018-10-13,98.4898959029084
2003-08-01,2018-10-13,2018-10-13,99.1779046470691
2003-09-01,2018-10-13,2018-10-13,99.6635305069888
2003-10-01,2018-10-13,2018-10-13,100.020166528925
2003-11-01,2018-10-13,2018-10-13,100.267946650559
2003-12-01,2018-10-13,2018-10-13,100.460147924402
2004-01-01,2018-10-13,2018-10-13,100.556239008517
2004-02-01,2018-10-13,2018-10-13,100.551888525657
2004-03-01,2018-10-13,2018-10-13,100.423150183261
2004-04-01,2018-10-13,2018-10-13,100.050260848081
2004-05-01,2018-10-13,2018-10-13,99.4269312968147
2004-06-01,2018-10-13,2018-10-13,98.8721307348002
2004-07-01,2018-10-13,2018-10-13,98.6867874483696
2004-08-01,2018-10-13,2018-10-13,98.7016842638248
2004-09-01,2018-10-13,2018-10-13,98.8655638750835
2004-10-01,2018-10-13,2018-10-13,99.1094034158594
2004-11-01,2018-10-13,2018-10-13,99.3839158690109
2004-12-01,2018-10-13,2018-10-13,99.6170915463725
2005-01-01,2018-10-13,2018-10-13,99.8021714726966
2005-02-01,2018-10-13,2018-10-13,99.9658527288993
2005-03-01,2018-10-13,2018-10-13,100.104037138101
2005-04-01,2018-10-13,2018-10-13,100.179254825908
2005-05-01,2018-10-13,2018-10-13,100.183860831822
2005-06-01,2018-10-13,2018-10-13,100.185646033792
2005-07-01,2018-10-13,2018-10-13,100.162126325822
2005-08-01,2018-10-13,2018-10-13,100.119586028355
2005-09-01,2018-10-13,2018-10-13,100.036045188011
2005-10-01,2018-10-13,2018-10-13,99.9440760791664
2005-11-01,2018-10-13,2018-10-13,99.9337916360619
2005-12-01,2018-10-13,2018-10-13,100.003157336914
2006-01-01,2018-10-13,2018-10-13,100.0279994429
2006-02-01,2018-10-13,2018-10-13,99.9745727261552
2006-03-01,2018-10-13,2018-10-13,99.955270772029
2006-04-01,2018-10-13,2018-10-13,99.9195668587386
2006-05-01,2018-10-13,2018-10-13,99.9149731362229
2006-06-01,2018-10-13,2018-10-13,99.9616397229467
2006-07-01,2018-10-13,2018-10-13,100.056948428418
2006-08-01,2018-10-13,2018-10-13,100.249674778825
2006-09-01,2018-10-13,2018-10-13,100.50440310745
2006-10-01,2018-10-13,2018-10-13,100.694070743213
2006-11-01,2018-10-13,2018-10-13,100.852719853985
2006-12-01,2018-10-13,2018-10-13,100.945553606695
2007-01-01,2018-10-13,2018-10-13,100.871391873052
2007-02-01,2018-10-13,2018-10-13,100.740378554749
2007-03-01,2018-10-13,2018-10-13,100.690375610728
2007-04-01,2018-10-13,2018-10-13,100.832705836523
2007-05-01,2018-10-13,2018-10-13,101.028277620259
2007-06-01,2018-10-13,2018-10-13,101.180237721369
2007-07-01,2018-10-13,2018-10-13,101.207559544162
2007-08-01,2018-10-13,2018-10-13,101.207237428868
2007-09-01,2018-10-13,2018-10-13,101.136976159165
2007-10-01,2018-10-13,2018-10-13,101.033004579728
2007-11-01,2018-10-13,2018-10-13,100.943397771928
2007-12-01,2018-10-13,2018-10-13,100.854833335123
2008-01-01,2018-10-13,2018-10-13,100.596927655507
2008-02-01,2018-10-13,2018-10-13,100.301341420829
2008-03-01,2018-10-13,2018-10-13,100.136094646435
