date,realtime_start,realtime_end,value
1960-01-01,2018-10-13,2018-10-13,101.52058504507
1960-02-01,2018-10-13,2018-10-13,101.265996348349
1960-03-01,2018-10-13,2018-10-13,101.046053690125
1960-04-01,2018-10-13,2018-10-13,100.924730106313
1960-05-01,2018-10-13,2018-10-13,100.955360549503
1960-06-01,2018-10-13,2018-10-13,101.042057734972
1960-07-01,2018-10-13,2018-10-13,101.060371276439
1960-08-01,2018-10-13,2018-10-13,100.921880079544
1960-09-01,2018-10-13,2018-10-13,100.707168379324
1960-10-01,2018-10-13,2018-10-13,100.528892318644
1960-11-01,2018-10-13,2018-10-13,100.471067031104
1960-12-01,2018-10-13,2018-10-13,100.491918083258
1961-01-01,2018-10-13,2018-10-13,100.539895061743
1961-02-01,2018-10-13,2018-10-13,100.591008820723
1961-03-01,2018-10-13,2018-10-13,100.659042802995
1961-04-01,2018-10-13,2018-10-13,100.779352260772
1961-05-01,2018-10-13,2018-10-13,100.975743253158
1961-06-01,2018-10-13,2018-10-13,101.17507616814
1961-07-01,2018-10-13,2018-10-13,101.270782467991
1961-08-01,2018-10-13,2018-10-13,101.183439513262
1961-09-01,2018-10-13,2018-10-13,101.024972000726
1961-10-01,2018-10-13,2018-10-13,100.945483279399
1961-11-01,2018-10-13,2018-10-13,101.051211225527
1961-12-01,2018-10-13,2018-10-13,101.243505325199
1962-01-01,2018-10-13,2018-10-13,101.380764906354
1962-02-01,2018-10-13,2018-10-13,101.353811217246
1962-03-01,2018-10-13,2018-10-13,101.216294023422
1962-04-01,2018-10-13,2018-10-13,101.037080398048
1962-05-01,2018-10-13,2018-10-13,100.86320701695
1962-06-01,2018-10-13,2018-10-13,100.724528885201
1962-07-01,2018-10-13,2018-10-13,100.66018235886
1962-08-01,2018-10-13,2018-10-13,100.709852918527
1962-09-01,2018-10-13,2018-10-13,100.830711336318
1962-10-01,2018-10-13,2018-10-13,100.979636594893
1962-11-01,2018-10-13,2018-10-13,101.124250949523
1962-12-01,2018-10-13,2018-10-13,101.225888148207
1963-01-01,2018-10-13,2018-10-13,101.226872555736
1963-02-01,2018-10-13,2018-10-13,101.080775434865
1963-03-01,2018-10-13,2018-10-13,100.883324017479
1963-04-01,2018-10-13,2018-10-13,100.75859088766
1963-05-01,2018-10-13,2018-10-13,100.796537660108
1963-06-01,2018-10-13,2018-10-13,100.917840372161
1963-07-01,2018-10-13,2018-10-13,101.018266050463
1963-08-01,2018-10-13,2018-10-13,101.029693336868
1963-09-01,2018-10-13,2018-10-13,101.002010149249
1963-10-01,2018-10-13,2018-10-13,101.014101995252
1963-11-01,2018-10-13,2018-10-13,101.123950761229
1963-12-01,2018-10-13,2018-10-13,101.278958466387
1964-01-01,2018-10-13,2018-10-13,101.403938715432
1964-02-01,2018-10-13,2018-10-13,101.443949212035
1964-03-01,2018-10-13,2018-10-13,101.437151728408
1964-04-01,2018-10-13,2018-10-13,101.436009409358
1964-05-01,2018-10-13,2018-10-13,101.47529205541
1964-06-01,2018-10-13,2018-10-13,101.534426242511
1964-07-01,2018-10-13,2018-10-13,101.579676295418
1964-08-01,2018-10-13,2018-10-13,101.586473720021
1964-09-01,2018-10-13,2018-10-13,101.575630769876
1964-10-01,2018-10-13,2018-10-13,101.579388485665
1964-11-01,2018-10-13,2018-10-13,101.625105097773
1964-12-01,2018-10-13,2018-10-13,101.704343774568
1965-01-01,2018-10-13,2018-10-13,101.808619629725
1965-02-01,2018-10-13,2018-10-13,101.931624664862
1965-03-01,2018-10-13,2018-10-13,102.046415533819
1965-04-01,2018-10-13,2018-10-13,102.114301982719
1965-05-01,2018-10-13,2018-10-13,102.101949467854
1965-06-01,2018-10-13,2018-10-13,102.045386181983
1965-07-01,2018-10-13,2018-10-13,101.984771165862
1965-08-01,2018-10-13,2018-10-13,101.943373202413
1965-09-01,2018-10-13,2018-10-13,101.910601429504
1965-10-01,2018-10-13,2018-10-13,101.864007199655
1965-11-01,2018-10-13,2018-10-13,101.782659760843
1965-12-01,2018-10-13,2018-10-13,101.674344382605
1966-01-01,2018-10-13,2018-10-13,101.544412411755
1966-02-01,2018-10-13,2018-10-13,101.391599279166
1966-03-01,2018-10-13,2018-10-13,101.225459087521
1966-04-01,2018-10-13,2018-10-13,101.052371285456
1966-05-01,2018-10-13,2018-10-13,100.874874399588
1966-06-01,2018-10-13,2018-10-13,100.697947378131
1966-07-01,2018-10-13,2018-10-13,100.531941577984
1966-08-01,2018-10-13,2018-10-13,100.394942887399
1966-09-01,2018-10-13,2018-10-13,100.304212627348
1966-10-01,2018-10-13,2018-10-13,100.300688862501
1966-11-01,2018-10-13,2018-10-13,100.427219282838
1966-12-01,2018-10-13,2018-10-13,100.619587588893
1967-01-01,2018-10-13,2018-10-13,100.804977829459
1967-02-01,2018-10-13,2018-10-13,100.934600854747
1967-03-01,2018-10-13,2018-10-13,101.023298833855
1967-04-01,2018-10-13,2018-10-13,101.089748189001
1967-05-01,2018-10-13,2018-10-13,101.137587575927
1967-06-01,2018-10-13,2018-10-13,101.158794488264
1967-07-01,2018-10-13,2018-10-13,101.128517290699
1967-08-01,2018-10-13,2018-10-13,101.026539725562
1967-09-01,2018-10-13,2018-10-13,100.910229530485
1967-10-01,2018-10-13,2018-10-13,100.857467984259
1967-11-01,2018-10-13,2018-10-13,100.923912083792
1967-12-01,2018-10-13,2018-10-13,101.036708071058
1968-01-01,2018-10-13,2018-10-13,101.094853792015
1968-02-01,2018-10-13,2018-10-13,101.023209168946
1968-03-01,2018-10-13,2018-10-13,100.881156937961
1968-04-01,2018-10-13,2018-10-13,100.748044713355
1968-05-01,2018-10-13,2018-10-13,100.679034659898
1968-06-01,2018-10-13,2018-10-13,100.652013158729
1968-07-01,2018-10-13,2018-10-13,100.636600860825
1968-08-01,2018-10-13,2018-10-13,100.621174188158
1968-09-01,2018-10-13,2018-10-13,100.628277631607
1968-10-01,2018-10-13,2018-10-13,100.702895884201
1968-11-01,2018-10-13,2018-10-13,100.87819585708
1968-12-01,2018-10-13,2018-10-13,101.073753887484
1969-01-01,2018-10-13,2018-10-13,101.172405064496
1969-02-01,2018-10-13,2018-10-13,101.076834496117
1969-03-01,2018-10-13,2018-10-13,100.863075430872
1969-04-01,2018-10-13,2018-10-13,100.616172088399
1969-05-01,2018-10-13,2018-10-13,100.384030985722
1969-06-01,2018-10-13,2018-10-13,100.164416541925
1969-07-01,2018-10-13,2018-10-13,99.9392519622093
1969-08-01,2018-10-13,2018-10-13,99.6963934630681
1969-09-01,2018-10-13,2018-10-13,99.4569546333798
1969-10-01,2018-10-13,2018-10-13,99.2582571957486
1969-11-01,2018-10-13,2018-10-13,99.1333620972279
1969-12-01,2018-10-13,2018-10-13,99.0498592091506
1970-01-01,2018-10-13,2018-10-13,98.97269490647
1970-02-01,2018-10-13,2018-10-13,98.8856074354939
1970-03-01,2018-10-13,2018-10-13,98.8062236973853
1970-04-01,2018-10-13,2018-10-13,98.7684077798687
1970-05-01,2018-10-13,2018-10-13,98.7969057560684
1970-06-01,2018-10-13,2018-10-13,98.8404226627544
1970-07-01,2018-10-13,2018-10-13,98.8284673631608
1970-08-01,2018-10-13,2018-10-13,98.7131784804808
1970-09-01,2018-10-13,2018-10-13,98.5666225364774
1970-10-01,2018-10-13,2018-10-13,98.4943633959572
1970-11-01,2018-10-13,2018-10-13,98.5802987714037
1970-12-01,2018-10-13,2018-10-13,98.7571999252901
1971-01-01,2018-10-13,2018-10-13,98.9418918330933
1971-02-01,2018-10-13,2018-10-13,99.0794675678658
1971-03-01,2018-10-13,2018-10-13,99.1797119308922
1971-04-01,2018-10-13,2018-10-13,99.2609893363492
1971-05-01,2018-10-13,2018-10-13,99.3314630677114
1971-06-01,2018-10-13,2018-10-13,99.3892814917266
1971-07-01,2018-10-13,2018-10-13,99.4258095061525
1971-08-01,2018-10-13,2018-10-13,99.4415152960034
1971-09-01,2018-10-13,2018-10-13,99.4831474982226
1971-10-01,2018-10-13,2018-10-13,99.6241501922473
1971-11-01,2018-10-13,2018-10-13,99.9191514770396
1971-12-01,2018-10-13,2018-10-13,100.259081557477
1972-01-01,2018-10-13,2018-10-13,100.495127216643
1972-02-01,2018-10-13,2018-10-13,100.517757492464
1972-03-01,2018-10-13,2018-10-13,100.439633775635
1972-04-01,2018-10-13,2018-10-13,100.41005229492
1972-05-01,2018-10-13,2018-10-13,100.530140595131
1972-06-01,2018-10-13,2018-10-13,100.719511778966
1972-07-01,2018-10-13,2018-10-13,100.85220472502
1972-08-01,2018-10-13,2018-10-13,100.823341422167
