date,realtime_start,realtime_end,value
1968-01-01,2018-10-13,2018-10-13,5.11666666666667
1969-01-01,2018-10-13,2018-10-13,5.56666666666667
1970-01-01,2018-10-13,2018-10-13,7.10833333333333
1971-01-01,2018-10-13,2018-10-13,7.00833333333333
1972-01-01,2018-10-13,2018-10-13,5.08333333333333
1973-01-01,2018-10-13,2018-10-13,6.98333333333333
1974-01-01,2018-10-13,2018-10-13,13.1583333333333
1975-01-01,2018-10-13,2018-10-13,8.525
1976-01-01,2018-10-13,2018-10-13,9.24
1977-01-01,2018-10-13,2018-10-13,10.2125
1978-01-01,2018-10-13,2018-10-13,9.84333333333334
1979-01-01,2018-10-13,2018-10-13,9.77333333333333
1980-01-01,2018-10-13,2018-10-13,12.0275
1981-01-01,2018-10-13,2018-10-13,15.0383333333333
1982-01-01,2018-10-13,2018-10-13,16.8341666666667
1983-01-01,2018-10-13,2018-10-13,12.1991666666667
1984-01-01,2018-10-13,2018-10-13,12.1
1985-01-01,2018-10-13,2018-10-13,15.9825
1986-01-01,2018-10-13,2018-10-13,16.4516666666667
1987-01-01,2018-10-13,2018-10-13,13.75
1988-01-01,2018-10-13,2018-10-13,12.8
1989-01-01,2018-10-13,2018-10-13,17.6116666666667
1990-01-01,2018-10-13,2018-10-13,14.5433333333333
1991-01-01,2018-10-13,2018-10-13,10.2258333333333
1992-01-01,2018-10-13,2018-10-13,6.46583333333333
1993-01-01,2018-10-13,2018-10-13,5.15166666666667
1994-01-01,2018-10-13,2018-10-13,5.65666666666667
1995-01-01,2018-10-13,2018-10-13,7.72583333333333
1996-01-01,2018-10-13,2018-10-13,7.15166666666667
1997-01-01,2018-10-13,2018-10-13,5.39583333333333
1998-01-01,2018-10-13,2018-10-13,5.00166666666667
1999-01-01,2018-10-13,2018-10-13,5.01166666666667
2000-01-01,2018-10-13,2018-10-13,6.1775
2001-01-01,2018-10-13,2018-10-13,4.89916666666667
2002-01-01,2018-10-13,2018-10-13,4.74666666666667
2003-01-01,2018-10-13,2018-10-13,4.89583333333333
2004-01-01,2018-10-13,2018-10-13,5.47833333333333
2005-01-01,2018-10-13,2018-10-13,5.64416666666667
2006-01-01,2018-10-13,2018-10-13,5.98833333333333
2007-01-01,2018-10-13,2018-10-13,6.6675
2008-01-01,2018-10-13,2018-10-13,6.97333333333333
2009-01-01,2018-10-13,2018-10-13,3.43416666666667
2010-01-01,2018-10-13,2018-10-13,4.68333333333333
2011-01-01,2018-10-13,2018-10-13,4.84833333333333
2012-01-01,2018-10-13,2018-10-13,3.72833333333333
2013-01-01,2018-10-13,2018-10-13,2.78
2014-01-01,2018-10-13,2018-10-13,2.67833333333333
2015-01-01,2018-10-13,2018-10-13,2.25583333333333
2016-01-01,2018-10-13,2018-10-13,1.98833333333333
2017-01-01,2018-10-13,2018-10-13,1.74
