date,realtime_start,realtime_end,value
1970-01-01,2018-10-13,2018-10-13,10.35
1970-02-01,2018-10-13,2018-10-13,9.86
1970-03-01,2018-10-13,2018-10-13,9.55
1970-04-01,2018-10-13,2018-10-13,8.95
1970-05-01,2018-10-13,2018-10-13,9.02
1970-06-01,2018-10-13,2018-10-13,9.59
1970-07-01,2018-10-13,2018-10-13,9.1
1970-08-01,2018-10-13,2018-10-13,8.64
1970-09-01,2018-10-13,2018-10-13,8.28
1970-10-01,2018-10-13,2018-10-13,8.28
1970-11-01,2018-10-13,2018-10-13,7.96
1970-12-01,2018-10-13,2018-10-13,7.52
1971-01-01,2018-10-13,2018-10-13,6.67
1971-02-01,2018-10-13,2018-10-13,6.29
1971-03-01,2018-10-13,2018-10-13,6.17
1971-04-01,2018-10-13,2018-10-13,5.99
1971-05-01,2018-10-13,2018-10-13,6.53
1971-06-01,2018-10-13,2018-10-13,6.95
1971-07-01,2018-10-13,2018-10-13,6.29
1971-08-01,2018-10-13,2018-10-13,6.41
1971-09-01,2018-10-13,2018-10-13,6.41
1971-10-01,2018-10-13,2018-10-13,6.18
1971-11-01,2018-10-13,2018-10-13,5.87
1971-12-01,2018-10-13,2018-10-13,5.68
1972-01-01,2018-10-13,2018-10-13,5.39
1972-02-01,2018-10-13,2018-10-13,5.41
1972-03-01,2018-10-13,2018-10-13,4.97
1972-04-01,2018-10-13,2018-10-13,5.11
1972-05-01,2018-10-13,2018-10-13,5.42
1972-06-01,2018-10-13,2018-10-13,4.89
1972-07-01,2018-10-13,2018-10-13,4.85
1972-08-01,2018-10-13,2018-10-13,4.73
1972-09-01,2018-10-13,2018-10-13,4.78
1972-10-01,2018-10-13,2018-10-13,5.82
1972-11-01,2018-10-13,2018-10-13,6.81
1972-12-01,2018-10-13,2018-10-13,7.9
1973-01-01,2018-10-13,2018-10-13,7.72
1973-02-01,2018-10-13,2018-10-13,7.89
1973-03-01,2018-10-13,2018-10-13,7.8
1973-04-01,2018-10-13,2018-10-13,7.68
1973-05-01,2018-10-13,2018-10-13,7.84
1973-06-01,2018-10-13,2018-10-13,8
1973-07-01,2018-10-13,2018-10-13,8.94
1973-08-01,2018-10-13,2018-10-13,9.41
1973-09-01,2018-10-13,2018-10-13,10.37
1973-10-01,2018-10-13,2018-10-13,11.36
1973-11-01,2018-10-13,2018-10-13,11.18
1973-12-01,2018-10-13,2018-10-13,11.36
1974-01-01,2018-10-13,2018-10-13,13.43
1974-02-01,2018-10-13,2018-10-13,12.49
1974-03-01,2018-10-13,2018-10-13,12.33
1974-04-01,2018-10-13,2018-10-13,12.27
1974-05-01,2018-10-13,2018-10-13,12.78
1974-06-01,2018-10-13,2018-10-13,13.74
1974-07-01,2018-10-13,2018-10-13,14.13
1974-08-01,2018-10-13,2018-10-13,13.97
1974-09-01,2018-10-13,2018-10-13,13.92
1974-10-01,2018-10-13,2018-10-13,13.38
1974-11-01,2018-10-13,2018-10-13,12.26
1974-12-01,2018-10-13,2018-10-13,11.53
1975-01-01,2018-10-13,2018-10-13,11.03
1975-02-01,2018-10-13,2018-10-13,9.79
1975-03-01,2018-10-13,2018-10-13,8.94
1975-04-01,2018-10-13,2018-10-13,8.24
1975-05-01,2018-10-13,2018-10-13,7.58
1975-06-01,2018-10-13,2018-10-13,7.26
1975-07-01,2018-10-13,2018-10-13,7.33
1975-08-01,2018-10-13,2018-10-13,7.12
1975-09-01,2018-10-13,2018-10-13,7.05
1975-10-01,2018-10-13,2018-10-13,7.01
1975-11-01,2018-10-13,2018-10-13,6.98
1975-12-01,2018-10-13,2018-10-13,6.75
1976-01-01,2018-10-13,2018-10-13,6.41
1976-02-01,2018-10-13,2018-10-13,7.43
1976-03-01,2018-10-13,2018-10-13,7.84
1976-04-01,2018-10-13,2018-10-13,7.68
1976-05-01,2018-10-13,2018-10-13,7.8
1976-06-01,2018-10-13,2018-10-13,7.99
1976-07-01,2018-10-13,2018-10-13,8.48
1976-08-01,2018-10-13,2018-10-13,9.61
1976-09-01,2018-10-13,2018-10-13,9.59
1976-10-01,2018-10-13,2018-10-13,10.34
1976-11-01,2018-10-13,2018-10-13,10.54
1976-12-01,2018-10-13,2018-10-13,10.57
1977-01-01,2018-10-13,2018-10-13,10.02
1977-02-01,2018-10-13,2018-10-13,9.84
1977-03-01,2018-10-13,2018-10-13,9.96
1977-04-01,2018-10-13,2018-10-13,9.39
1977-05-01,2018-10-13,2018-10-13,9.14
1977-06-01,2018-10-13,2018-10-13,9.04
1977-07-01,2018-10-13,2018-10-13,8.72
1977-08-01,2018-10-13,2018-10-13,8.49
1977-09-01,2018-10-13,2018-10-13,8.38
1977-10-01,2018-10-13,2018-10-13,8.45
1977-11-01,2018-10-13,2018-10-13,9.31
1977-12-01,2018-10-13,2018-10-13,9.85
1978-01-01,2018-10-13,2018-10-13,9.26
1978-02-01,2018-10-13,2018-10-13,10.47
1978-03-01,2018-10-13,2018-10-13,9.91
1978-04-01,2018-10-13,2018-10-13,8.44
1978-05-01,2018-10-13,2018-10-13,8.24
1978-06-01,2018-10-13,2018-10-13,7.93
1978-07-01,2018-10-13,2018-10-13,7.63
1978-08-01,2018-10-13,2018-10-13,7.45
1978-09-01,2018-10-13,2018-10-13,7.4
1978-10-01,2018-10-13,2018-10-13,7.37
1978-11-01,2018-10-13,2018-10-13,7.11
1978-12-01,2018-10-13,2018-10-13,6.67
1979-01-01,2018-10-13,2018-10-13,6.57
1979-02-01,2018-10-13,2018-10-13,6.88
1979-03-01,2018-10-13,2018-10-13,7.1
1979-04-01,2018-10-13,2018-10-13,7
1979-05-01,2018-10-13,2018-10-13,7.61
1979-06-01,2018-10-13,2018-10-13,8.68
1979-07-01,2018-10-13,2018-10-13,9.94
1979-08-01,2018-10-13,2018-10-13,10.84
1979-09-01,2018-10-13,2018-10-13,11.69
1979-10-01,2018-10-13,2018-10-13,12.13
1979-11-01,2018-10-13,2018-10-13,12.77
1979-12-01,2018-10-13,2018-10-13,12.59
1980-01-01,2018-10-13,2018-10-13,12.37
1980-02-01,2018-10-13,2018-10-13,12.63
1980-03-01,2018-10-13,2018-10-13,13.99
1980-04-01,2018-10-13,2018-10-13,12.94
1980-05-01,2018-10-13,2018-10-13,12.65
1980-06-01,2018-10-13,2018-10-13,12.35
1980-07-01,2018-10-13,2018-10-13,11.93
1980-08-01,2018-10-13,2018-10-13,11.27
1980-09-01,2018-10-13,2018-10-13,11.83
1980-10-01,2018-10-13,2018-10-13,11.73
1980-11-01,2018-10-13,2018-10-13,11.26
1980-12-01,2018-10-13,2018-10-13,11.56
1981-01-01,2018-10-13,2018-10-13,11.43
1981-02-01,2018-10-13,2018-10-13,11.9
1981-03-01,2018-10-13,2018-10-13,12.57
1981-04-01,2018-10-13,2018-10-13,13
1981-05-01,2018-10-13,2018-10-13,15.9
1981-06-01,2018-10-13,2018-10-13,18.92
1981-07-01,2018-10-13,2018-10-13,17.29
1981-08-01,2018-10-13,2018-10-13,17.44
1981-09-01,2018-10-13,2018-10-13,17.59
1981-10-01,2018-10-13,2018-10-13,16.46
1981-11-01,2018-10-13,2018-10-13,15.35
1981-12-01,2018-10-13,2018-10-13,15.26
1982-01-01,2018-10-13,2018-10-13,15.07
1982-02-01,2018-10-13,2018-10-13,14.52
1982-03-01,2018-10-13,2018-10-13,15.25
