date,realtime_start,realtime_end,value
1991-07-01,2018-10-13,2018-10-13,67.6
1991-08-01,2018-10-13,2018-10-13,66.84
1991-09-01,2018-10-13,2018-10-13,66.84
1991-10-01,2018-10-13,2018-10-13,72.36
1991-11-01,2018-10-13,2018-10-13,75.04
1991-12-01,2018-10-13,2018-10-13,68.44
1992-01-01,2018-10-13,2018-10-13,67.72
1992-02-01,2018-10-13,2018-10-13,67.64
1992-03-01,2018-10-13,2018-10-13,67.64
1992-04-01,2018-10-13,2018-10-13,68.44
1992-05-01,2018-10-13,2018-10-13,70.12
1992-06-01,2018-10-13,2018-10-13,74.32
1992-07-01,2018-10-13,2018-10-13,76.4
1992-08-01,2018-10-13,2018-10-13,75.4
1992-09-01,2018-10-13,2018-10-13,74.4
1992-10-01,2018-10-13,2018-10-13,74.4
1992-11-01,2018-10-13,2018-10-13,74.6
1992-12-01,2018-10-13,2018-10-13,74.76
1993-01-01,2018-10-13,2018-10-13,74.76
1993-02-01,2018-10-13,2018-10-13,69.64
1993-03-01,2018-10-13,2018-10-13,65.32
1993-04-01,2018-10-13,2018-10-13,65.92
1993-05-01,2018-10-13,2018-10-13,67.12
1993-06-01,2018-10-13,2018-10-13,66.84
1993-07-01,2018-10-13,2018-10-13,66.84
1993-08-01,2018-10-13,2018-10-13,65.76
1993-09-01,2018-10-13,2018-10-13,64.76
1993-10-01,2018-10-13,2018-10-13,63.04
1993-11-01,2018-10-13,2018-10-13,.
1993-12-01,2018-10-13,2018-10-13,.
1994-01-01,2018-10-13,2018-10-13,.
1994-02-01,2018-10-13,2018-10-13,.
1994-03-01,2018-10-13,2018-10-13,99
1994-04-01,2018-10-13,2018-10-13,.
1994-05-01,2018-10-13,2018-10-13,160
1994-06-01,2018-10-13,2018-10-13,114.52
1994-07-01,2018-10-13,2018-10-13,98.76
1994-08-01,2018-10-13,2018-10-13,88.96
1994-09-01,2018-10-13,2018-10-13,87.37
1994-10-01,2018-10-13,2018-10-13,82.28
1994-11-01,2018-10-13,2018-10-13,94.08
1994-12-01,2018-10-13,2018-10-13,105.92
1995-01-01,2018-10-13,2018-10-13,108.07
1995-02-01,2018-10-13,2018-10-13,.
1995-03-01,2018-10-13,2018-10-13,.
1995-04-01,2018-10-13,2018-10-13,77.37
1995-05-01,2018-10-13,2018-10-13,80.94
1995-06-01,2018-10-13,2018-10-13,71.93
1995-07-01,2018-10-13,2018-10-13,66.98
1995-08-01,2018-10-13,2018-10-13,69.99
1995-09-01,2018-10-13,2018-10-13,.
1995-10-01,2018-10-13,2018-10-13,92.24
1995-11-01,2018-10-13,2018-10-13,97.99
1995-12-01,2018-10-13,2018-10-13,128.99
1996-01-01,2018-10-13,2018-10-13,111.99
1996-02-01,2018-10-13,2018-10-13,.
1996-03-01,2018-10-13,2018-10-13,103.62
1996-04-01,2018-10-13,2018-10-13,.
1996-05-01,2018-10-13,2018-10-13,85.68
1996-06-01,2018-10-13,2018-10-13,.
1996-07-01,2018-10-13,2018-10-13,95.58
1996-08-01,2018-10-13,2018-10-13,.
1996-09-01,2018-10-13,2018-10-13,.
1996-10-01,2018-10-13,2018-10-13,.
1996-11-01,2018-10-13,2018-10-13,.
1996-12-01,2018-10-13,2018-10-13,.
1997-01-01,2018-10-13,2018-10-13,.
1997-02-01,2018-10-13,2018-10-13,.
1997-03-01,2018-10-13,2018-10-13,.
1997-04-01,2018-10-13,2018-10-13,.
1997-05-01,2018-10-13,2018-10-13,.
1997-06-01,2018-10-13,2018-10-13,.
1997-07-01,2018-10-13,2018-10-13,.
1997-08-01,2018-10-13,2018-10-13,.
1997-09-01,2018-10-13,2018-10-13,.
1997-10-01,2018-10-13,2018-10-13,98.69
1997-11-01,2018-10-13,2018-10-13,.
1997-12-01,2018-10-13,2018-10-13,102.83
1998-01-01,2018-10-13,2018-10-13,.
1998-02-01,2018-10-13,2018-10-13,99.33
1998-03-01,2018-10-13,2018-10-13,89.14
1998-04-01,2018-10-13,2018-10-13,.
1998-05-01,2018-10-13,2018-10-13,.
1998-06-01,2018-10-13,2018-10-13,.
1998-07-01,2018-10-13,2018-10-13,.
1998-08-01,2018-10-13,2018-10-13,81
1998-09-01,2018-10-13,2018-10-13,.
