date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,4.54
1960-02-01,2018-10-13,2018-10-13,4.55
1960-03-01,2018-10-13,2018-10-13,4.62
1960-04-01,2018-10-13,2018-10-13,4.65
1960-05-01,2018-10-13,2018-10-13,4.56
1960-06-01,2018-10-13,2018-10-13,5.68
1960-07-01,2018-10-13,2018-10-13,5.55
1960-08-01,2018-10-13,2018-10-13,5.59
1960-09-01,2018-10-13,2018-10-13,5.57
1960-10-01,2018-10-13,2018-10-13,5.09
1960-11-01,2018-10-13,2018-10-13,4.64
1960-12-01,2018-10-13,2018-10-13,4.35
1961-01-01,2018-10-13,2018-10-13,4.17
1961-02-01,2018-10-13,2018-10-13,4.4
1961-03-01,2018-10-13,2018-10-13,4.49
1961-04-01,2018-10-13,2018-10-13,4.41
1961-05-01,2018-10-13,2018-10-13,4.44
1961-06-01,2018-10-13,2018-10-13,4.54
1961-07-01,2018-10-13,2018-10-13,6.69
1961-08-01,2018-10-13,2018-10-13,6.7
1961-09-01,2018-10-13,2018-10-13,6.55
1961-10-01,2018-10-13,2018-10-13,5.73
1961-11-01,2018-10-13,2018-10-13,5.39
1961-12-01,2018-10-13,2018-10-13,5.4
1962-01-01,2018-10-13,2018-10-13,5.24
1962-02-01,2018-10-13,2018-10-13,5.53
1962-03-01,2018-10-13,2018-10-13,4.41
1962-04-01,2018-10-13,2018-10-13,4.05
1962-05-01,2018-10-13,2018-10-13,3.82
1962-06-01,2018-10-13,2018-10-13,3.92
1962-07-01,2018-10-13,2018-10-13,3.89
1962-08-01,2018-10-13,2018-10-13,3.75
1962-09-01,2018-10-13,2018-10-13,3.64
1962-10-01,2018-10-13,2018-10-13,3.86
1962-11-01,2018-10-13,2018-10-13,3.69
1962-12-01,2018-10-13,2018-10-13,3.72
1963-01-01,2018-10-13,2018-10-13,3.49
1963-02-01,2018-10-13,2018-10-13,3.43
1963-03-01,2018-10-13,2018-10-13,3.76
1963-04-01,2018-10-13,2018-10-13,3.71
1963-05-01,2018-10-13,2018-10-13,3.64
1963-06-01,2018-10-13,2018-10-13,3.7
1963-07-01,2018-10-13,2018-10-13,3.76
1963-08-01,2018-10-13,2018-10-13,3.72
1963-09-01,2018-10-13,2018-10-13,3.67
1963-10-01,2018-10-13,2018-10-13,3.74
1963-11-01,2018-10-13,2018-10-13,3.74
1963-12-01,2018-10-13,2018-10-13,3.72
1964-01-01,2018-10-13,2018-10-13,3.76
1964-02-01,2018-10-13,2018-10-13,4.31
1964-03-01,2018-10-13,2018-10-13,4.3
1964-04-01,2018-10-13,2018-10-13,4.3
1964-05-01,2018-10-13,2018-10-13,4.38
1964-06-01,2018-10-13,2018-10-13,4.46
1964-07-01,2018-10-13,2018-10-13,4.65
1964-08-01,2018-10-13,2018-10-13,4.66
1964-09-01,2018-10-13,2018-10-13,4.65
1964-10-01,2018-10-13,2018-10-13,4.7
1964-11-01,2018-10-13,2018-10-13,6.63
1964-12-01,2018-10-13,2018-10-13,6.63
1965-01-01,2018-10-13,2018-10-13,6.54
1965-02-01,2018-10-13,2018-10-13,6.44
1965-03-01,2018-10-13,2018-10-13,6.55
1965-04-01,2018-10-13,2018-10-13,6.38
1965-05-01,2018-10-13,2018-10-13,6.36
1965-06-01,2018-10-13,2018-10-13,5.54
1965-07-01,2018-10-13,2018-10-13,5.63
1965-08-01,2018-10-13,2018-10-13,5.56
1965-09-01,2018-10-13,2018-10-13,5.49
1965-10-01,2018-10-13,2018-10-13,5.44
1965-11-01,2018-10-13,2018-10-13,5.4
1965-12-01,2018-10-13,2018-10-13,5.52
1966-01-01,2018-10-13,2018-10-13,5.48
1966-02-01,2018-10-13,2018-10-13,5.62
1966-03-01,2018-10-13,2018-10-13,5.6
1966-04-01,2018-10-13,2018-10-13,5.64
1966-05-01,2018-10-13,2018-10-13,5.66
1966-06-01,2018-10-13,2018-10-13,5.73
1966-07-01,2018-10-13,2018-10-13,6.68
1966-08-01,2018-10-13,2018-10-13,6.73
1966-09-01,2018-10-13,2018-10-13,6.75
1966-10-01,2018-10-13,2018-10-13,6.51
1966-11-01,2018-10-13,2018-10-13,6.74
1966-12-01,2018-10-13,2018-10-13,6.53
1967-01-01,2018-10-13,2018-10-13,6.08
1967-02-01,2018-10-13,2018-10-13,6.04
1967-03-01,2018-10-13,2018-10-13,5.5
1967-04-01,2018-10-13,2018-10-13,5.41
1967-05-01,2018-10-13,2018-10-13,5.25
1967-06-01,2018-10-13,2018-10-13,5.28
1967-07-01,2018-10-13,2018-10-13,5.35
1967-08-01,2018-10-13,2018-10-13,5.29
1967-09-01,2018-10-13,2018-10-13,5.48
1967-10-01,2018-10-13,2018-10-13,5.73
1967-11-01,2018-10-13,2018-10-13,7.55
1967-12-01,2018-10-13,2018-10-13,7.48
1968-01-01,2018-10-13,2018-10-13,7.52
1968-02-01,2018-10-13,2018-10-13,7.37
1968-03-01,2018-10-13,2018-10-13,7.11
1968-04-01,2018-10-13,2018-10-13,7.08
1968-05-01,2018-10-13,2018-10-13,7.24
1968-06-01,2018-10-13,2018-10-13,7.24
1968-07-01,2018-10-13,2018-10-13,7.06
1968-08-01,2018-10-13,2018-10-13,6.95
1968-09-01,2018-10-13,2018-10-13,6.58
1968-10-01,2018-10-13,2018-10-13,6.49
1968-11-01,2018-10-13,2018-10-13,6.79
1968-12-01,2018-10-13,2018-10-13,6.78
1969-01-01,2018-10-13,2018-10-13,6.73
1969-02-01,2018-10-13,2018-10-13,7.71
1969-03-01,2018-10-13,2018-10-13,7.78
1969-04-01,2018-10-13,2018-10-13,7.8
1969-05-01,2018-10-13,2018-10-13,7.85
