date,realtime_start,realtime_end,value
1970-01-01,2018-10-13,2018-10-13,48760000
1970-02-01,2018-10-13,2018-10-13,48920000
1970-03-01,2018-10-13,2018-10-13,49070000
1970-04-01,2018-10-13,2018-10-13,49240000
1970-05-01,2018-10-13,2018-10-13,49230000
1970-06-01,2018-10-13,2018-10-13,49290000
1970-07-01,2018-10-13,2018-10-13,49370000
1970-08-01,2018-10-13,2018-10-13,49280000
1970-09-01,2018-10-13,2018-10-13,49520000
1970-10-01,2018-10-13,2018-10-13,49330000
1970-11-01,2018-10-13,2018-10-13,49240000
1970-12-01,2018-10-13,2018-10-13,49420000
1971-01-01,2018-10-13,2018-10-13,49460000
1971-02-01,2018-10-13,2018-10-13,49460000
1971-03-01,2018-10-13,2018-10-13,49930000
1971-04-01,2018-10-13,2018-10-13,49720000
1971-05-01,2018-10-13,2018-10-13,49590000
1971-06-01,2018-10-13,2018-10-13,49600000
1971-07-01,2018-10-13,2018-10-13,49580000
1971-08-01,2018-10-13,2018-10-13,49620000
1971-09-01,2018-10-13,2018-10-13,49360000
1971-10-01,2018-10-13,2018-10-13,49430000
1971-11-01,2018-10-13,2018-10-13,49710000
1971-12-01,2018-10-13,2018-10-13,49680000
1972-01-01,2018-10-13,2018-10-13,49780000
1972-02-01,2018-10-13,2018-10-13,49560000
1972-03-01,2018-10-13,2018-10-13,49350000
1972-04-01,2018-10-13,2018-10-13,49380000
1972-05-01,2018-10-13,2018-10-13,49550000
1972-06-01,2018-10-13,2018-10-13,49410000
1972-07-01,2018-10-13,2018-10-13,49990000
1972-08-01,2018-10-13,2018-10-13,50150000
1972-09-01,2018-10-13,2018-10-13,50150000
1972-10-01,2018-10-13,2018-10-13,50280000
1972-11-01,2018-10-13,2018-10-13,50200000
1972-12-01,2018-10-13,2018-10-13,50700000
1973-01-01,2018-10-13,2018-10-13,51020000
1973-02-01,2018-10-13,2018-10-13,51030000
1973-03-01,2018-10-13,2018-10-13,50660000
1973-04-01,2018-10-13,2018-10-13,50580000
1973-05-01,2018-10-13,2018-10-13,50450000
1973-06-01,2018-10-13,2018-10-13,50870000
1973-07-01,2018-10-13,2018-10-13,50860000
1973-08-01,2018-10-13,2018-10-13,50620000
1973-09-01,2018-10-13,2018-10-13,50820000
1973-10-01,2018-10-13,2018-10-13,51250000
1973-11-01,2018-10-13,2018-10-13,51160000
1973-12-01,2018-10-13,2018-10-13,50570000
1974-01-01,2018-10-13,2018-10-13,50600000
1974-02-01,2018-10-13,2018-10-13,50850000
1974-03-01,2018-10-13,2018-10-13,50890000
1974-04-01,2018-10-13,2018-10-13,50940000
1974-05-01,2018-10-13,2018-10-13,50840000
1974-06-01,2018-10-13,2018-10-13,50700000
1974-07-01,2018-10-13,2018-10-13,50310000
1974-08-01,2018-10-13,2018-10-13,50570000
1974-09-01,2018-10-13,2018-10-13,50610000
1974-10-01,2018-10-13,2018-10-13,50640000
1974-11-01,2018-10-13,2018-10-13,50590000
1974-12-01,2018-10-13,2018-10-13,50470000
1975-01-01,2018-10-13,2018-10-13,50330000
1975-02-01,2018-10-13,2018-10-13,50420000
1975-03-01,2018-10-13,2018-10-13,50450000
1975-04-01,2018-10-13,2018-10-13,50420000
1975-05-01,2018-10-13,2018-10-13,50820000
1975-06-01,2018-10-13,2018-10-13,50850000
1975-07-01,2018-10-13,2018-10-13,50900000
1975-08-01,2018-10-13,2018-10-13,50940000
1975-09-01,2018-10-13,2018-10-13,50950000
1975-10-01,2018-10-13,2018-10-13,50950000
1975-11-01,2018-10-13,2018-10-13,50990000
1975-12-01,2018-10-13,2018-10-13,51240000
1976-01-01,2018-10-13,2018-10-13,51230000
1976-02-01,2018-10-13,2018-10-13,51210000
1976-03-01,2018-10-13,2018-10-13,51290000
1976-04-01,2018-10-13,2018-10-13,51150000
1976-05-01,2018-10-13,2018-10-13,50970000
1976-06-01,2018-10-13,2018-10-13,51020000
1976-07-01,2018-10-13,2018-10-13,51310000
1976-08-01,2018-10-13,2018-10-13,51490000
