date,realtime_start,realtime_end,value
1970-01-01,2018-10-13,2018-10-13,78900687.9433333
1970-04-01,2018-10-13,2018-10-13,79330502.9033334
1970-07-01,2018-10-13,2018-10-13,79777050.1326666
1970-10-01,2018-10-13,2018-10-13,80255241.6183334
1971-01-01,2018-10-13,2018-10-13,80560386.698
1971-04-01,2018-10-13,2018-10-13,80733269.428
1971-07-01,2018-10-13,2018-10-13,81425652.313
1971-10-01,2018-10-13,2018-10-13,82171161.4793333
1972-01-01,2018-10-13,2018-10-13,83057934.103
1972-04-01,2018-10-13,2018-10-13,83649201.552
1972-07-01,2018-10-13,2018-10-13,84202789.35000001
1972-10-01,2018-10-13,2018-10-13,84585568.2913333
1973-01-01,2018-10-13,2018-10-13,85250729.40799999
1973-04-01,2018-10-13,2018-10-13,86195012.286
1973-07-01,2018-10-13,2018-10-13,86700931.7516666
1973-10-01,2018-10-13,2018-10-13,87555347.0496666
1974-01-01,2018-10-13,2018-10-13,88355515.5226667
1974-04-01,2018-10-13,2018-10-13,88654141.216
1974-07-01,2018-10-13,2018-10-13,89191611.52966669
1974-10-01,2018-10-13,2018-10-13,89629742.7526666
1975-01-01,2018-10-13,2018-10-13,90198111.6066667
1975-04-01,2018-10-13,2018-10-13,90727744.9583333
1975-07-01,2018-10-13,2018-10-13,91182151.638
1975-10-01,2018-10-13,2018-10-13,91418620.5786667
1976-01-01,2018-10-13,2018-10-13,92072508.5496666
1976-04-01,2018-10-13,2018-10-13,92862023.3726666
1976-07-01,2018-10-13,2018-10-13,93700203.24000001
1976-10-01,2018-10-13,2018-10-13,94283978.7266667
1977-01-01,2018-10-13,2018-10-13,94874390.8523334
1977-04-01,2018-10-13,2018-10-13,95708279.2363333
1977-07-01,2018-10-13,2018-10-13,96324153.2583333
1977-10-01,2018-10-13,2018-10-13,97245583.5453333
1978-01-01,2018-10-13,2018-10-13,97888177.66600001
1978-04-01,2018-10-13,2018-10-13,98763551.6513333
1978-07-01,2018-10-13,2018-10-13,99552138.84533331
1978-10-01,2018-10-13,2018-10-13,100436969.235
1979-01-01,2018-10-13,2018-10-13,101155350.983333
1979-04-01,2018-10-13,2018-10-13,101224553.353
1979-07-01,2018-10-13,2018-10-13,102161307.445333
1979-10-01,2018-10-13,2018-10-13,102793684.396667
1980-01-01,2018-10-13,2018-10-13,103274018.72999999
1980-04-01,2018-10-13,2018-10-13,103788698.10599999
1980-07-01,2018-10-13,2018-10-13,104259487.601333
1980-10-01,2018-10-13,2018-10-13,104523789.86400001
1981-01-01,2018-10-13,2018-10-13,105088636.822
1981-04-01,2018-10-13,2018-10-13,105618079.473
1981-07-01,2018-10-13,2018-10-13,105484608.117
1981-10-01,2018-10-13,2018-10-13,106141343.197
1982-01-01,2018-10-13,2018-10-13,106345297.054333
1982-04-01,2018-10-13,2018-10-13,106990145.832667
1982-07-01,2018-10-13,2018-10-13,107528706.092667
1982-10-01,2018-10-13,2018-10-13,108022071.720333
1983-01-01,2018-10-13,2018-10-13,107593895.875333
1983-04-01,2018-10-13,2018-10-13,108163801.991667
1983-07-01,2018-10-13,2018-10-13,109122009.88
1983-10-01,2018-10-13,2018-10-13,109162576.007333
1984-01-01,2018-10-13,2018-10-13,109443610.77600001
1984-04-01,2018-10-13,2018-10-13,110560025.146
1984-07-01,2018-10-13,2018-10-13,110940660.71133299
1984-10-01,2018-10-13,2018-10-13,111334304.28866701
1985-01-01,2018-10-13,2018-10-13,111980069.547333
1985-04-01,2018-10-13,2018-10-13,112321470.42566699
1985-07-01,2018-10-13,2018-10-13,112710374.805333
1985-10-01,2018-10-13,2018-10-13,113289442.162
1986-01-01,2018-10-13,2018-10-13,113840820.758333
1986-04-01,2018-10-13,2018-10-13,114615899.439333
1986-07-01,2018-10-13,2018-10-13,115225450.135667
1986-10-01,2018-10-13,2018-10-13,115643273.516
1987-01-01,2018-10-13,2018-10-13,115987626.929333
1987-04-01,2018-10-13,2018-10-13,116594121.875667
1987-07-01,2018-10-13,2018-10-13,116904818.63
1987-10-01,2018-10-13,2018-10-13,117449162.35
1988-01-01,2018-10-13,2018-10-13,117728844.74366699
1988-04-01,2018-10-13,2018-10-13,117938139.245667
1988-07-01,2018-10-13,2018-10-13,118669754.17899999
1988-10-01,2018-10-13,2018-10-13,119203899.549333
1989-01-01,2018-10-13,2018-10-13,119730266.088667
1989-04-01,2018-10-13,2018-10-13,120092088.996667
1989-07-01,2018-10-13,2018-10-13,120694688.424333
1989-10-01,2018-10-13,2018-10-13,121174303.13499999
1990-01-01,2018-10-13,2018-10-13,122096977.58000001
1990-04-01,2018-10-13,2018-10-13,122241374.226
1990-07-01,2018-10-13,2018-10-13,122413677.088
1990-10-01,2018-10-13,2018-10-13,122642578.825
1991-01-01,2018-10-13,2018-10-13,122642584.634
1991-04-01,2018-10-13,2018-10-13,122973583.61
1991-07-01,2018-10-13,2018-10-13,122927867.445333
1991-10-01,2018-10-13,2018-10-13,123294625.474
1992-01-01,2018-10-13,2018-10-13,123872648.376333
1992-04-01,2018-10-13,2018-10-13,124658044.453
1992-07-01,2018-10-13,2018-10-13,125106976.35
1992-10-01,2018-10-13,2018-10-13,124922173.139
1993-01-01,2018-10-13,2018-10-13,125064612.335
1993-04-01,2018-10-13,2018-10-13,125694754.427
1993-07-01,2018-10-13,2018-10-13,125894478.71100001
1993-10-01,2018-10-13,2018-10-13,126279874.368333
1994-01-01,2018-10-13,2018-10-13,126700020.065667
1994-04-01,2018-10-13,2018-10-13,126933006.191333
1994-07-01,2018-10-13,2018-10-13,127367766.302
1994-10-01,2018-10-13,2018-10-13,127919341.603
1995-01-01,2018-10-13,2018-10-13,128063742.923333
1995-04-01,2018-10-13,2018-10-13,128373046.233667
1995-07-01,2018-10-13,2018-10-13,128707795.40566699
1995-10-01,2018-10-13,2018-10-13,128865739.531333
1996-01-01,2018-10-13,2018-10-13,129094745.683667
1996-04-01,2018-10-13,2018-10-13,129732040.78166701
1996-07-01,2018-10-13,2018-10-13,130463639.57499999
1996-10-01,2018-10-13,2018-10-13,131177993.946667
1997-01-01,2018-10-13,2018-10-13,131708308.49
1997-04-01,2018-10-13,2018-10-13,132103008.332333
1997-07-01,2018-10-13,2018-10-13,132791784.624333
1997-10-01,2018-10-13,2018-10-13,132986829.73233299
1998-01-01,2018-10-13,2018-10-13,133380076.983333
1998-04-01,2018-10-13,2018-10-13,133479590.07800001
1998-07-01,2018-10-13,2018-10-13,134027879.14100002
1998-10-01,2018-10-13,2018-10-13,134401914.889667
1999-01-01,2018-10-13,2018-10-13,135008599.662333
1999-04-01,2018-10-13,2018-10-13,135105016.86
1999-07-01,2018-10-13,2018-10-13,135487087.852667
1999-10-01,2018-10-13,2018-10-13,135897487.70833302
2000-01-01,2018-10-13,2018-10-13,138069886.773667
2000-04-01,2018-10-13,2018-10-13,138277707.142667
2000-07-01,2018-10-13,2018-10-13,138130212.261
2000-10-01,2018-10-13,2018-10-13,138565898.96766698
2001-01-01,2018-10-13,2018-10-13,139444779.387667
2001-04-01,2018-10-13,2018-10-13,139061580.07233298
2001-07-01,2018-10-13,2018-10-13,139145142.032667
2001-10-01,2018-10-13,2018-10-13,139827456.468667
2002-01-01,2018-10-13,2018-10-13,140150144.542333
2002-04-01,2018-10-13,2018-10-13,140248740.223
2002-07-01,2018-10-13,2018-10-13,140423569.56433302
2002-10-01,2018-10-13,2018-10-13,140713806.011
2003-01-01,2018-10-13,2018-10-13,141351857.27066702
2003-04-01,2018-10-13,2018-10-13,141897609.452333
2003-07-01,2018-10-13,2018-10-13,141671460.75933298
2003-10-01,2018-10-13,2018-10-13,142013420.975
2004-01-01,2018-10-13,2018-10-13,141883164.621333
2004-04-01,2018-10-13,2018-10-13,142132075.00800002
2004-07-01,2018-10-13,2018-10-13,142473405.072333
2004-10-01,2018-10-13,2018-10-13,143077876.520333
2005-01-01,2018-10-13,2018-10-13,143201074.196
2005-04-01,2018-10-13,2018-10-13,143727627.722
2005-07-01,2018-10-13,2018-10-13,144408094.41733298
2005-10-01,2018-10-13,2018-10-13,144775755.58533302
2006-01-01,2018-10-13,2018-10-13,145070305.648
2006-04-01,2018-10-13,2018-10-13,145613209.69799998
2006-07-01,2018-10-13,2018-10-13,146332745.170333
2006-10-01,2018-10-13,2018-10-13,146732408.054
2007-01-01,2018-10-13,2018-10-13,147177092.451667
