date,realtime_start,realtime_end,value
1981-01-01,2018-10-13,2018-10-13,67.2592532611889
1982-01-01,2018-10-13,2018-10-13,67.4421211202519
1983-01-01,2018-10-13,2018-10-13,67.5831571235577
1984-01-01,2018-10-13,2018-10-13,68.0379608165413
1985-01-01,2018-10-13,2018-10-13,68.5332629620542
1986-01-01,2018-10-13,2018-10-13,69.0428069036306
1987-01-01,2018-10-13,2018-10-13,69.4487776635901
1988-01-01,2018-10-13,2018-10-13,69.8470219078826
1989-01-01,2018-10-13,2018-10-13,70.4785269820244
1990-01-01,2018-10-13,2018-10-13,70.5885225565036
1991-01-01,2018-10-13,2018-10-13,70.2846609353734
1992-01-01,2018-10-13,2018-10-13,70.6175290953742
1993-01-01,2018-10-13,2018-10-13,70.5409623285982
1994-01-01,2018-10-13,2018-10-13,70.83122926515
1995-01-01,2018-10-13,2018-10-13,71.0045775832088
1996-01-01,2018-10-13,2018-10-13,71.2553825591256
1997-01-01,2018-10-13,2018-10-13,71.6869867208358
1998-01-01,2018-10-13,2018-10-13,71.7562816667105
1999-01-01,2018-10-13,2018-10-13,71.7877573439586
2000-01-01,2018-10-13,2018-10-13,71.8503791598597
2001-01-01,2018-10-13,2018-10-13,71.6153875297348
2002-01-01,2018-10-13,2018-10-13,71.4009892716102
2003-01-01,2018-10-13,2018-10-13,71.0264457348697
2004-01-01,2018-10-13,2018-10-13,70.7460677726043
2005-01-01,2018-10-13,2018-10-13,70.7920426407274
2006-01-01,2018-10-13,2018-10-13,70.9556692723116
2007-01-01,2018-10-13,2018-10-13,70.7406930132251
2008-01-01,2018-10-13,2018-10-13,70.6803694525791
2009-01-01,2018-10-13,2018-10-13,70.0178091887904
2010-01-01,2018-10-13,2018-10-13,69.2849108161406
2011-01-01,2018-10-13,2018-10-13,68.6752460488765
2012-01-01,2018-10-13,2018-10-13,68.2419576364443
2013-01-01,2018-10-13,2018-10-13,67.7535056243053
2014-01-01,2018-10-13,2018-10-13,67.4084151463628
2015-01-01,2018-10-13,2018-10-13,67.1670813975436
2016-01-01,2018-10-13,2018-10-13,67.3404432716703
2017-01-01,2018-10-13,2018-10-13,67.5263398391262
