date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,100.753622620924
1960-02-01,2018-10-13,2018-10-13,100.050625308597
1960-03-01,2018-10-13,2018-10-13,99.1377208004157
1960-04-01,2018-10-13,2018-10-13,98.4223402222789
1960-05-01,2018-10-13,2018-10-13,98.0373886245535
1960-06-01,2018-10-13,2018-10-13,98.0328810414479
1960-07-01,2018-10-13,2018-10-13,98.1952500084752
1960-08-01,2018-10-13,2018-10-13,98.4289491990672
1960-09-01,2018-10-13,2018-10-13,98.4474359922938
1960-10-01,2018-10-13,2018-10-13,98.3565137315397
1960-11-01,2018-10-13,2018-10-13,98.1749497547673
1960-12-01,2018-10-13,2018-10-13,98.0510963397739
1961-01-01,2018-10-13,2018-10-13,98.0883084082054
1961-02-01,2018-10-13,2018-10-13,98.4687969405499
1961-03-01,2018-10-13,2018-10-13,99.3326177847044
1961-04-01,2018-10-13,2018-10-13,100.334333781379
1961-05-01,2018-10-13,2018-10-13,100.931431861218
1961-06-01,2018-10-13,2018-10-13,101.163338411919
1961-07-01,2018-10-13,2018-10-13,101.326668348146
1961-08-01,2018-10-13,2018-10-13,101.575720314826
1961-09-01,2018-10-13,2018-10-13,101.780096531677
1961-10-01,2018-10-13,2018-10-13,101.799395345283
1961-11-01,2018-10-13,2018-10-13,101.760679969509
1961-12-01,2018-10-13,2018-10-13,101.871581425888
1962-01-01,2018-10-13,2018-10-13,101.788620935381
1962-02-01,2018-10-13,2018-10-13,101.595697061025
1962-03-01,2018-10-13,2018-10-13,101.195703433671
1962-04-01,2018-10-13,2018-10-13,100.545352187843
1962-05-01,2018-10-13,2018-10-13,99.9504186853359
1962-06-01,2018-10-13,2018-10-13,99.5638548197734
1962-07-01,2018-10-13,2018-10-13,99.3731788773459
1962-08-01,2018-10-13,2018-10-13,99.2937424718683
1962-09-01,2018-10-13,2018-10-13,99.401306048708
1962-10-01,2018-10-13,2018-10-13,99.6972285790055
1962-11-01,2018-10-13,2018-10-13,100.105652886587
1962-12-01,2018-10-13,2018-10-13,100.428980486673
1963-01-01,2018-10-13,2018-10-13,100.484141577808
1963-02-01,2018-10-13,2018-10-13,100.491559987292
1963-03-01,2018-10-13,2018-10-13,100.600996465039
1963-04-01,2018-10-13,2018-10-13,100.863180493336
1963-05-01,2018-10-13,2018-10-13,101.036574686098
1963-06-01,2018-10-13,2018-10-13,100.932734402334
1963-07-01,2018-10-13,2018-10-13,100.703808729895
1963-08-01,2018-10-13,2018-10-13,100.611184277231
1963-09-01,2018-10-13,2018-10-13,100.68876676557
1963-10-01,2018-10-13,2018-10-13,100.751806358574
1963-11-01,2018-10-13,2018-10-13,100.696411227514
1963-12-01,2018-10-13,2018-10-13,100.604106204265
1964-01-01,2018-10-13,2018-10-13,100.755328350872
1964-02-01,2018-10-13,2018-10-13,100.988489656525
1964-03-01,2018-10-13,2018-10-13,101.198198094222
1964-04-01,2018-10-13,2018-10-13,101.269694561119
1964-05-01,2018-10-13,2018-10-13,101.350989398091
1964-06-01,2018-10-13,2018-10-13,101.571868115333
1964-07-01,2018-10-13,2018-10-13,101.857847651634
1964-08-01,2018-10-13,2018-10-13,102.002594587643
1964-09-01,2018-10-13,2018-10-13,101.968539470582
1964-10-01,2018-10-13,2018-10-13,101.825929001236
1964-11-01,2018-10-13,2018-10-13,101.786881151017
1964-12-01,2018-10-13,2018-10-13,101.803301331799
1965-01-01,2018-10-13,2018-10-13,101.836377834386
1965-02-01,2018-10-13,2018-10-13,101.965860332239
1965-03-01,2018-10-13,2018-10-13,102.063686448381
1965-04-01,2018-10-13,2018-10-13,101.894946845798
1965-05-01,2018-10-13,2018-10-13,101.606652972308
1965-06-01,2018-10-13,2018-10-13,101.288933021385
1965-07-01,2018-10-13,2018-10-13,101.116677340395
1965-08-01,2018-10-13,2018-10-13,101.122564082002
1965-09-01,2018-10-13,2018-10-13,101.243616200659
1965-10-01,2018-10-13,2018-10-13,101.315314711
1965-11-01,2018-10-13,2018-10-13,101.558090210948
1965-12-01,2018-10-13,2018-10-13,102.00282963336
1966-01-01,2018-10-13,2018-10-13,102.415698992084
1966-02-01,2018-10-13,2018-10-13,102.565696505064
1966-03-01,2018-10-13,2018-10-13,102.440276658132
1966-04-01,2018-10-13,2018-10-13,102.032503349773
1966-05-01,2018-10-13,2018-10-13,101.508369299558
1966-06-01,2018-10-13,2018-10-13,101.300322645251
1966-07-01,2018-10-13,2018-10-13,101.269665244234
1966-08-01,2018-10-13,2018-10-13,101.18694647758
1966-09-01,2018-10-13,2018-10-13,101.034967800818
1966-10-01,2018-10-13,2018-10-13,100.714405457085
1966-11-01,2018-10-13,2018-10-13,100.237688715381
1966-12-01,2018-10-13,2018-10-13,99.7353155030545
1967-01-01,2018-10-13,2018-10-13,99.1993268212303
1967-02-01,2018-10-13,2018-10-13,98.7133328073857
1967-03-01,2018-10-13,2018-10-13,98.2971586524069
1967-04-01,2018-10-13,2018-10-13,98.0785919031765
1967-05-01,2018-10-13,2018-10-13,98.2277116602909
1967-06-01,2018-10-13,2018-10-13,98.6517108085291
1967-07-01,2018-10-13,2018-10-13,99.2019225324965
1967-08-01,2018-10-13,2018-10-13,99.7316661256474
1967-09-01,2018-10-13,2018-10-13,100.111679346581
1967-10-01,2018-10-13,2018-10-13,100.266018906153
1967-11-01,2018-10-13,2018-10-13,100.357691326806
1967-12-01,2018-10-13,2018-10-13,100.466715136994
1968-01-01,2018-10-13,2018-10-13,100.519398231279
1968-02-01,2018-10-13,2018-10-13,100.472610990648
1968-03-01,2018-10-13,2018-10-13,100.470600995738
1968-04-01,2018-10-13,2018-10-13,100.556583775452
