date,realtime_start,realtime_end,value
1997-04-01,2018-10-13,2018-10-13,.
1997-07-01,2018-10-13,2018-10-13,.
1997-10-01,2018-10-13,2018-10-13,.
1998-01-01,2018-10-13,2018-10-13,.
1998-04-01,2018-10-13,2018-10-13,.
1998-07-01,2018-10-13,2018-10-13,.
1998-10-01,2018-10-13,2018-10-13,.
1999-01-01,2018-10-13,2018-10-13,.
1999-04-01,2018-10-13,2018-10-13,.
1999-07-01,2018-10-13,2018-10-13,.
1999-10-01,2018-10-13,2018-10-13,.
2000-01-01,2018-10-13,2018-10-13,.
2000-04-01,2018-10-13,2018-10-13,.
2000-07-01,2018-10-13,2018-10-13,.
2000-10-01,2018-10-13,2018-10-13,.
2001-01-01,2018-10-13,2018-10-13,.
2001-04-01,2018-10-13,2018-10-13,.
2001-07-01,2018-10-13,2018-10-13,.
2001-10-01,2018-10-13,2018-10-13,.
2002-01-01,2018-10-13,2018-10-13,.
2002-04-01,2018-10-13,2018-10-13,.
2002-07-01,2018-10-13,2018-10-13,.
2002-10-01,2018-10-13,2018-10-13,.
2003-01-01,2018-10-13,2018-10-13,.
2003-04-01,2018-10-13,2018-10-13,.
2003-07-01,2018-10-13,2018-10-13,.
2003-10-01,2018-10-13,2018-10-13,.
2004-01-01,2018-10-13,2018-10-13,.
2004-04-01,2018-10-13,2018-10-13,.
2004-07-01,2018-10-13,2018-10-13,.
2004-10-01,2018-10-13,2018-10-13,.
2005-01-01,2018-10-13,2018-10-13,.
2005-04-01,2018-10-13,2018-10-13,.
2005-07-01,2018-10-13,2018-10-13,.
2005-10-01,2018-10-13,2018-10-13,.
2006-01-01,2018-10-13,2018-10-13,.
2006-04-01,2018-10-13,2018-10-13,.
2006-07-01,2018-10-13,2018-10-13,.
2006-10-01,2018-10-13,2018-10-13,.
2007-01-01,2018-10-13,2018-10-13,.
2007-04-01,2018-10-13,2018-10-13,.
2007-07-01,2018-10-13,2018-10-13,.
2007-10-01,2018-10-13,2018-10-13,.
2008-01-01,2018-10-13,2018-10-13,.
2008-04-01,2018-10-13,2018-10-13,.
2008-07-01,2018-10-13,2018-10-13,.
2008-10-01,2018-10-13,2018-10-13,.
2009-01-01,2018-10-13,2018-10-13,.
2009-04-01,2018-10-13,2018-10-13,.
2009-07-01,2018-10-13,2018-10-13,.
2009-10-01,2018-10-13,2018-10-13,.
2010-01-01,2018-10-13,2018-10-13,.
2010-04-01,2018-10-13,2018-10-13,.
2010-07-01,2018-10-13,2018-10-13,.
2010-10-01,2018-10-13,2018-10-13,.
2011-01-01,2018-10-13,2018-10-13,.
2011-04-01,2018-10-13,2018-10-13,.
2011-07-01,2018-10-13,2018-10-13,.
2011-10-01,2018-10-13,2018-10-13,.
2012-01-01,2018-10-13,2018-10-13,.
2012-04-01,2018-10-13,2018-10-13,3.72853554404265
2012-07-01,2018-10-13,2018-10-13,6.56156376361436
2012-10-01,2018-10-13,2018-10-13,5.85467734413933
2013-01-01,2018-10-13,2018-10-13,5.68987025305347
2013-04-01,2018-10-13,2018-10-13,5.70942490007235
2013-07-01,2018-10-13,2018-10-13,6.14195998263455
2013-10-01,2018-10-13,2018-10-13,7.05787149935922
2014-01-01,2018-10-13,2018-10-13,6.61168187673132
2014-04-01,2018-10-13,2018-10-13,7.43034716790336
2014-07-01,2018-10-13,2018-10-13,7.65080323918536
2014-10-01,2018-10-13,2018-10-13,6.96409114451742
2015-01-01,2018-10-13,2018-10-13,7.59923402886186
2015-04-01,2018-10-13,2018-10-13,7.62790195232788
2015-07-01,2018-10-13,2018-10-13,7.88254494841516
2015-10-01,2018-10-13,2018-10-13,8.21685630516719
2016-01-01,2018-10-13,2018-10-13,8.85668803623309
2016-04-01,2018-10-13,2018-10-13,8.10128538018155
2016-07-01,2018-10-13,2018-10-13,7.45939218189227
2016-10-01,2018-10-13,2018-10-13,6.99190499306187
2017-01-01,2018-10-13,2018-10-13,5.96919142191591
2017-04-01,2018-10-13,2018-10-13,5.87074263612738
2017-07-01,2018-10-13,2018-10-13,6.35213654659246
2017-10-01,2018-10-13,2018-10-13,6.91690601567167
2018-01-01,2018-10-13,2018-10-13,7.54556948330209
2018-04-01,2018-10-13,2018-10-13,8.0424297435466
