date,realtime_start,realtime_end,value
1976-07-01,2018-10-13,2018-10-13,19.524213589912
1976-10-01,2018-10-13,2018-10-13,20.7972340195564
1977-01-01,2018-10-13,2018-10-13,21.2323104478194
1977-04-01,2018-10-13,2018-10-13,21.8027911153941
1977-07-01,2018-10-13,2018-10-13,22.1803948136166
1977-10-01,2018-10-13,2018-10-13,22.6800233798887
1978-01-01,2018-10-13,2018-10-13,23.0602060402174
1978-04-01,2018-10-13,2018-10-13,23.4323614263836
1978-07-01,2018-10-13,2018-10-13,23.8476511859097
1978-10-01,2018-10-13,2018-10-13,24.2306978287204
1979-01-01,2018-10-13,2018-10-13,24.6022635598875
1979-04-01,2018-10-13,2018-10-13,25.107013218266
1979-07-01,2018-10-13,2018-10-13,25.6995425420016
1979-10-01,2018-10-13,2018-10-13,26.4046719623082
1980-01-01,2018-10-13,2018-10-13,26.8658235722168
1980-04-01,2018-10-13,2018-10-13,27.629601085035
1980-07-01,2018-10-13,2018-10-13,28.0903980330629
1980-10-01,2018-10-13,2018-10-13,28.7005549684242
1981-01-01,2018-10-13,2018-10-13,29.2566376179578
1981-04-01,2018-10-13,2018-10-13,29.8636613640964
1981-07-01,2018-10-13,2018-10-13,30.4983494630633
1981-10-01,2018-10-13,2018-10-13,31.8731153116492
1982-01-01,2018-10-13,2018-10-13,32.6170586238282
1982-04-01,2018-10-13,2018-10-13,33.4024476699536
1982-07-01,2018-10-13,2018-10-13,34.4428512535716
1982-10-01,2018-10-13,2018-10-13,35.5414220173298
1983-01-01,2018-10-13,2018-10-13,36.2734659613572
1983-04-01,2018-10-13,2018-10-13,36.9795427218143
1983-07-01,2018-10-13,2018-10-13,37.5530806702633
1983-10-01,2018-10-13,2018-10-13,38.529720676436
1984-01-01,2018-10-13,2018-10-13,38.2245910812932
1984-04-01,2018-10-13,2018-10-13,38.3749191856509
1984-07-01,2018-10-13,2018-10-13,38.8400114168341
1984-10-01,2018-10-13,2018-10-13,39.3966741860696
1985-01-01,2018-10-13,2018-10-13,39.9290749790376
1985-04-01,2018-10-13,2018-10-13,40.8252399671341
1985-07-01,2018-10-13,2018-10-13,41.7996384861195
1985-10-01,2018-10-13,2018-10-13,42.7284957929438
1986-01-01,2018-10-13,2018-10-13,43.7141346426842
1986-04-01,2018-10-13,2018-10-13,44.6462583600198
1986-07-01,2018-10-13,2018-10-13,45.7266107120372
1986-10-01,2018-10-13,2018-10-13,47.0326241492985
1987-01-01,2018-10-13,2018-10-13,48.0898668536802
1987-04-01,2018-10-13,2018-10-13,49.0407917172573
1987-07-01,2018-10-13,2018-10-13,49.9240023068494
1987-10-01,2018-10-13,2018-10-13,50.7664211478466
1988-01-01,2018-10-13,2018-10-13,51.6585579453347
1988-04-01,2018-10-13,2018-10-13,52.6528802769918
1988-07-01,2018-10-13,2018-10-13,53.5495328582534
1988-10-01,2018-10-13,2018-10-13,54.7570113995633
1989-01-01,2018-10-13,2018-10-13,55.269732653391
1989-04-01,2018-10-13,2018-10-13,56.5345495486354
1989-07-01,2018-10-13,2018-10-13,57.7793092532836
1989-10-01,2018-10-13,2018-10-13,58.9453566005585
1990-01-01,2018-10-13,2018-10-13,60.1367604553637
1990-04-01,2018-10-13,2018-10-13,61.045986735542
1990-07-01,2018-10-13,2018-10-13,61.5780333947844
1990-10-01,2018-10-13,2018-10-13,62.9307785572952
1991-01-01,2018-10-13,2018-10-13,62.9715224546206
1991-04-01,2018-10-13,2018-10-13,63.2939159279033
1991-07-01,2018-10-13,2018-10-13,63.4616057910391
1991-10-01,2018-10-13,2018-10-13,64.2209307346831
1992-01-01,2018-10-13,2018-10-13,64.182248546448
1992-04-01,2018-10-13,2018-10-13,63.921417203743
1992-07-01,2018-10-13,2018-10-13,64.0076569864187
1992-10-01,2018-10-13,2018-10-13,64.3063030909734
1993-01-01,2018-10-13,2018-10-13,64.7642413655404
1993-04-01,2018-10-13,2018-10-13,65.1250530277235
1993-07-01,2018-10-13,2018-10-13,65.4064637471399
1993-10-01,2018-10-13,2018-10-13,65.4430842262849
1994-01-01,2018-10-13,2018-10-13,65.8396992268151
1994-04-01,2018-10-13,2018-10-13,66.2452022049476
