date,realtime_start,realtime_end,value
1979-12-01,2018-10-13,2018-10-13,0.000000000244607153894213000000
1980-01-01,2018-10-13,2018-10-13,0.000000000260789505017519000000
1980-02-01,2018-10-13,2018-10-13,0.000000000272829944841407000000
1980-03-01,2018-10-13,2018-10-13,0.000000000289304477304440000000
1980-04-01,2018-10-13,2018-10-13,0.000000000304597441272755000000
1980-05-01,2018-10-13,2018-10-13,0.000000000321967782458684000000
1980-06-01,2018-10-13,2018-10-13,0.000000000339049153088841000000
1980-07-01,2018-10-13,2018-10-13,0.000000000357851503917825000000
1980-08-01,2018-10-13,2018-10-13,0.000000000375549345066965000000
1980-09-01,2018-10-13,2018-10-13,0.000000000391436304066592000000
1980-10-01,2018-10-13,2018-10-13,0.000000000428546544995793000000
1980-11-01,2018-10-13,2018-10-13,0.000000000457144997665493000000
1980-12-01,2018-10-13,2018-10-13,0.000000000487380950151241000000
1981-01-01,2018-10-13,2018-10-13,0.000000000520705676799812000000
1981-02-01,2018-10-13,2018-10-13,0.000000000554036825016288000000
1981-03-01,2018-10-13,2018-10-13,0.000000000581582140549392000000
1981-04-01,2018-10-13,2018-10-13,0.000000000619164366719689000000
1981-05-01,2018-10-13,2018-10-13,0.000000000653587181480198000000
1981-06-01,2018-10-13,2018-10-13,0.000000000689650706840709000000
1981-07-01,2018-10-13,2018-10-13,0.000000000732794010817666000000
1981-08-01,2018-10-13,2018-10-13,0.000000000773066873940608000000
1981-09-01,2018-10-13,2018-10-13,0.000000000813705766434197000000
1981-10-01,2018-10-13,2018-10-13,0.000000000855022134341876000000
1981-11-01,2018-10-13,2018-10-13,0.000000000900095119474609000000
1981-12-01,2018-10-13,2018-10-13,0.000000000953429451718505000000
1982-01-01,2018-10-13,2018-10-13,0.000000001019834885435220000000
1982-02-01,2018-10-13,2018-10-13,0.000000001087518211165230000000
1982-03-01,2018-10-13,2018-10-13,0.000000001149643669872550000000
1982-04-01,2018-10-13,2018-10-13,0.000000001217326995602560000000
1982-05-01,2018-10-13,2018-10-13,0.000000001298383236496980000000
1982-06-01,2018-10-13,2018-10-13,0.000000001390632270251680000000
1982-07-01,2018-10-13,2018-10-13,0.000000001479047627966460000000
1982-08-01,2018-10-13,2018-10-13,0.000000001567389137650320000000
1982-09-01,2018-10-13,2018-10-13,0.000000001647016579685640000000
1982-10-01,2018-10-13,2018-10-13,0.000000001720183924407440000000
1982-11-01,2018-10-13,2018-10-13,0.000000001811155066148840000000
1982-12-01,2018-10-13,2018-10-13,0.000000001952532305168960000000
1983-01-01,2018-10-13,2018-10-13,0.000000002121252580333150000000
1983-02-01,2018-10-13,2018-10-13,0.000000002287943640039010000000
1983-03-01,2018-10-13,2018-10-13,0.000000002455989650573060000000
1983-04-01,2018-10-13,2018-10-13,0.000000002617575563793590000000
1983-05-01,2018-10-13,2018-10-13,0.000000002787271917279500000000
1983-06-01,2018-10-13,2018-10-13,0.000000003062664067715430000000
1983-07-01,2018-10-13,2018-10-13,0.000000003371323150688780000000
1983-08-01,2018-10-13,2018-10-13,0.000000003678498851475820000000
1983-09-01,2018-10-13,2018-10-13,0.000000004057403465773710000000
1983-10-01,2018-10-13,2018-10-13,0.000000004417171807711500000000
1983-11-01,2018-10-13,2018-10-13,0.000000004743323241660990000000
1983-12-01,2018-10-13,2018-10-13,0.000000005154913636600800000000
1984-01-01,2018-10-13,2018-10-13,0.000000005653355737470250000000
1984-02-01,2018-10-13,2018-10-13,0.000000006190455677134270000000
1984-03-01,2018-10-13,2018-10-13,0.000000006743802183600650000000
1984-04-01,2018-10-13,2018-10-13,0.000000007387339611307850000000
1984-05-01,2018-10-13,2018-10-13,0.000000008055921153848730000000
1984-06-01,2018-10-13,2018-10-13,0.000000008867992631250830000000
1984-07-01,2018-10-13,2018-10-13,0.000000009730344985357490000000
1984-08-01,2018-10-13,2018-10-13,0.000000010640056402771400000000
1984-09-01,2018-10-13,2018-10-13,0.000000011890078811367800000000
1984-10-01,2018-10-13,2018-10-13,0.000000013131078917056100000000
1984-11-01,2018-10-13,2018-10-13,0.000000014513289300999000000000
1984-12-01,2018-10-13,2018-10-13,0.000000016251575625333600000000
1985-01-01,2018-10-13,2018-10-13,0.000000018162634234181200000000
1985-02-01,2018-10-13,2018-10-13,0.000000020136046267396800000000
1985-03-01,2018-10-13,2018-10-13,0.000000022182343096346300000000
1985-04-01,2018-10-13,2018-10-13,0.000000024000256862716200000000
1985-05-01,2018-10-13,2018-10-13,0.000000025727273335375700000000
1985-06-01,2018-10-13,2018-10-13,0.000000027912532893812700000000
1985-07-01,2018-10-13,2018-10-13,0.000000030791161246908000000000
1985-08-01,2018-10-13,2018-10-13,0.000000034501478967358400000000
1985-09-01,2018-10-13,2018-10-13,0.000000038337081477656300000000
1985-10-01,2018-10-13,2018-10-13,0.000000042407071216525900000000
1985-11-01,2018-10-13,2018-10-13,0.000000048332573001855600000000
1985-12-01,2018-10-13,2018-10-13,0.000000055617841791296400000000
1986-01-01,2018-10-13,2018-10-13,0.000000063611409520777100000000
1986-02-01,2018-10-13,2018-10-13,0.000000071700337533663100000000
1986-03-01,2018-10-13,2018-10-13,0.000000075120464600438000000000
1986-04-01,2018-10-13,2018-10-13,0.000000075706432671867200000000
1986-05-01,2018-10-13,2018-10-13,0.000000076765670297974100000000
1986-06-01,2018-10-13,2018-10-13,0.000000077742069698092600000000
1986-07-01,2018-10-13,2018-10-13,0.000000079071976411440600000000
1986-08-01,2018-10-13,2018-10-13,0.000000081881412370347900000000
1986-09-01,2018-10-13,2018-10-13,0.000000083286130349801500000000
1986-10-01,2018-10-13,2018-10-13,0.000000084871294387415900000000
1986-11-01,2018-10-13,2018-10-13,0.000000089498676220532700000000
1986-12-01,2018-10-13,2018-10-13,0.000000099925376029624800000000
1987-01-01,2018-10-13,2018-10-13,0.000000113123945625374000000000
1987-02-01,2018-10-13,2018-10-13,0.000000127419319019480000000000
1987-03-01,2018-10-13,2018-10-13,0.000000148280424519152000000000
1987-04-01,2018-10-13,2018-10-13,0.000000176600823298519000000000
1987-05-01,2018-10-13,2018-10-13,0.000000214484221003611000000000
1987-06-01,2018-10-13,2018-10-13,0.000000256761897626829000000000
1987-07-01,2018-10-13,2018-10-13,0.000000280409963597737000000000
1987-08-01,2018-10-13,2018-10-13,0.000000294066712063584000000000
1987-09-01,2018-10-13,2018-10-13,0.000000316948363904902000000000
1987-10-01,2018-10-13,2018-10-13,0.000000352511970203925000000000
1987-11-01,2018-10-13,2018-10-13,0.000000405666498546451000000000
1987-12-01,2018-10-13,2018-10-13,0.000000463065683274893000000000
1988-01-01,2018-10-13,2018-10-13,0.000000550537070507478000000000
1988-02-01,2018-10-13,2018-10-13,0.000000636968163739279000000000
1988-03-01,2018-10-13,2018-10-13,0.000000749079107027470000000000
1988-04-01,2018-10-13,2018-10-13,0.000000893574017265991000000000
1988-05-01,2018-10-13,2018-10-13,0.000001049229612525270000000000
1988-06-01,2018-10-13,2018-10-13,0.000001280062503260950000000000
1988-07-01,2018-10-13,2018-10-13,0.000001560524481558730000000000
1988-08-01,2018-10-13,2018-10-13,0.000001897438463318800000000000
1988-09-01,2018-10-13,2018-10-13,0.000002418285414612550000000000
1988-10-01,2018-10-13,2018-10-13,0.000003037851129326360000000000
1988-11-01,2018-10-13,2018-10-13,0.000003886621867311680000000000
1988-12-01,2018-10-13,2018-10-13,0.000005002080320436240000000000
1989-01-01,2018-10-13,2018-10-13,0.000006877370796046990000000000
1989-02-01,2018-10-13,2018-10-13,0.000008031390764447520000000000
1989-03-01,2018-10-13,2018-10-13,0.000008579150506835620000000000
1989-04-01,2018-10-13,2018-10-13,0.000009293774691263060000000000
1989-05-01,2018-10-13,2018-10-13,0.000010959240435542800000000000
1989-06-01,2018-10-13,2018-10-13,0.000014099066063217700000000000
1989-07-01,2018-10-13,2018-10-13,0.000018010121996412000000000000
1989-08-01,2018-10-13,2018-10-13,0.000024081329157530400000000000
1989-09-01,2018-10-13,2018-10-13,0.000033126300200272700000000000
1989-10-01,2018-10-13,2018-10-13,0.000046300628377176100000000000
1989-11-01,2018-10-13,2018-10-13,0.000068441584468367800000000000
1989-12-01,2018-10-13,2018-10-13,0.000103688992763696
1990-01-01,2018-10-13,2018-10-13,0.000173730928277776
1990-02-01,2018-10-13,2018-10-13,0.000305297327958838
1990-03-01,2018-10-13,2018-10-13,0.000556831812447407
1990-04-01,2018-10-13,2018-10-13,0.000643252117445126
1990-05-01,2018-10-13,2018-10-13,0.000692074945048771
1990-06-01,2018-10-13,2018-10-13,0.000773393763854867
1990-07-01,2018-10-13,2018-10-13,0.000873316218071094
1990-08-01,2018-10-13,2018-10-13,0.000985799355435122
1990-09-01,2018-10-13,2018-10-13,0.00112785304241847
1990-10-01,2018-10-13,2018-10-13,0.00128981275510682
1990-11-01,2018-10-13,2018-10-13,0.00150663028491694
1990-12-01,2018-10-13,2018-10-13,0.0017844529024818
1991-01-01,2018-10-13,2018-10-13,0.00215472686529825
1991-02-01,2018-10-13,2018-10-13,0.00260119700166292
1991-03-01,2018-10-13,2018-10-13,0.00291133490750935
1991-04-01,2018-10-13,2018-10-13,0.00305658939290765
1991-05-01,2018-10-13,2018-10-13,0.0032837502384676
1991-06-01,2018-10-13,2018-10-13,0.00365116907586949
1991-07-01,2018-10-13,2018-10-13,0.00410424167570814
1991-08-01,2018-10-13,2018-10-13,0.00474575248869202
1991-09-01,2018-10-13,2018-10-13,0.00548754956982184
1991-10-01,2018-10-13,2018-10-13,0.00659765773310626
1991-11-01,2018-10-13,2018-10-13,0.00826094627689533
1991-12-01,2018-10-13,2018-10-13,0.0102195617654496
1992-01-01,2018-10-13,2018-10-13,0.0128705450225491
1992-02-01,2018-10-13,2018-10-13,0.0160006538547468
1992-03-01,2018-10-13,2018-10-13,0.0194248405083206
1992-04-01,2018-10-13,2018-10-13,0.0232962110876397
1992-05-01,2018-10-13,2018-10-13,0.0290876529784704
1992-06-01,2018-10-13,2018-10-13,0.0349663546337633
1992-07-01,2018-10-13,2018-10-13,0.0425995303586312
1992-08-01,2018-10-13,2018-10-13,0.0520310777344173
1992-09-01,2018-10-13,2018-10-13,0.0648463047060728
1992-10-01,2018-10-13,2018-10-13,0.0812134851855766
1992-11-01,2018-10-13,2018-10-13,0.0994784313393919
1992-12-01,2018-10-13,2018-10-13,0.124586754338906
1993-01-01,2018-10-13,2018-10-13,0.162398776027752
1993-02-01,2018-10-13,2018-10-13,0.202965992971059
1993-03-01,2018-10-13,2018-10-13,0.258294561237008
1993-04-01,2018-10-13,2018-10-13,0.329971216285096
1993-05-01,2018-10-13,2018-10-13,0.421340201449936
1993-06-01,2018-10-13,2018-10-13,0.548037249803005
1993-07-01,2018-10-13,2018-10-13,0.716394314022698
1993-08-01,2018-10-13,2018-10-13,0.952517940335607
1993-09-01,2018-10-13,2018-10-13,1.29247156452137
1993-10-01,2018-10-13,2018-10-13,1.73087791652229
1993-11-01,2018-10-13,2018-10-13,2.3463781927835
1993-12-01,2018-10-13,2018-10-13,3.21078395303693
1994-01-01,2018-10-13,2018-10-13,4.53715880403649
1994-02-01,2018-10-13,2018-10-13,6.36441595170981
1994-03-01,2018-10-13,2018-10-13,9.08523427351331
1994-04-01,2018-10-13,2018-10-13,12.962898053596
