date,realtime_start,realtime_end,value
1980-01-01,2018-10-13,2018-10-13,0.000000000274307975721122000000
1980-04-01,2018-10-13,2018-10-13,0.000000000321871458940093000000
1980-07-01,2018-10-13,2018-10-13,0.000000000374945717683794000000
1980-10-01,2018-10-13,2018-10-13,0.000000000457690830937509000000
1981-01-01,2018-10-13,2018-10-13,0.000000000552108214121830000000
1981-04-01,2018-10-13,2018-10-13,0.000000000654134085013532000000
1981-07-01,2018-10-13,2018-10-13,0.000000000773188883730824000000
1981-10-01,2018-10-13,2018-10-13,0.000000000902848901844997000000
1982-01-01,2018-10-13,2018-10-13,0.000000001085665588824330000000
1982-04-01,2018-10-13,2018-10-13,0.000000001302114167450410000000
1982-07-01,2018-10-13,2018-10-13,0.000000001564484448434140000000
1982-10-01,2018-10-13,2018-10-13,0.000000001827957098575080000000
1983-01-01,2018-10-13,2018-10-13,0.000000002288395290315070000000
1983-04-01,2018-10-13,2018-10-13,0.000000002822503849596180000000
1983-07-01,2018-10-13,2018-10-13,0.000000003702408489312770000000
1983-10-01,2018-10-13,2018-10-13,0.000000004771802895324430000000
1984-01-01,2018-10-13,2018-10-13,0.000000006195871199401720000000
1984-04-01,2018-10-13,2018-10-13,0.000000008103751132135800000000
1984-07-01,2018-10-13,2018-10-13,0.000000010753493399832200000000
1984-10-01,2018-10-13,2018-10-13,0.000000014631981281129600000000
1985-01-01,2018-10-13,2018-10-13,0.000000020160341199308100000000
1985-04-01,2018-10-13,2018-10-13,0.000000025880021030634900000000
1985-07-01,2018-10-13,2018-10-13,0.000000034543240563974200000000
1985-10-01,2018-10-13,2018-10-13,0.000000048785828669892600000000
1986-01-01,2018-10-13,2018-10-13,0.000000070144070551626100000000
1986-04-01,2018-10-13,2018-10-13,0.000000076738057555978000000000
1986-07-01,2018-10-13,2018-10-13,0.000000081413173043863300000000
1986-10-01,2018-10-13,2018-10-13,0.000000091431782212524400000000
1987-01-01,2018-10-13,2018-10-13,0.000000129607896388002000000000
1987-04-01,2018-10-13,2018-10-13,0.000000215948980642986000000000
1987-07-01,2018-10-13,2018-10-13,0.000000297141679855408000000000
1987-10-01,2018-10-13,2018-10-13,0.000000407081384008423000000000
1988-01-01,2018-10-13,2018-10-13,0.000000645528113758076000000000
1988-04-01,2018-10-13,2018-10-13,0.000001074288711017400000000000
1988-07-01,2018-10-13,2018-10-13,0.000001958749453163360000000000
1988-10-01,2018-10-13,2018-10-13,0.000003975517772358090000000000
1989-01-01,2018-10-13,2018-10-13,0.000007829304022443380000000000
1989-04-01,2018-10-13,2018-10-13,0.000011450693730007900000000000
1989-07-01,2018-10-13,2018-10-13,0.000025072583784738300000000000
1989-10-01,2018-10-13,2018-10-13,0.000072810401869746500000000000
1990-01-01,2018-10-13,2018-10-13,0.00034528668956134
1990-04-01,2018-10-13,2018-10-13,0.000702906942116254
1990-07-01,2018-10-13,2018-10-13,0.000995656205308228
1990-10-01,2018-10-13,2018-10-13,0.00152696531416852
1991-01-01,2018-10-13,2018-10-13,0.00255575292482351
1991-04-01,2018-10-13,2018-10-13,0.00333050290241491
1991-07-01,2018-10-13,2018-10-13,0.00477918124474067
1991-10-01,2018-10-13,2018-10-13,0.00835938859181705
1992-01-01,2018-10-13,2018-10-13,0.0160986797952055
1992-04-01,2018-10-13,2018-10-13,0.0291167395666244
1992-07-01,2018-10-13,2018-10-13,0.0531589709330404
1992-10-01,2018-10-13,2018-10-13,0.101759556954625
1993-01-01,2018-10-13,2018-10-13,0.20788644341194
1993-04-01,2018-10-13,2018-10-13,0.433116222512679
1993-07-01,2018-10-13,2018-10-13,0.987127939626559
1993-10-01,2018-10-13,2018-10-13,2.42934668744757
1994-01-01,2018-10-13,2018-10-13,6.66226967641987
1994-04-01,2018-10-13,2018-10-13,19.7196718043669
1994-07-01,2018-10-13,2018-10-13,29.926004808149
1994-10-01,2018-10-13,2018-10-13,31.9782308847984
1995-01-01,2018-10-13,2018-10-13,33.590044429223
1995-04-01,2018-10-13,2018-10-13,35.7672770277773
1995-07-01,2018-10-13,2018-10-13,37.8534303881972
1995-10-01,2018-10-13,2018-10-13,39.3505119193665
1996-01-01,2018-10-13,2018-10-13,40.8105624089442
1996-04-01,2018-10-13,2018-10-13,42.0671562220311
1996-07-01,2018-10-13,2018-10-13,43.1903954749351
1996-10-01,2018-10-13,2018-10-13,43.5877835021893
1997-01-01,2018-10-13,2018-10-13,44.5106698364239
1997-04-01,2018-10-13,2018-10-13,45.3343429465097
1997-07-01,2018-10-13,2018-10-13,45.6623780403783
1997-10-01,2018-10-13,2018-10-13,45.9000830790348
1998-01-01,2018-10-13,2018-10-13,46.5793779373656
1998-04-01,2018-10-13,2018-10-13,47.0274963510778
1998-07-01,2018-10-13,2018-10-13,46.8610707161787
1998-10-01,2018-10-13,2018-10-13,46.7356360897468
1999-01-01,2018-10-13,2018-10-13,47.652207882207
1999-04-01,2018-10-13,2018-10-13,48.5639634987378
1999-07-01,2018-10-13,2018-10-13,49.4391161782039
1999-10-01,2018-10-13,2018-10-13,50.643481238988
2000-01-01,2018-10-13,2018-10-13,51.4036878529354
2000-04-01,2018-10-13,2018-10-13,51.7608340546449
2000-07-01,2018-10-13,2018-10-13,53.1776459869883
2000-10-01,2018-10-13,2018-10-13,53.784163075717
2001-01-01,2018-10-13,2018-10-13,54.5967054680988
2001-04-01,2018-10-13,2018-10-13,55.3829194320658
2001-07-01,2018-10-13,2018-10-13,56.7064045775076
2001-10-01,2018-10-13,2018-10-13,57.8136969367783
2002-01-01,2018-10-13,2018-10-13,58.7608782029242
2002-04-01,2018-10-13,2018-10-13,59.7052767896442
2002-07-01,2018-10-13,2018-10-13,61.0360397120462
2002-10-01,2018-10-13,2018-10-13,63.9681276179595
2003-01-01,2018-10-13,2018-10-13,67.9466100141676
2003-04-01,2018-10-13,2018-10-13,69.7705493517561
2003-07-01,2018-10-13,2018-10-13,70.3228041916784
2003-10-01,2018-10-13,2018-10-13,71.2568212436169
2004-01-01,2018-10-13,2018-10-13,72.5349273091891
2004-04-01,2018-10-13,2018-10-13,73.6013356861245
2004-07-01,2018-10-13,2018-10-13,75.1742987447173
2004-10-01,2018-10-13,2018-10-13,76.4119489324812
2005-01-01,2018-10-13,2018-10-13,77.9339675523525
2005-04-01,2018-10-13,2018-10-13,79.3381504011473
2005-07-01,2018-10-13,2018-10-13,79.8388186455575
2005-10-01,2018-10-13,2018-10-13,81.0637327236411
2006-01-01,2018-10-13,2018-10-13,82.2282840634076
2006-04-01,2018-10-13,2018-10-13,82.7465045934278
2006-07-01,2018-10-13,2018-10-13,82.9007292493053
2006-10-01,2018-10-13,2018-10-13,83.6102054767947
2007-01-01,2018-10-13,2018-10-13,84.6850689181397
2007-04-01,2018-10-13,2018-10-13,85.4690353333396
2007-07-01,2018-10-13,2018-10-13,86.2349143322706
2007-10-01,2018-10-13,2018-10-13,87.1670049138373
2008-01-01,2018-10-13,2018-10-13,88.6099312223321
2008-04-01,2018-10-13,2018-10-13,90.2214236883613
2008-07-01,2018-10-13,2018-10-13,91.6340616015658
2008-10-01,2018-10-13,2018-10-13,92.5997583885075
2009-01-01,2018-10-13,2018-10-13,93.7339143068519
2009-04-01,2018-10-13,2018-10-13,94.8914019219218
2009-07-01,2018-10-13,2018-10-13,95.6677694817661
2009-10-01,2018-10-13,2018-10-13,96.5188412815844
2010-01-01,2018-10-13,2018-10-13,98.2929064417691
2010-04-01,2018-10-13,2018-10-13,99.7365819331862
2010-07-01,2018-10-13,2018-10-13,100.065473236109
2010-10-01,2018-10-13,2018-10-13,101.905038388936
2011-01-01,2018-10-13,2018-10-13,104.291400048964
2011-04-01,2018-10-13,2018-10-13,106.311197207688
2011-07-01,2018-10-13,2018-10-13,107.20668485219
2011-10-01,2018-10-13,2018-10-13,108.736195301285
2012-01-01,2018-10-13,2018-10-13,110.305412445266
2012-04-01,2018-10-13,2018-10-13,111.629325695235
2012-07-01,2018-10-13,2018-10-13,112.824807587082
2012-10-01,2018-10-13,2018-10-13,114.83454428942
2013-01-01,2018-10-13,2018-10-13,117.312199239847
2013-04-01,2018-10-13,2018-10-13,118.95783304191
2013-07-01,2018-10-13,2018-10-13,119.676299464468
2013-10-01,2018-10-13,2018-10-13,121.542086019578
2014-01-01,2018-10-13,2018-10-13,124.124626579137
2014-04-01,2018-10-13,2018-10-13,126.562360782415
2014-07-01,2018-10-13,2018-10-13,127.559951356623
2014-10-01,2018-10-13,2018-10-13,129.462447874929
2015-01-01,2018-10-13,2018-10-13,133.630687602762
2015-04-01,2018-10-13,2018-10-13,137.33796578107
2015-07-01,2018-10-13,2018-10-13,139.710628096233
2015-10-01,2018-10-13,2018-10-13,142.875283786478
2016-01-01,2018-10-13,2018-10-13,147.185868269561
2016-04-01,2018-10-13,2018-10-13,149.899444133028
2016-07-01,2018-10-13,2018-10-13,151.904971497603
2016-10-01,2018-10-13,2018-10-13,152.940128244062
2017-01-01,2018-10-13,2018-10-13,154.38744262396
2017-04-01,2018-10-13,2018-10-13,155.23198582974
2017-07-01,2018-10-13,2018-10-13,155.806181026675
2017-10-01,2018-10-13,2018-10-13,157.249535439697
2018-01-01,2018-10-13,2018-10-13,158.700167629679
2018-04-01,2018-10-13,2018-10-13,160.410659267593
