date,realtime_start,realtime_end,value
1980-01-01,2018-10-13,2018-10-13,3.31387238406838
1980-02-01,2018-10-13,2018-10-13,3.30923759751723
1980-03-01,2018-10-13,2018-10-13,3.34168110337524
1980-04-01,2018-10-13,2018-10-13,3.35558546302868
1980-05-01,2018-10-13,2018-10-13,3.32777674372181
1980-06-01,2018-10-13,2018-10-13,3.35558546302868
1980-07-01,2018-10-13,2018-10-13,3.3370463168241
1980-08-01,2018-10-13,2018-10-13,3.31387238406838
1980-09-01,2018-10-13,2018-10-13,3.31387238406838
1980-10-01,2018-10-13,2018-10-13,3.32777674372181
1980-11-01,2018-10-13,2018-10-13,3.32314195717066
1980-12-01,2018-10-13,2018-10-13,3.35095067647753
1981-01-01,2018-10-13,2018-10-13,3.43901162094928
1981-02-01,2018-10-13,2018-10-13,3.45291598060271
1981-03-01,2018-10-13,2018-10-13,3.52243777886988
1981-04-01,2018-10-13,2018-10-13,3.46682034025615
1981-05-01,2018-10-13,2018-10-13,3.45755076715386
1981-06-01,2018-10-13,2018-10-13,3.462185553705
1981-07-01,2018-10-13,2018-10-13,3.48072469990958
1981-08-01,2018-10-13,2018-10-13,3.47608991335844
1981-09-01,2018-10-13,2018-10-13,3.48072469990958
1981-10-01,2018-10-13,2018-10-13,3.48999427301187
1981-11-01,2018-10-13,2018-10-13,3.53170735197217
1981-12-01,2018-10-13,2018-10-13,3.57342043093247
1982-01-01,2018-10-13,2018-10-13,3.64757701575078
1982-02-01,2018-10-13,2018-10-13,3.62903786954621
1982-03-01,2018-10-13,2018-10-13,3.65684658885307
1982-04-01,2018-10-13,2018-10-13,3.66611616195536
1982-05-01,2018-10-13,2018-10-13,3.65684658885307
1982-06-01,2018-10-13,2018-10-13,3.70782924091566
1982-07-01,2018-10-13,2018-10-13,3.69855966781338
1982-08-01,2018-10-13,2018-10-13,3.72636838712024
1982-09-01,2018-10-13,2018-10-13,3.79589018538741
1982-10-01,2018-10-13,2018-10-13,3.80979454504084
1982-11-01,2018-10-13,2018-10-13,3.82369890469428
1982-12-01,2018-10-13,2018-10-13,3.87468155675687
1983-01-01,2018-10-13,2018-10-13,3.94883814157518
1983-02-01,2018-10-13,2018-10-13,3.94883814157518
1983-03-01,2018-10-13,2018-10-13,3.97664686088205
1983-04-01,2018-10-13,2018-10-13,3.9720120743309
1983-05-01,2018-10-13,2018-10-13,3.96274250122862
1983-06-01,2018-10-13,2018-10-13,3.97664686088205
1983-07-01,2018-10-13,2018-10-13,3.98128164743319
1983-08-01,2018-10-13,2018-10-13,3.98591643398434
1983-09-01,2018-10-13,2018-10-13,4.03226429949578
1983-10-01,2018-10-13,2018-10-13,4.04153387259807
1983-11-01,2018-10-13,2018-10-13,4.04153387259807
1983-12-01,2018-10-13,2018-10-13,4.07861216500723
1984-01-01,2018-10-13,2018-10-13,4.18057746913241
1984-02-01,2018-10-13,2018-10-13,4.2732732001553
1984-03-01,2018-10-13,2018-10-13,4.32425585221789
1984-04-01,2018-10-13,2018-10-13,4.34279499842247
1984-05-01,2018-10-13,2018-10-13,4.33352542532018
1984-06-01,2018-10-13,2018-10-13,4.34742978497362
1984-07-01,2018-10-13,2018-10-13,4.3984124370362
1984-08-01,2018-10-13,2018-10-13,4.34742978497362
1984-09-01,2018-10-13,2018-10-13,4.3566993580759
1984-10-01,2018-10-13,2018-10-13,4.34742978497362
1984-11-01,2018-10-13,2018-10-13,4.3566993580759
1984-12-01,2018-10-13,2018-10-13,4.3984124370362
1985-01-01,2018-10-13,2018-10-13,4.48183859495681
1985-02-01,2018-10-13,2018-10-13,4.57916911253085
1985-03-01,2018-10-13,2018-10-13,4.62551697804229
1985-04-01,2018-10-13,2018-10-13,4.63942133769572
1985-05-01,2018-10-13,2018-10-13,4.62088219149115
1985-06-01,2018-10-13,2018-10-13,4.63015176459343
1985-07-01,2018-10-13,2018-10-13,4.66259527045145
1985-08-01,2018-10-13,2018-10-13,4.62088219149115
1985-09-01,2018-10-13,2018-10-13,4.6579604839003
1985-10-01,2018-10-13,2018-10-13,4.66723005700259
1985-11-01,2018-10-13,2018-10-13,4.69040398975832
1985-12-01,2018-10-13,2018-10-13,4.7413866418209
1986-01-01,2018-10-13,2018-10-13,4.80627365353693
1986-02-01,2018-10-13,2018-10-13,4.82481279974151
1986-03-01,2018-10-13,2018-10-13,4.86652587870181
1986-04-01,2018-10-13,2018-10-13,4.88043023835524
1986-05-01,2018-10-13,2018-10-13,4.84798673249723
1986-06-01,2018-10-13,2018-10-13,4.82481279974151
1986-07-01,2018-10-13,2018-10-13,4.87116066525295
1986-08-01,2018-10-13,2018-10-13,4.85262151904837
1986-09-01,2018-10-13,2018-10-13,4.90360417111097
1986-10-01,2018-10-13,2018-10-13,4.92677810386669
1986-11-01,2018-10-13,2018-10-13,4.9592216097247
1986-12-01,2018-10-13,2018-10-13,4.99629990213386
1987-01-01,2018-10-13,2018-10-13,5.07972606005446
1987-02-01,2018-10-13,2018-10-13,5.11216956591247
1987-03-01,2018-10-13,2018-10-13,5.13070871211705
1987-04-01,2018-10-13,2018-10-13,5.20023051038422
1987-05-01,2018-10-13,2018-10-13,5.26975230865139
1987-06-01,2018-10-13,2018-10-13,5.26511752210024
1987-07-01,2018-10-13,2018-10-13,5.35317846657199
1987-08-01,2018-10-13,2018-10-13,5.36244803967428
1987-09-01,2018-10-13,2018-10-13,5.39952633208344
1987-10-01,2018-10-13,2018-10-13,5.44123941104374
1987-11-01,2018-10-13,2018-10-13,5.48295249000404
