date,realtime_start,realtime_end,value
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,2.49501357953577
1960-02-01,2018-10-13,2018-10-13,2.49501357953577
1960-03-01,2018-10-13,2018-10-13,2.47336487170062
1960-04-01,2018-10-13,2018-10-13,2.49501357953577
1960-05-01,2018-10-13,2018-10-13,2.51125011041213
1960-06-01,2018-10-13,2018-10-13,2.53289881830412
1960-07-01,2018-10-13,2018-10-13,2.57619623397442
1960-08-01,2018-10-13,2018-10-13,2.57619623397442
1960-09-01,2018-10-13,2018-10-13,2.55454752613927
1960-10-01,2018-10-13,2018-10-13,2.55454752613927
1960-11-01,2018-10-13,2018-10-13,2.53289881830412
1960-12-01,2018-10-13,2018-10-13,2.53289881830412
1961-01-01,2018-10-13,2018-10-13,2.51125011041213
1961-02-01,2018-10-13,2018-10-13,2.51125011041213
1961-03-01,2018-10-13,2018-10-13,2.53289881830412
1961-04-01,2018-10-13,2018-10-13,2.53289881830412
1961-05-01,2018-10-13,2018-10-13,2.53289881830412
1961-06-01,2018-10-13,2018-10-13,2.55454752613927
1961-07-01,2018-10-13,2018-10-13,2.59784494180957
1961-08-01,2018-10-13,2018-10-13,2.61408147274278
1961-09-01,2018-10-13,2018-10-13,2.61408147274278
1961-10-01,2018-10-13,2018-10-13,2.61408147274278
1961-11-01,2018-10-13,2018-10-13,2.61408147274278
1961-12-01,2018-10-13,2018-10-13,2.61408147274278
1962-01-01,2018-10-13,2018-10-13,2.59784494180957
1962-02-01,2018-10-13,2018-10-13,2.59784494180957
1962-03-01,2018-10-13,2018-10-13,2.59784494180957
1962-04-01,2018-10-13,2018-10-13,2.61408147274278
1962-05-01,2018-10-13,2018-10-13,2.63573018057793
1962-06-01,2018-10-13,2018-10-13,2.65737888841307
1962-07-01,2018-10-13,2018-10-13,2.69526412712459
1962-08-01,2018-10-13,2018-10-13,2.71691283501658
1962-09-01,2018-10-13,2018-10-13,2.71691283501658
1962-10-01,2018-10-13,2018-10-13,2.73856154285173
1962-11-01,2018-10-13,2018-10-13,2.71691283501658
