date,realtime_start,realtime_end,value
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,2.48779734359072
1960-04-01,2018-10-13,2018-10-13,2.51305416941734
1960-07-01,2018-10-13,2018-10-13,2.56897999802937
1960-10-01,2018-10-13,2018-10-13,2.54011505424917
1961-01-01,2018-10-13,2018-10-13,2.51846634637612
1961-04-01,2018-10-13,2018-10-13,2.54011505424917
1961-07-01,2018-10-13,2018-10-13,2.60866929576504
1961-10-01,2018-10-13,2018-10-13,2.61408147274278
1962-01-01,2018-10-13,2018-10-13,2.59784494180957
1962-04-01,2018-10-13,2018-10-13,2.63573018057793
1962-07-01,2018-10-13,2018-10-13,2.70969659905258
1962-10-01,2018-10-13,2018-10-13,2.71150065803884
1963-01-01,2018-10-13,2018-10-13,2.65016265246802
1963-04-01,2018-10-13,2018-10-13,2.70428442207485
1963-07-01,2018-10-13,2018-10-13,2.78005489955471
1963-10-01,2018-10-13,2018-10-13,2.83417666918048
1964-01-01,2018-10-13,2018-10-13,2.8955146747513
1964-04-01,2018-10-13,2018-10-13,3.00375821398389
1964-07-01,2018-10-13,2018-10-13,3.19498846666035
1964-10-01,2018-10-13,2018-10-13,3.33931318563714
1965-01-01,2018-10-13,2018-10-13,3.31044824185694
1965-04-01,2018-10-13,2018-10-13,3.29781982893415
1965-07-01,2018-10-13,2018-10-13,3.47461760970156
1965-10-01,2018-10-13,2018-10-13,3.52873937932733
1966-01-01,2018-10-13,2018-10-13,3.54858402819517
1966-04-01,2018-10-13,2018-10-13,3.68569251120796
1966-07-01,2018-10-13,2018-10-13,3.87511870489815
1966-10-01,2018-10-13,2018-10-13,3.97253789021317
1967-01-01,2018-10-13,2018-10-13,4.05372054465182
1967-04-01,2018-10-13,2018-10-13,4.21788991249645
1967-07-01,2018-10-13,2018-10-13,4.37303898542871
1967-10-01,2018-10-13,2018-10-13,4.40731610616769
1968-01-01,2018-10-13,2018-10-13,4.42716075503553
1968-04-01,2018-10-13,2018-10-13,4.36041057250592
1968-07-01,2018-10-13,2018-10-13,4.42535669606821
1968-10-01,2018-10-13,2018-10-13,4.39107957529133
1969-01-01,2018-10-13,2018-10-13,4.24134267931786
1969-04-01,2018-10-13,2018-10-13,4.34958621858835
1969-07-01,2018-10-13,2018-10-13,4.47587034770251
1969-10-01,2018-10-13,2018-10-13,4.43437699098058
1970-01-01,2018-10-13,2018-10-13,4.44339728591189
1970-04-01,2018-10-13,2018-10-13,4.57509359200379
1970-07-01,2018-10-13,2018-10-13,4.67431683630507
1970-10-01,2018-10-13,2018-10-13,4.69957366215064
1971-01-01,2018-10-13,2018-10-13,4.60035041781146
1971-04-01,2018-10-13,2018-10-13,4.62560724363808
1971-07-01,2018-10-13,2018-10-13,4.83307402720985
1971-10-01,2018-10-13,2018-10-13,4.89982420973946
1972-01-01,2018-10-13,2018-10-13,4.8402902631549
1972-04-01,2018-10-13,2018-10-13,4.93229727151113
1972-07-01,2018-10-13,2018-10-13,5.16682493987684
1972-10-01,2018-10-13,2018-10-13,5.24079135833254
1973-01-01,2018-10-13,2018-10-13,5.32558213074372
1973-04-01,2018-10-13,2018-10-13,5.68278581025106
1973-07-01,2018-10-13,2018-10-13,6.15003708799621
1973-10-01,2018-10-13,2018-10-13,6.440490584955
1974-01-01,2018-10-13,2018-10-13,6.71470755103742
1974-04-01,2018-10-13,2018-10-13,7.31545919382283
1974-07-01,2018-10-13,2018-10-13,8.05151526069162
1974-10-01,2018-10-13,2018-10-13,8.26619828018948
1975-01-01,2018-10-13,2018-10-13,8.1002248533586
1975-04-01,2018-10-13,2018-10-13,8.14893444600663
1975-07-01,2018-10-13,2018-10-13,8.03527872981525
