date,realtime_start,realtime_end,value
1968-01-01,2018-10-13,2018-10-13,0.743991237151452
1968-02-01,2018-10-13,2018-10-13,0.818390361525785
1968-03-01,2018-10-13,2018-10-13,0.843190068551916
1968-04-01,2018-10-13,2018-10-13,0.793590653401007
1968-05-01,2018-10-13,2018-10-13,0.834923500275637
1968-06-01,2018-10-13,2018-10-13,0.859723207301768
1968-07-01,2018-10-13,2018-10-13,0.901056054176398
1968-08-01,2018-10-13,2018-10-13,0.925855762301175
1968-09-01,2018-10-13,2018-10-13,0.925855762301175
1968-10-01,2018-10-13,2018-10-13,0.917589192926249
1968-11-01,2018-10-13,2018-10-13,1.1242534251021
1968-12-01,2018-10-13,2018-10-13,0.991988316201936
1969-01-01,2018-10-13,2018-10-13,1.00852145495179
1969-02-01,2018-10-13,2018-10-13,1.02505459370164
1969-03-01,2018-10-13,2018-10-13,1.04985430182642
1969-04-01,2018-10-13,2018-10-13,1.00025488557686
1969-05-01,2018-10-13,2018-10-13,1.00025488557686
1969-06-01,2018-10-13,2018-10-13,0.98372174682701
1969-07-01,2018-10-13,2018-10-13,1.00025488557686
1969-08-01,2018-10-13,2018-10-13,1.03332116307657
1969-09-01,2018-10-13,2018-10-13,1.03332116307657
1969-10-01,2018-10-13,2018-10-13,1.04985430182642
1969-11-01,2018-10-13,2018-10-13,1.06638744057627
1969-12-01,2018-10-13,2018-10-13,1.08292057932612
1970-01-01,2018-10-13,2018-10-13,1.16558627197673
1970-02-01,2018-10-13,2018-10-13,1.16558627197673
1970-03-01,2018-10-13,2018-10-13,1.15731970260181
1970-04-01,2018-10-13,2018-10-13,1.14078656385196
1970-05-01,2018-10-13,2018-10-13,1.14078656385196
1970-06-01,2018-10-13,2018-10-13,1.15731970260181
1970-07-01,2018-10-13,2018-10-13,1.15731970260181
1970-08-01,2018-10-13,2018-10-13,1.15731970260181
1970-09-01,2018-10-13,2018-10-13,1.13251999447703
1970-10-01,2018-10-13,2018-10-13,1.13251999447703
1970-11-01,2018-10-13,2018-10-13,1.17385284135166
1970-12-01,2018-10-13,2018-10-13,1.18211941072659
1971-01-01,2018-10-13,2018-10-13,1.21518568822629
1971-02-01,2018-10-13,2018-10-13,1.24825196462735
1971-03-01,2018-10-13,2018-10-13,1.24825196462735
1971-04-01,2018-10-13,2018-10-13,1.23171882587749
1971-05-01,2018-10-13,2018-10-13,1.19865254947644
1971-06-01,2018-10-13,2018-10-13,1.18211941072659
1971-07-01,2018-10-13,2018-10-13,1.18211941072659
1971-08-01,2018-10-13,2018-10-13,1.17385284135166
1971-09-01,2018-10-13,2018-10-13,1.16558627197673
1971-10-01,2018-10-13,2018-10-13,1.18211941072659
1971-11-01,2018-10-13,2018-10-13,1.21518568822629
1971-12-01,2018-10-13,2018-10-13,1.20691911885136
1972-01-01,2018-10-13,2018-10-13,1.23171882587749
1972-02-01,2018-10-13,2018-10-13,1.25651853400227
1972-03-01,2018-10-13,2018-10-13,1.25651853400227
1972-04-01,2018-10-13,2018-10-13,1.25651853400227
1972-05-01,2018-10-13,2018-10-13,1.24825196462735
1972-06-01,2018-10-13,2018-10-13,1.22345225760121
1972-07-01,2018-10-13,2018-10-13,1.21518568822629
1972-08-01,2018-10-13,2018-10-13,1.22345225760121
1972-09-01,2018-10-13,2018-10-13,1.23998539525242
1972-10-01,2018-10-13,2018-10-13,1.28958481150198
1972-11-01,2018-10-13,2018-10-13,1.43011648977707
1972-12-01,2018-10-13,2018-10-13,1.52104875180261
1973-01-01,2018-10-13,2018-10-13,1.49624904367783
1973-02-01,2018-10-13,2018-10-13,1.50451561305276
1973-03-01,2018-10-13,2018-10-13,1.52104875180261
1973-04-01,2018-10-13,2018-10-13,1.56238159867724
1973-05-01,2018-10-13,2018-10-13,1.56238159867724
1973-06-01,2018-10-13,2018-10-13,1.64504729132785
1973-07-01,2018-10-13,2018-10-13,1.72771298507711
1973-08-01,2018-10-13,2018-10-13,1.72771298507711
1973-09-01,2018-10-13,2018-10-13,1.78557896960294
1973-10-01,2018-10-13,2018-10-13,1.8351783858525
1973-11-01,2018-10-13,2018-10-13,1.8682446633522
1973-12-01,2018-10-13,2018-10-13,1.93437721725296
1974-01-01,2018-10-13,2018-10-13,2.13277488115254
1974-02-01,2018-10-13,2018-10-13,2.20717400442822
1974-03-01,2018-10-13,2018-10-13,2.24024028192793
1974-04-01,2018-10-13,2018-10-13,2.33117254395347
1974-05-01,2018-10-13,2018-10-13,2.33117254395347
1974-06-01,2018-10-13,2018-10-13,2.35597225207824
1974-07-01,2018-10-13,2018-10-13,2.36423882145317
1974-08-01,2018-10-13,2018-10-13,2.36423882145317
1974-09-01,2018-10-13,2018-10-13,2.41383823660408
1974-10-01,2018-10-13,2018-10-13,2.47997079160349
1974-11-01,2018-10-13,2018-10-13,2.52957020675439
1974-12-01,2018-10-13,2018-10-13,2.58743619237888
1975-01-01,2018-10-13,2018-10-13,2.61223590050365
1975-02-01,2018-10-13,2018-10-13,2.63703560862843
1975-03-01,2018-10-13,2018-10-13,2.68663502377934
1975-04-01,2018-10-13,2018-10-13,2.7362344400289
1975-05-01,2018-10-13,2018-10-13,2.76103414815367
1975-06-01,2018-10-13,2018-10-13,2.76103414815367
1975-07-01,2018-10-13,2018-10-13,2.7858338551798
1975-08-01,2018-10-13,2018-10-13,2.81063356330458
1975-09-01,2018-10-13,2018-10-13,2.91809896407997
1975-10-01,2018-10-13,2018-10-13,2.94289867220475
1975-11-01,2018-10-13,2018-10-13,3.02556436595401
1975-12-01,2018-10-13,2018-10-13,3.09169691985477
1976-01-01,2018-10-13,2018-10-13,3.15782947485418
1976-02-01,2018-10-13,2018-10-13,3.22396202875494
