date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,1.40668521641768
1960-02-01,2018-10-13,2018-10-13,1.43774422938238
1960-03-01,2018-10-13,2018-10-13,1.45401950312518
1960-04-01,2018-10-13,2018-10-13,1.49691574348861
1960-05-01,2018-10-13,2018-10-13,1.49247769714455
1960-06-01,2018-10-13,2018-10-13,1.49099347406737
1960-07-01,2018-10-13,2018-10-13,1.50283070146611
1960-08-01,2018-10-13,2018-10-13,1.51466792886485
1960-09-01,2018-10-13,2018-10-13,1.51318370578768
1960-10-01,2018-10-13,2018-10-13,1.49691574348861
1960-11-01,2018-10-13,2018-10-13,1.45698063783579
1960-12-01,2018-10-13,2018-10-13,1.45993446110268
1961-01-01,2018-10-13,2018-10-13,1.55311881144049
1961-02-01,2018-10-13,2018-10-13,1.59010740527015
1961-03-01,2018-10-13,2018-10-13,1.60932919083611
1961-04-01,2018-10-13,2018-10-13,1.6196895066014
1961-05-01,2018-10-13,2018-10-13,1.64779469629921
1961-06-01,2018-10-13,2018-10-13,1.57383213152735
1961-07-01,2018-10-13,2018-10-13,1.61080610246955
1961-08-01,2018-10-13,2018-10-13,1.63448055726703
1961-09-01,2018-10-13,2018-10-13,1.62855828784579
1961-10-01,2018-10-13,2018-10-13,1.63299633418985
1961-11-01,2018-10-13,2018-10-13,1.55311881144049
1961-12-01,2018-10-13,2018-10-13,1.5220597984758
1962-01-01,2018-10-13,2018-10-13,1.54572694182954
1962-02-01,2018-10-13,2018-10-13,1.60489845593578
1962-03-01,2018-10-13,2018-10-13,1.65074120812236
1962-04-01,2018-10-13,2018-10-13,1.68180753253079
1962-05-01,2018-10-13,2018-10-13,1.71435076857266
1962-06-01,2018-10-13,2018-10-13,1.70547467588454
1962-07-01,2018-10-13,2018-10-13,1.72174994962733
1962-08-01,2018-10-13,2018-10-13,1.77203805960171
1962-09-01,2018-10-13,2018-10-13,1.74985513932514
1962-10-01,2018-10-13,2018-10-13,1.76020814364671
1962-11-01,2018-10-13,2018-10-13,1.75872392056953
1962-12-01,2018-10-13,2018-10-13,1.77943724065639
1963-01-01,2018-10-13,2018-10-13,1.82529461573044
1963-02-01,2018-10-13,2018-10-13,1.86522972138326
1963-03-01,2018-10-13,2018-10-13,1.87558272570482
1963-04-01,2018-10-13,2018-10-13,1.93918497471138
1963-05-01,2018-10-13,2018-10-13,1.91699474299108
1963-06-01,2018-10-13,2018-10-13,1.96876707604263
1963-07-01,2018-10-13,2018-10-13,2.21283037919104
1963-08-01,2018-10-13,2018-10-13,2.24981166157697
1963-09-01,2018-10-13,2018-10-13,2.21874533716855
1963-10-01,2018-10-13,2018-10-13,2.13442976807513
1963-11-01,2018-10-13,2018-10-13,2.18176405478262
1963-12-01,2018-10-13,2018-10-13,2.28678563251917
1964-01-01,2018-10-13,2018-10-13,2.41251321889885
1964-02-01,2018-10-13,2018-10-13,2.57966013400852
1964-03-01,2018-10-13,2018-10-13,2.63438629032696
1964-04-01,2018-10-13,2018-10-13,2.68764284645569
1964-05-01,2018-10-13,2018-10-13,2.81337043283537
1964-06-01,2018-10-13,2018-10-13,2.68468171174507
1964-07-01,2018-10-13,2018-10-13,2.61368759312756
1964-08-01,2018-10-13,2018-10-13,2.59149004996353
1964-09-01,2018-10-13,2018-10-13,2.68468171174507
1964-10-01,2018-10-13,2018-10-13,2.74089209114068
1964-11-01,2018-10-13,2018-10-13,2.73940786806351
1964-12-01,2018-10-13,2018-10-13,2.76308232286099
1965-01-01,2018-10-13,2018-10-13,2.88655798457185
1965-02-01,2018-10-13,2018-10-13,2.94943640064915
1965-03-01,2018-10-13,2018-10-13,2.95601670000608
1965-04-01,2018-10-13,2018-10-13,3.00134765113157
1965-05-01,2018-10-13,2018-10-13,3.0613014897169
1965-06-01,2018-10-13,2018-10-13,3.03424914791621
1965-07-01,2018-10-13,2018-10-13,3.07373094405777
1965-08-01,2018-10-13,2018-10-13,3.10370786335043
1965-09-01,2018-10-13,2018-10-13,3.0890849758906
1965-10-01,2018-10-13,2018-10-13,3.0708063665658
1965-11-01,2018-10-13,2018-10-13,3.01889511608338
1965-12-01,2018-10-13,2018-10-13,3.02839999293227
1966-01-01,2018-10-13,2018-10-13,3.10078328585846
1966-02-01,2018-10-13,2018-10-13,3.18852061061749
1966-03-01,2018-10-13,2018-10-13,3.23970071672692
1966-04-01,2018-10-13,2018-10-13,3.27333335788454
1966-05-01,2018-10-13,2018-10-13,3.36399526013553
1966-06-01,2018-10-13,2018-10-13,3.36984441511947
1966-07-01,2018-10-13,2018-10-13,3.35449038328664
1966-08-01,2018-10-13,2018-10-13,3.42394909872086
1966-09-01,2018-10-13,2018-10-13,3.48755865917116
1966-10-01,2018-10-13,2018-10-13,3.57822056142215
1966-11-01,2018-10-13,2018-10-13,3.48755865917116
1966-12-01,2018-10-13,2018-10-13,3.49048323666312
1967-01-01,2018-10-13,2018-10-13,3.50876184598792
1967-02-01,2018-10-13,2018-10-13,3.55994195209735
1967-03-01,2018-10-13,2018-10-13,3.6089286250878
1967-04-01,2018-10-13,2018-10-13,3.70543968232273
1967-05-01,2018-10-13,2018-10-13,3.74126575659933
1967-06-01,2018-10-13,2018-10-13,3.6995905273388
1967-07-01,2018-10-13,2018-10-13,3.70543968232273
1967-08-01,2018-10-13,2018-10-13,3.75077063344823
1967-09-01,2018-10-13,2018-10-13,3.81072447203356
1967-10-01,2018-10-13,2018-10-13,3.87140945499188
1967-11-01,2018-10-13,2018-10-13,3.89553721930061
1967-12-01,2018-10-13,2018-10-13,3.89261264180865
1968-01-01,2018-10-13,2018-10-13,3.96792051222681
