date,realtime_start,realtime_end,value
1989-01-01,2018-10-13,2018-10-13,0.456285629956697
1989-02-01,2018-10-13,2018-10-13,0.456285629956697
1989-03-01,2018-10-13,2018-10-13,0.456285629956697
1989-04-01,2018-10-13,2018-10-13,0.532333234949479
1989-05-01,2018-10-13,2018-10-13,0.608380839942262
1989-06-01,2018-10-13,2018-10-13,0.608380839942262
1989-07-01,2018-10-13,2018-10-13,0.684428444935045
1989-08-01,2018-10-13,2018-10-13,0.912571259913394
1989-09-01,2018-10-13,2018-10-13,1.21676167988452
1989-10-01,2018-10-13,2018-10-13,1.82514251982679
1989-11-01,2018-10-13,2018-10-13,2.2053805447907
1989-12-01,2018-10-13,2018-10-13,2.58561856975461
1990-01-01,2018-10-13,2018-10-13,4.63890390455975
1990-02-01,2018-10-13,2018-10-13,5.70357037445871
1990-03-01,2018-10-13,2018-10-13,5.93171318943706
1990-04-01,2018-10-13,2018-10-13,6.38799881939375
1990-05-01,2018-10-13,2018-10-13,6.69218923936489
1990-06-01,2018-10-13,2018-10-13,6.92033205434323
1990-07-01,2018-10-13,2018-10-13,7.14847486932158
1990-08-01,2018-10-13,2018-10-13,7.30057007930715
1990-09-01,2018-10-13,2018-10-13,7.60476049927828
1990-10-01,2018-10-13,2018-10-13,8.06104612923497
1990-11-01,2018-10-13,2018-10-13,8.44128415419889
1990-12-01,2018-10-13,2018-10-13,8.97361738914837
1991-01-01,2018-10-13,2018-10-13,10.1143314640401
1991-02-01,2018-10-13,2018-10-13,10.7987599089752
1991-03-01,2018-10-13,2018-10-13,11.2550455389319
1991-04-01,2018-10-13,2018-10-13,11.559235958903
1991-05-01,2018-10-13,2018-10-13,11.8634263788741
1991-06-01,2018-10-13,2018-10-13,12.4718072188164
1991-07-01,2018-10-13,2018-10-13,12.4718072188164
1991-08-01,2018-10-13,2018-10-13,12.5478548238092
1991-09-01,2018-10-13,2018-10-13,13.0801880587586
1991-10-01,2018-10-13,2018-10-13,13.5364736887153
1991-11-01,2018-10-13,2018-10-13,13.992759318672
1991-12-01,2018-10-13,2018-10-13,14.4490449486287
1992-01-01,2018-10-13,2018-10-13,15.5137114185277
1992-02-01,2018-10-13,2018-10-13,15.8179018384988
1992-03-01,2018-10-13,2018-10-13,16.1220922584699
1992-04-01,2018-10-13,2018-10-13,16.7304730984122
1992-05-01,2018-10-13,2018-10-13,17.4149015433473
1992-06-01,2018-10-13,2018-10-13,17.7190919633184
1992-07-01,2018-10-13,2018-10-13,17.9472347782967
1992-08-01,2018-10-13,2018-10-13,18.4035204082534
1992-09-01,2018-10-13,2018-10-13,19.3921392731596
1992-10-01,2018-10-13,2018-10-13,20.0005201131019
1992-11-01,2018-10-13,2018-10-13,20.4568057430586
1992-12-01,2018-10-13,2018-10-13,20.9130913730153
1993-01-01,2018-10-13,2018-10-13,21.7496150279359
1993-02-01,2018-10-13,2018-10-13,22.5100910778637
1993-03-01,2018-10-13,2018-10-13,22.9663767078204
1993-04-01,2018-10-13,2018-10-13,23.4987099427699
1993-05-01,2018-10-13,2018-10-13,23.9549955727266
1993-06-01,2018-10-13,2018-10-13,24.2591859926977
1993-07-01,2018-10-13,2018-10-13,24.5633764126688
1993-08-01,2018-10-13,2018-10-13,25.0957096476183
