date,realtime_start,realtime_end,value
1992-01-01,2018-10-13,2018-10-13,0.0219895321973856
1992-04-01,2018-10-13,2018-10-13,0.0396846598329094
1992-07-01,2018-10-13,2018-10-13,0.0558711232833887
1992-10-01,2018-10-13,2018-10-13,0.0968378098409292
1993-01-01,2018-10-13,2018-10-13,0.187564421393606
1993-04-01,2018-10-13,2018-10-13,0.320289343584491
1993-07-01,2018-10-13,2018-10-13,0.587966298481264
1993-10-01,2018-10-13,2018-10-13,0.992798520150404
1994-01-01,2018-10-13,2018-10-13,1.4555661059162
1994-04-01,2018-10-13,2018-10-13,1.82487848602096
1994-07-01,2018-10-13,2018-10-13,2.1601224531063
1994-10-01,2018-10-13,2018-10-13,3.07520360381938
1995-01-01,2018-10-13,2018-10-13,4.60966469187376
1995-04-01,2018-10-13,2018-10-13,5.88494311104963
1995-07-01,2018-10-13,2018-10-13,6.93436836994582
1995-10-01,2018-10-13,2018-10-13,7.89814065573232
1996-01-01,2018-10-13,2018-10-13,8.75903239694189
1996-04-01,2018-10-13,2018-10-13,9.3306810601541
1996-07-01,2018-10-13,2018-10-13,9.51778540565336
1996-10-01,2018-10-13,2018-10-13,9.81382637490051
1997-01-01,2018-10-13,2018-10-13,10.3546454745023
1997-04-01,2018-10-13,2018-10-13,10.7123308356678
1997-07-01,2018-10-13,2018-10-13,10.9036358478829
1997-10-01,2018-10-13,2018-10-13,10.9745936905076
1998-01-01,2018-10-13,2018-10-13,11.324846517937
1998-04-01,2018-10-13,2018-10-13,11.4911121137794
1998-07-01,2018-10-13,2018-10-13,13.3501389274447
1998-10-01,2018-10-13,2018-10-13,18.6687851438544
1999-01-01,2018-10-13,2018-10-13,22.9451786486484
1999-04-01,2018-10-13,2018-10-13,24.9154543260095
1999-07-01,2018-10-13,2018-10-13,26.4626546078203
1999-10-01,2018-10-13,2018-10-13,27.5305808521027
2000-01-01,2018-10-13,2018-10-13,28.7819769162732
2000-04-01,2018-10-13,2018-10-13,29.856421144329
2000-07-01,2018-10-13,2018-10-13,31.4209662963357
2000-10-01,2018-10-13,2018-10-13,32.9788527369379
2001-01-01,2018-10-13,2018-10-13,35.1701026609614
2001-04-01,2018-10-13,2018-10-13,37.1443732264917
2001-07-01,2018-10-13,2018-10-13,38.0106649595774
2001-10-01,2018-10-13,2018-10-13,39.1380030207832
2002-01-01,2018-10-13,2018-10-13,41.4235650553189
2002-04-01,2018-10-13,2018-10-13,42.9194975166611
2002-07-01,2018-10-13,2018-10-13,43.7066062911387
2002-10-01,2018-10-13,2018-10-13,45.0118071256223
2003-01-01,2018-10-13,2018-10-13,47.4840079940607
2003-04-01,2018-10-13,2018-10-13,48.9511958957354
2003-07-01,2018-10-13,2018-10-13,49.612349454409
2003-10-01,2018-10-13,2018-10-13,50.6598173367449
2004-01-01,2018-10-13,2018-10-13,52.5627669909432
2004-04-01,2018-10-13,2018-10-13,53.9265798278154
2004-07-01,2018-10-13,2018-10-13,55.071377420148
2004-10-01,2018-10-13,2018-10-13,56.5653538274718
2005-01-01,2018-10-13,2018-10-13,59.447620753883
2005-04-01,2018-10-13,2018-10-13,61.3493043325346
2005-07-01,2018-10-13,2018-10-13,62.0514586977404
2005-10-01,2018-10-13,2018-10-13,62.9476558051304
2006-01-01,2018-10-13,2018-10-13,65.887266108404
2006-04-01,2018-10-13,2018-10-13,67.1177302058397
2006-07-01,2018-10-13,2018-10-13,67.907551073631
2006-10-01,2018-10-13,2018-10-13,68.6486643656186
2007-01-01,2018-10-13,2018-10-13,70.9751235419716
2007-04-01,2018-10-13,2018-10-13,72.4538306443426
2007-07-01,2018-10-13,2018-10-13,73.9373653501773
2007-10-01,2018-10-13,2018-10-13,76.475068084464
2008-01-01,2018-10-13,2018-10-13,80.1017901692338
2008-04-01,2018-10-13,2018-10-13,83.2195004609732
2008-07-01,2018-10-13,2018-10-13,84.9865388425881
2008-10-01,2018-10-13,2018-10-13,86.9968363920966
2009-01-01,2018-10-13,2018-10-13,91.0980425086681
2009-04-01,2018-10-13,2018-10-13,93.5659690205667
2009-07-01,2018-10-13,2018-10-13,94.7004053633166
2009-10-01,2018-10-13,2018-10-13,94.9942874714268
2010-01-01,2018-10-13,2018-10-13,97.6698941478166
2010-04-01,2018-10-13,2018-10-13,99.1011462996461
2010-07-01,2018-10-13,2018-10-13,100.529030455291
2010-10-01,2018-10-13,2018-10-13,102.699929097246
2011-01-01,2018-10-13,2018-10-13,106.94473048419
2011-04-01,2018-10-13,2018-10-13,108.555290347764
2011-07-01,2018-10-13,2018-10-13,108.695294035061
2011-10-01,2018-10-13,2018-10-13,109.56656815941
2012-01-01,2018-10-13,2018-10-13,111.078275067762
2012-04-01,2018-10-13,2018-10-13,112.712163180936
2012-07-01,2018-10-13,2018-10-13,115.258809658484
2012-10-01,2018-10-13,2018-10-13,116.724891085384
2013-01-01,2018-10-13,2018-10-13,118.99118722726
2013-04-01,2018-10-13,2018-10-13,120.78913466884
2013-07-01,2018-10-13,2018-10-13,122.587243357653
2013-10-01,2018-10-13,2018-10-13,124.19262170551
2014-01-01,2018-10-13,2018-10-13,126.591005034377
2014-04-01,2018-10-13,2018-10-13,129.935735352296
2014-07-01,2018-10-13,2018-10-13,131.997189975958
2014-10-01,2018-10-13,2018-10-13,136.086088842068
2015-01-01,2018-10-13,2018-10-13,147.10746523504
2015-04-01,2018-10-13,2018-10-13,150.498903389954
2015-07-01,2018-10-13,2018-10-13,152.716397303588
2015-10-01,2018-10-13,2018-10-13,155.782268461854
2016-01-01,2018-10-13,2018-10-13,159.385425426693
2016-04-01,2018-10-13,2018-10-13,161.545901211287
2016-07-01,2018-10-13,2018-10-13,163.132477609099
2016-10-01,2018-10-13,2018-10-13,164.725786648268
2017-01-01,2018-10-13,2018-10-13,166.747574304345
2017-04-01,2018-10-13,2018-10-13,168.320632973832
2017-07-01,2018-10-13,2018-10-13,168.635903815858
2017-10-01,2018-10-13,2018-10-13,168.98256993304
2018-01-01,2018-10-13,2018-10-13,170.507592258023
2018-04-01,2018-10-13,2018-10-13,172.321948337627
