date,realtime_start,realtime_end,value
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,1.75328133265323
1960-02-01,2018-10-13,2018-10-13,1.75328133265323
1960-03-01,2018-10-13,2018-10-13,1.75916482705811
1960-04-01,2018-10-13,2018-10-13,1.76504832146299
1960-05-01,2018-10-13,2018-10-13,1.77093181586786
1960-06-01,2018-10-13,2018-10-13,1.77681531027274
1960-07-01,2018-10-13,2018-10-13,1.77681531027274
1960-08-01,2018-10-13,2018-10-13,1.78269880467762
1960-09-01,2018-10-13,2018-10-13,1.78269880467762
1960-10-01,2018-10-13,2018-10-13,1.78269880467762
1960-11-01,2018-10-13,2018-10-13,1.78269880467762
1960-12-01,2018-10-13,2018-10-13,1.78269880467762
1961-01-01,2018-10-13,2018-10-13,1.78858229908249
1961-02-01,2018-10-13,2018-10-13,1.79446579348737
1961-03-01,2018-10-13,2018-10-13,1.79446579348737
1961-04-01,2018-10-13,2018-10-13,1.80034928789225
1961-05-01,2018-10-13,2018-10-13,1.812116276702
1961-06-01,2018-10-13,2018-10-13,1.812116276702
1961-07-01,2018-10-13,2018-10-13,1.812116276702
1961-08-01,2018-10-13,2018-10-13,1.81799977110688
1961-09-01,2018-10-13,2018-10-13,1.81799977110688
1961-10-01,2018-10-13,2018-10-13,1.81799977110688
1961-11-01,2018-10-13,2018-10-13,1.82976675991663
1961-12-01,2018-10-13,2018-10-13,1.81799977110688
1962-01-01,2018-10-13,2018-10-13,1.81799977110688
1962-02-01,2018-10-13,2018-10-13,1.81799977110688
1962-03-01,2018-10-13,2018-10-13,1.82388326551175
1962-04-01,2018-10-13,2018-10-13,1.82976675991663
1962-05-01,2018-10-13,2018-10-13,1.83565025432151
1962-06-01,2018-10-13,2018-10-13,1.83565025432151
1962-07-01,2018-10-13,2018-10-13,1.83565025432151
1962-08-01,2018-10-13,2018-10-13,1.83565025432151
1962-09-01,2018-10-13,2018-10-13,1.83565025432151
1962-10-01,2018-10-13,2018-10-13,1.83565025432151
1962-11-01,2018-10-13,2018-10-13,1.83565025432151
