date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,2.85736151352783
1960-02-01,2018-10-13,2018-10-13,2.8550432611696
1960-03-01,2018-10-13,2018-10-13,2.85156627409668
1960-04-01,2018-10-13,2018-10-13,2.85388452645491
1960-05-01,2018-10-13,2018-10-13,2.84519088437933
1960-06-01,2018-10-13,2018-10-13,2.84287184909223
1960-07-01,2018-10-13,2018-10-13,2.84171311437755
1960-08-01,2018-10-13,2018-10-13,2.84750913673756
1960-09-01,2018-10-13,2018-10-13,2.86489642088873
1960-10-01,2018-10-13,2018-10-13,2.87243132824963
1960-11-01,2018-10-13,2018-10-13,2.87590831532254
1960-12-01,2018-10-13,2018-10-13,2.8973535197617
1961-01-01,2018-10-13,2018-10-13,2.90952493183906
1961-02-01,2018-10-13,2018-10-13,2.88576147504168
1961-03-01,2018-10-13,2018-10-13,2.87301069560697
1961-04-01,2018-10-13,2018-10-13,2.88054560296787
1961-05-01,2018-10-13,2018-10-13,2.87301069560697
1961-06-01,2018-10-13,2018-10-13,2.85736151352783
1961-07-01,2018-10-13,2018-10-13,2.85736151352783
1961-08-01,2018-10-13,2018-10-13,2.86199880117315
1961-09-01,2018-10-13,2018-10-13,2.86431705353139
1961-10-01,2018-10-13,2018-10-13,2.8753289479652
1961-11-01,2018-10-13,2018-10-13,2.91995745891554
1961-12-01,2018-10-13,2018-10-13,2.92517333098934
1962-01-01,2018-10-13,2018-10-13,2.91995745891554
1962-02-01,2018-10-13,2018-10-13,2.93328760570758
1962-03-01,2018-10-13,2018-10-13,2.958789164577
1962-04-01,2018-10-13,2018-10-13,3.00052005581175
1962-05-01,2018-10-13,2018-10-13,3.03877239411587
1962-06-01,2018-10-13,2018-10-13,3.05442157619501
1962-07-01,2018-10-13,2018-10-13,3.05442157619501
1962-08-01,2018-10-13,2018-10-13,3.04688666883411
1962-09-01,2018-10-13,2018-10-13,3.06543347062883
1962-10-01,2018-10-13,2018-10-13,3.09499216685736
1962-11-01,2018-10-13,2018-10-13,3.1743960290389
1962-12-01,2018-10-13,2018-10-13,3.21496661970125
1963-01-01,2018-10-13,2018-10-13,3.22250152706214
1963-02-01,2018-10-13,2018-10-13,3.24800308593156
1963-03-01,2018-10-13,2018-10-13,3.3111783986766
1963-04-01,2018-10-13,2018-10-13,3.30886014631837
1963-05-01,2018-10-13,2018-10-13,3.32740616518423
1963-06-01,2018-10-13,2018-10-13,3.26597052036893
1963-07-01,2018-10-13,2018-10-13,3.30074587160013
1963-08-01,2018-10-13,2018-10-13,3.33494107254513
1963-09-01,2018-10-13,2018-10-13,3.32740616518423
1963-10-01,2018-10-13,2018-10-13,3.33667995754602
1963-11-01,2018-10-13,2018-10-13,3.37841006585191
1963-12-01,2018-10-13,2018-10-13,3.39116084528662
1964-01-01,2018-10-13,2018-10-13,3.38594497321281
1964-02-01,2018-10-13,2018-10-13,3.38826322557105
1964-03-01,2018-10-13,2018-10-13,3.39869575264752
1964-04-01,2018-10-13,2018-10-13,3.41144653208222
1964-05-01,2018-10-13,2018-10-13,3.42014017415781
1964-06-01,2018-10-13,2018-10-13,3.46592741982283
1964-07-01,2018-10-13,2018-10-13,3.5406947772879
1964-08-01,2018-10-13,2018-10-13,3.59633439974318
1964-09-01,2018-10-13,2018-10-13,3.63168911833173
1964-10-01,2018-10-13,2018-10-13,3.691386661075
1964-11-01,2018-10-13,2018-10-13,3.77658576268768
1964-12-01,2018-10-13,2018-10-13,3.82063490628067
1965-01-01,2018-10-13,2018-10-13,3.85830787722744
1965-02-01,2018-10-13,2018-10-13,3.92438080968807
1965-03-01,2018-10-13,2018-10-13,3.95509902356015
1965-04-01,2018-10-13,2018-10-13,3.98407835243134
1965-05-01,2018-10-13,2018-10-13,4.00030690186782
1965-06-01,2018-10-13,2018-10-13,3.98233946743045
1965-07-01,2018-10-13,2018-10-13,3.98755533950426
1965-08-01,2018-10-13,2018-10-13,4.00784102629986
1965-09-01,2018-10-13,2018-10-13,4.04609414753284
1965-10-01,2018-10-13,2018-10-13,4.06753856904313
1965-11-01,2018-10-13,2018-10-13,4.15505592301404
1965-12-01,2018-10-13,2018-10-13,4.17881937981143
1966-01-01,2018-10-13,2018-10-13,4.17128447245053
1966-02-01,2018-10-13,2018-10-13,4.16780670244875
1966-03-01,2018-10-13,2018-10-13,4.16780670244875
1966-04-01,2018-10-13,2018-10-13,4.20779870868262
1966-05-01,2018-10-13,2018-10-13,4.26923435349792
1966-06-01,2018-10-13,2018-10-13,4.27734862821616
1966-07-01,2018-10-13,2018-10-13,4.27503037585793
1966-08-01,2018-10-13,2018-10-13,4.28256528321883
1966-09-01,2018-10-13,2018-10-13,4.26923435349792
1966-10-01,2018-10-13,2018-10-13,4.29531606265353
1966-11-01,2018-10-13,2018-10-13,4.37008263718974
1966-12-01,2018-10-13,2018-10-13,4.39848259870359
1967-01-01,2018-10-13,2018-10-13,4.40080085106182
1967-02-01,2018-10-13,2018-10-13,4.43499683493568
1967-03-01,2018-10-13,2018-10-13,4.45354363673039
1967-04-01,2018-10-13,2018-10-13,4.51555864890304
1967-05-01,2018-10-13,2018-10-13,4.53120783098218
1967-06-01,2018-10-13,2018-10-13,4.49179597503451
1967-07-01,2018-10-13,2018-10-13,4.49469359475009
1967-08-01,2018-10-13,2018-10-13,4.56018715985337
1967-09-01,2018-10-13,2018-10-13,4.57293793928807
1967-10-01,2018-10-13,2018-10-13,4.59148474108279
1967-11-01,2018-10-13,2018-10-13,4.68711636977194
1967-12-01,2018-10-13,2018-10-13,4.68711636977194
1968-01-01,2018-10-13,2018-10-13,4.70044729949286
