date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,9.17791363005714
1960-02-01,2018-10-13,2018-10-13,9.18428195466009
1960-03-01,2018-10-13,2018-10-13,9.17965044585794
1960-04-01,2018-10-13,2018-10-13,9.17386105985526
1960-05-01,2018-10-13,2018-10-13,9.197018603866
1960-06-01,2018-10-13,2018-10-13,9.2282812882805
1960-07-01,2018-10-13,2018-10-13,9.22249190227782
1960-08-01,2018-10-13,2018-10-13,9.20859737587137
1960-09-01,2018-10-13,2018-10-13,9.2155446390746
1960-10-01,2018-10-13,2018-10-13,9.21496570047432
1960-11-01,2018-10-13,2018-10-13,9.25201777089151
1960-12-01,2018-10-13,2018-10-13,9.27633319210279
1961-01-01,2018-10-13,2018-10-13,9.30759587651729
1961-02-01,2018-10-13,2018-10-13,9.33364811352938
1961-03-01,2018-10-13,2018-10-13,9.37012124534629
1961-04-01,2018-10-13,2018-10-13,9.37938426295059
1961-05-01,2018-10-13,2018-10-13,9.40485756136241
1961-06-01,2018-10-13,2018-10-13,9.43090979837449
1961-07-01,2018-10-13,2018-10-13,9.4123837631659
1961-08-01,2018-10-13,2018-10-13,9.42454147377154
1961-09-01,2018-10-13,2018-10-13,9.43033085977422
1961-10-01,2018-10-13,2018-10-13,9.45348840378496
1961-11-01,2018-10-13,2018-10-13,9.48127745659785
1961-12-01,2018-10-13,2018-10-13,9.48764578120081
1962-01-01,2018-10-13,2018-10-13,9.68853747549399
1962-02-01,2018-10-13,2018-10-13,9.69548473869721
1962-03-01,2018-10-13,2018-10-13,9.71980015990849
1962-04-01,2018-10-13,2018-10-13,9.79564111654367
1962-05-01,2018-10-13,2018-10-13,9.87263995037939
1962-06-01,2018-10-13,2018-10-13,9.9183760998006
1962-07-01,2018-10-13,2018-10-13,9.93053381040624
1962-08-01,2018-10-13,2018-10-13,9.95369135441698
1962-09-01,2018-10-13,2018-10-13,9.92706017880463
1962-10-01,2018-10-13,2018-10-13,9.89927112599174
1962-11-01,2018-10-13,2018-10-13,9.92995487180597
1962-12-01,2018-10-13,2018-10-13,9.96700694222316
1963-01-01,2018-10-13,2018-10-13,9.99305917923524
1963-02-01,2018-10-13,2018-10-13,10.031269126853
1963-03-01,2018-10-13,2018-10-13,10.0689001358704
1963-04-01,2018-10-13,2018-10-13,10.1082679606887
1963-05-01,2018-10-13,2018-10-13,10.1192677940938
1963-06-01,2018-10-13,2018-10-13,10.1568988031112
1963-07-01,2018-10-13,2018-10-13,10.1516883557088
1963-08-01,2018-10-13,2018-10-13,10.1667407593158
1963-09-01,2018-10-13,2018-10-13,10.1760037769201
1963-10-01,2018-10-13,2018-10-13,10.2066875227343
1963-11-01,2018-10-13,2018-10-13,10.2396870229496
1963-12-01,2018-10-13,2018-10-13,10.2767390933668
1964-01-01,2018-10-13,2018-10-13,10.3172647953856
1964-02-01,2018-10-13,2018-10-13,10.3305803831918
1964-03-01,2018-10-13,2018-10-13,10.3855795502173
1964-04-01,2018-10-13,2018-10-13,10.3792112256144
1964-05-01,2018-10-13,2018-10-13,10.4110528486291
1964-06-01,2018-10-13,2018-10-13,10.4330525154393
1964-07-01,2018-10-13,2018-10-13,10.4822622964622
1964-08-01,2018-10-13,2018-10-13,10.5494191740933
1964-09-01,2018-10-13,2018-10-13,10.5893659375118
1964-10-01,2018-10-13,2018-10-13,10.611365604322
1964-11-01,2018-10-13,2018-10-13,10.6513123677406
1964-12-01,2018-10-13,2018-10-13,10.6773646047527
1965-01-01,2018-10-13,2018-10-13,10.7074694119666
1965-02-01,2018-10-13,2018-10-13,10.7167324295709
1965-03-01,2018-10-13,2018-10-13,10.7908365704053
1965-04-01,2018-10-13,2018-10-13,10.8273097022222
1965-05-01,2018-10-13,2018-10-13,10.8388884742276
1965-06-01,2018-10-13,2018-10-13,10.891571886852
1965-07-01,2018-10-13,2018-10-13,11.186830572989
1965-08-01,2018-10-13,2018-10-13,11.171778169382
1965-09-01,2018-10-13,2018-10-13,11.1978304063941
1965-10-01,2018-10-13,2018-10-13,11.2267773364075
1965-11-01,2018-10-13,2018-10-13,11.2534085120198
1965-12-01,2018-10-13,2018-10-13,11.3153549422486
1966-01-01,2018-10-13,2018-10-13,11.4525633905122
1966-02-01,2018-10-13,2018-10-13,11.5654564175646
1966-03-01,2018-10-13,2018-10-13,11.6146661985874
1966-04-01,2018-10-13,2018-10-13,11.6349290495968
1966-05-01,2018-10-13,2018-10-13,11.6945597254245
1966-06-01,2018-10-13,2018-10-13,11.7264013484392
1966-07-01,2018-10-13,2018-10-13,11.6968754798256
1966-08-01,2018-10-13,2018-10-13,11.773295375061
1966-09-01,2018-10-13,2018-10-13,11.8005054892736
1966-10-01,2018-10-13,2018-10-13,11.8450837614943
1966-11-01,2018-10-13,2018-10-13,11.8856094635131
1966-12-01,2018-10-13,2018-10-13,11.8971882355185
1967-01-01,2018-10-13,2018-10-13,11.9921341659625
1967-02-01,2018-10-13,2018-10-13,12.0795538946031
1967-03-01,2018-10-13,2018-10-13,12.1606052986406
1967-04-01,2018-10-13,2018-10-13,12.1663946846433
1967-05-01,2018-10-13,2018-10-13,12.1924469216554
1967-06-01,2018-10-13,2018-10-13,12.2150255270659
1967-07-01,2018-10-13,2018-10-13,12.2700246940914
1967-08-01,2018-10-13,2018-10-13,12.2943401153027
1967-09-01,2018-10-13,2018-10-13,12.3337079401209
1967-10-01,2018-10-13,2018-10-13,12.3203923523148
1967-11-01,2018-10-13,2018-10-13,12.2914454223013
1967-12-01,2018-10-13,2018-10-13,12.3012873785059
1968-01-01,2018-10-13,2018-10-13,12.3591812385328
1968-02-01,2018-10-13,2018-10-13,12.4060752651545
