date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,23.7340215496388
1960-02-01,2018-10-13,2018-10-13,23.8521184134858
1960-03-01,2018-10-13,2018-10-13,23.8521184134858
1960-04-01,2018-10-13,2018-10-13,23.8917713750695
1960-05-01,2018-10-13,2018-10-13,23.9960759044526
1960-06-01,2018-10-13,2018-10-13,24.0227985524764
1960-07-01,2018-10-13,2018-10-13,24.0883121411799
1960-08-01,2018-10-13,2018-10-13,24.1408954163234
1960-09-01,2018-10-13,2018-10-13,24.2064090050269
1960-10-01,2018-10-13,2018-10-13,24.2451999457066
1960-11-01,2018-10-13,2018-10-13,24.2451999457066
1960-12-01,2018-10-13,2018-10-13,24.2193393185868
1961-01-01,2018-10-13,2018-10-13,24.1538257298833
1961-02-01,2018-10-13,2018-10-13,24.1667560434432
1961-03-01,2018-10-13,2018-10-13,24.1667560434432
1961-04-01,2018-10-13,2018-10-13,24.1667560434432
1961-05-01,2018-10-13,2018-10-13,24.3503664959937
1961-06-01,2018-10-13,2018-10-13,24.3900194575774
1961-07-01,2018-10-13,2018-10-13,24.442602732721
1961-08-01,2018-10-13,2018-10-13,24.559837575664
1961-09-01,2018-10-13,2018-10-13,24.5994905372477
1961-10-01,2018-10-13,2018-10-13,24.7046570875348
1961-11-01,2018-10-13,2018-10-13,25.0451553446121
1961-12-01,2018-10-13,2018-10-13,25.0718779926359
1962-01-01,2018-10-13,2018-10-13,25.0977386197557
1962-02-01,2018-10-13,2018-10-13,25.1641142293631
1962-03-01,2018-10-13,2018-10-13,25.2029051700428
1962-04-01,2018-10-13,2018-10-13,25.3210020338898
1962-05-01,2018-10-13,2018-10-13,25.5175428000002
1962-06-01,2018-10-13,2018-10-13,25.5830563887037
1962-07-01,2018-10-13,2018-10-13,25.6615002909671
1962-08-01,2018-10-13,2018-10-13,25.7666668412542
1962-09-01,2018-10-13,2018-10-13,25.7528745067903
1962-10-01,2018-10-13,2018-10-13,25.7149455870146
1962-11-01,2018-10-13,2018-10-13,25.8321804299577
1962-12-01,2018-10-13,2018-10-13,25.8847637051012
1963-01-01,2018-10-13,2018-10-13,25.9640696282686
1963-02-01,2018-10-13,2018-10-13,26.1209574327953
1963-03-01,2018-10-13,2018-10-13,26.1209574327953
1963-04-01,2018-10-13,2018-10-13,26.160610394379
1963-05-01,2018-10-13,2018-10-13,26.3174981989057
1963-06-01,2018-10-13,2018-10-13,26.3830117876092
1963-07-01,2018-10-13,2018-10-13,26.4355950627528
1963-08-01,2018-10-13,2018-10-13,26.5140389650161
1963-09-01,2018-10-13,2018-10-13,26.5924828672795
1963-10-01,2018-10-13,2018-10-13,26.6976494175666
1963-11-01,2018-10-13,2018-10-13,26.8553992429973
1963-12-01,2018-10-13,2018-10-13,26.8812598701171
1964-01-01,2018-10-13,2018-10-13,26.9071204972369
1964-02-01,2018-10-13,2018-10-13,26.9467734588206
1964-03-01,2018-10-13,2018-10-13,26.9597037723805
1964-04-01,2018-10-13,2018-10-13,27.1303839113711
1964-05-01,2018-10-13,2018-10-13,27.2743414023379
1964-06-01,2018-10-13,2018-10-13,27.2355504616582
1964-07-01,2018-10-13,2018-10-13,27.2484807752181
1964-08-01,2018-10-13,2018-10-13,27.3139943639216
1964-09-01,2018-10-13,2018-10-13,27.3665776390652
1964-10-01,2018-10-13,2018-10-13,27.4450215413285
1964-11-01,2018-10-13,2018-10-13,27.4717441893523
1964-12-01,2018-10-13,2018-10-13,27.510535130032
1965-01-01,2018-10-13,2018-10-13,27.5363957571518
1965-02-01,2018-10-13,2018-10-13,27.628631993879
1965-03-01,2018-10-13,2018-10-13,27.6424243283429
1965-04-01,2018-10-13,2018-10-13,27.7337985441662
1965-05-01,2018-10-13,2018-10-13,28.0355058605637
1965-06-01,2018-10-13,2018-10-13,28.1398103899469
1965-07-01,2018-10-13,2018-10-13,28.2182542922102
1965-08-01,2018-10-13,2018-10-13,28.376004117641
1965-09-01,2018-10-13,2018-10-13,28.4544480199043
1965-10-01,2018-10-13,2018-10-13,28.5466842566316
1965-11-01,2018-10-13,2018-10-13,28.7958082978855
1965-12-01,2018-10-13,2018-10-13,28.861321886589
1966-01-01,2018-10-13,2018-10-13,29.0182096911157
1966-02-01,2018-10-13,2018-10-13,29.0966535933791
1966-03-01,2018-10-13,2018-10-13,29.1371685758668
1966-04-01,2018-10-13,2018-10-13,29.1759595165464
1966-05-01,2018-10-13,2018-10-13,29.5423184007435
1966-06-01,2018-10-13,2018-10-13,29.5043894809678
1966-07-01,2018-10-13,2018-10-13,29.5043894809678
1966-08-01,2018-10-13,2018-10-13,29.595763696791
1966-09-01,2018-10-13,2018-10-13,29.6216243239108
1966-10-01,2018-10-13,2018-10-13,29.6871379126143
1966-11-01,2018-10-13,2018-10-13,30.0414285041554
1966-12-01,2018-10-13,2018-10-13,30.1853859951222
1967-01-01,2018-10-13,2018-10-13,30.2776222318495
1967-02-01,2018-10-13,2018-10-13,30.212108643146
1967-03-01,2018-10-13,2018-10-13,30.212108643146
1967-04-01,2018-10-13,2018-10-13,30.2379692702658
1967-05-01,2018-10-13,2018-10-13,30.5663992346871
1967-06-01,2018-10-13,2018-10-13,30.7750082934534
1967-07-01,2018-10-13,2018-10-13,30.8836229273565
1967-08-01,2018-10-13,2018-10-13,31.0025818121076
1967-09-01,2018-10-13,2018-10-13,30.8836229273565
1967-10-01,2018-10-13,2018-10-13,30.8534521957168
1967-11-01,2018-10-13,2018-10-13,31.1499873866904
1967-12-01,2018-10-13,2018-10-13,31.2387755398016
1968-01-01,2018-10-13,2018-10-13,31.2982549821772
1968-02-01,2018-10-13,2018-10-13,31.3577344245527
