date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,0.000054778789870447200000000000
1960-02-01,2018-10-13,2018-10-13,0.000055014905344026700000000000
1960-03-01,2018-10-13,2018-10-13,0.000054778789870447200000000000
1960-04-01,2018-10-13,2018-10-13,0.000054778789870447200000000000
1960-05-01,2018-10-13,2018-10-13,0.000054542674396867700000000000
1960-06-01,2018-10-13,2018-10-13,0.000054070443449708600000000000
1960-07-01,2018-10-13,2018-10-13,0.000053598212502549600000000000
1960-08-01,2018-10-13,2018-10-13,0.000053362097028970100000000000
1960-09-01,2018-10-13,2018-10-13,0.000053125981555390600000000000
1960-10-01,2018-10-13,2018-10-13,0.000053125981555390600000000000
1960-11-01,2018-10-13,2018-10-13,0.000052889866081811100000000000
1960-12-01,2018-10-13,2018-10-13,0.000053362097028970100000000000
1961-01-01,2018-10-13,2018-10-13,0.000053834327976129100000000000
1961-02-01,2018-10-13,2018-10-13,0.000054542674396867700000000000
1961-03-01,2018-10-13,2018-10-13,0.000055959367238344800000000000
1961-04-01,2018-10-13,2018-10-13,0.000055014905344026700000000000
1961-05-01,2018-10-13,2018-10-13,0.000055959367238344800000000000
1961-06-01,2018-10-13,2018-10-13,0.000055723251764765200000000000
1961-07-01,2018-10-13,2018-10-13,0.000056195482711924300000000000
1961-08-01,2018-10-13,2018-10-13,0.000055487136291185700000000000
1961-09-01,2018-10-13,2018-10-13,0.000055487136291185700000000000
1961-10-01,2018-10-13,2018-10-13,0.000056903829132662800000000000
1961-11-01,2018-10-13,2018-10-13,0.000056195482711924300000000000
1961-12-01,2018-10-13,2018-10-13,0.000056667713659083300000000000
1962-01-01,2018-10-13,2018-10-13,0.000056667713659083300000000000
1962-02-01,2018-10-13,2018-10-13,0.000058084406500560400000000000
1962-03-01,2018-10-13,2018-10-13,0.000058320521974139900000000000
1962-04-01,2018-10-13,2018-10-13,0.000057376060079821800000000000
1962-05-01,2018-10-13,2018-10-13,0.000057376060079821800000000000
1962-06-01,2018-10-13,2018-10-13,0.000057612175553401400000000000
1962-07-01,2018-10-13,2018-10-13,0.000057376060079821800000000000
1962-08-01,2018-10-13,2018-10-13,0.000057376060079821800000000000
1962-09-01,2018-10-13,2018-10-13,0.000057376060079821800000000000
1962-10-01,2018-10-13,2018-10-13,0.000058084406500560400000000000
1962-11-01,2018-10-13,2018-10-13,0.000058792752921298900000000000
1962-12-01,2018-10-13,2018-10-13,0.000059501099342037500000000000
1963-01-01,2018-10-13,2018-10-13,0.000060209445762776000000000000
1963-02-01,2018-10-13,2018-10-13,0.000061390023130673600000000000
1963-03-01,2018-10-13,2018-10-13,0.000061862254077832600000000000
1963-04-01,2018-10-13,2018-10-13,0.000061390023130673600000000000
1963-05-01,2018-10-13,2018-10-13,0.000061626138604253100000000000
1963-06-01,2018-10-13,2018-10-13,0.000061862254077832600000000000
1963-07-01,2018-10-13,2018-10-13,0.000061390023130673600000000000
1963-08-01,2018-10-13,2018-10-13,0.000060917792183514600000000000
1963-09-01,2018-10-13,2018-10-13,0.000061153907657094000000000000
1963-10-01,2018-10-13,2018-10-13,0.000062098369551412100000000000
1963-11-01,2018-10-13,2018-10-13,0.000062098369551412100000000000
1963-12-01,2018-10-13,2018-10-13,0.000062098369551412100000000000
1964-01-01,2018-10-13,2018-10-13,0.000062806715972150700000000000
1964-02-01,2018-10-13,2018-10-13,0.000062570600498571200000000000
1964-03-01,2018-10-13,2018-10-13,0.000061862254077832600000000000
1964-04-01,2018-10-13,2018-10-13,0.000061390023130673600000000000
1964-05-01,2018-10-13,2018-10-13,0.000062334485024991600000000000
1964-06-01,2018-10-13,2018-10-13,0.000062334485024991600000000000
1964-07-01,2018-10-13,2018-10-13,0.000061390023130673600000000000
1964-08-01,2018-10-13,2018-10-13,0.000061626138604253100000000000
1964-09-01,2018-10-13,2018-10-13,0.000061862254077832600000000000
1964-10-01,2018-10-13,2018-10-13,0.000062334485024991600000000000
1964-11-01,2018-10-13,2018-10-13,0.000062806715972150700000000000
1964-12-01,2018-10-13,2018-10-13,0.000063042831445730200000000000
1965-01-01,2018-10-13,2018-10-13,0.000063515062392889200000000000
1965-02-01,2018-10-13,2018-10-13,0.000064459524287207200000000000
1965-03-01,2018-10-13,2018-10-13,0.000063751177866468700000000000
1965-04-01,2018-10-13,2018-10-13,0.000063987293340048200000000000
1965-05-01,2018-10-13,2018-10-13,0.000064459524287207200000000000
1965-06-01,2018-10-13,2018-10-13,0.000064931755234366300000000000
1965-07-01,2018-10-13,2018-10-13,0.000064931755234366300000000000
1965-08-01,2018-10-13,2018-10-13,0.000066112332602263800000000000
1965-09-01,2018-10-13,2018-10-13,0.000065876217128684400000000000
1965-10-01,2018-10-13,2018-10-13,0.000065876217128684400000000000
1965-11-01,2018-10-13,2018-10-13,0.000065876217128684400000000000
1965-12-01,2018-10-13,2018-10-13,0.000066584563549422900000000000
1966-01-01,2018-10-13,2018-10-13,0.000068709602811638500000000000
1966-02-01,2018-10-13,2018-10-13,0.000069890180179536100000000000
1966-03-01,2018-10-13,2018-10-13,0.000071779103968172200000000000
1966-04-01,2018-10-13,2018-10-13,0.000072251334915331200000000000
1966-05-01,2018-10-13,2018-10-13,0.000071306873021013100000000000
1966-06-01,2018-10-13,2018-10-13,0.000068709602811638500000000000
1966-07-01,2018-10-13,2018-10-13,0.000068945718285218000000000000
1966-08-01,2018-10-13,2018-10-13,0.000069417949232377000000000000
1966-09-01,2018-10-13,2018-10-13,0.000069890180179536100000000000
1966-10-01,2018-10-13,2018-10-13,0.000070126295653115600000000000
1966-11-01,2018-10-13,2018-10-13,0.000071542988494592700000000000
