date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,0.000054857495028307000000000000
1960-04-01,2018-10-13,2018-10-13,0.000054463969239007800000000000
1960-07-01,2018-10-13,2018-10-13,0.000053362097028970100000000000
1960-10-01,2018-10-13,2018-10-13,0.000053125981555390600000000000
1961-01-01,2018-10-13,2018-10-13,0.000054778789870447200000000000
1961-04-01,2018-10-13,2018-10-13,0.000055565841449045600000000000
1961-07-01,2018-10-13,2018-10-13,0.000055723251764765200000000000
1961-10-01,2018-10-13,2018-10-13,0.000056589008501223500000000000
1962-01-01,2018-10-13,2018-10-13,0.000057690880711261200000000000
1962-04-01,2018-10-13,2018-10-13,0.000057454765237681700000000000
1962-07-01,2018-10-13,2018-10-13,0.000057376060079821800000000000
1962-10-01,2018-10-13,2018-10-13,0.000058792752921298900000000000
1963-01-01,2018-10-13,2018-10-13,0.000061153907657094100000000000
1963-04-01,2018-10-13,2018-10-13,0.000061626138604253100000000000
1963-07-01,2018-10-13,2018-10-13,0.000061153907657094100000000000
1963-10-01,2018-10-13,2018-10-13,0.000062098369551412100000000000
1964-01-01,2018-10-13,2018-10-13,0.000062413190182851500000000000
1964-04-01,2018-10-13,2018-10-13,0.000062019664393552300000000000
1964-07-01,2018-10-13,2018-10-13,0.000061626138604253100000000000
1964-10-01,2018-10-13,2018-10-13,0.000062728010814290800000000000
1965-01-01,2018-10-13,2018-10-13,0.000063908588182188400000000000
1965-04-01,2018-10-13,2018-10-13,0.000064459524287207200000000000
1965-07-01,2018-10-13,2018-10-13,0.000065640101655104800000000000
1965-10-01,2018-10-13,2018-10-13,0.000066112332602263800000000000
1966-01-01,2018-10-13,2018-10-13,0.000070126295653115600000000000
1966-04-01,2018-10-13,2018-10-13,0.000070755936915994300000000000
1966-07-01,2018-10-13,2018-10-13,0.000069417949232377000000000000
1966-10-01,2018-10-13,2018-10-13,0.000071857809126032000000000000
1967-01-01,2018-10-13,2018-10-13,0.000078154221754819000000000000
1967-04-01,2018-10-13,2018-10-13,0.000080357966174894500000000000
1967-07-01,2018-10-13,2018-10-13,0.000080594081648474000000000000
1967-10-01,2018-10-13,2018-10-13,0.000082483005437110100000000000
