date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,10.3441455523642
1960-02-01,2018-10-13,2018-10-13,10.3679983092105
1960-03-01,2018-10-13,2018-10-13,10.3679983092105
1960-04-01,2018-10-13,2018-10-13,10.3839001471081
1960-05-01,2018-10-13,2018-10-13,10.3600473902618
1960-06-01,2018-10-13,2018-10-13,10.352096471313
1960-07-01,2018-10-13,2018-10-13,10.3918510660569
1960-08-01,2018-10-13,2018-10-13,10.4872620934423
1960-09-01,2018-10-13,2018-10-13,10.5031639313398
1960-10-01,2018-10-13,2018-10-13,10.5190657692374
1960-11-01,2018-10-13,2018-10-13,10.5508694450325
1960-12-01,2018-10-13,2018-10-13,10.5747222018789
1961-01-01,2018-10-13,2018-10-13,10.5826731208276
1961-02-01,2018-10-13,2018-10-13,10.5906240397764
1961-03-01,2018-10-13,2018-10-13,10.5826731208276
1961-04-01,2018-10-13,2018-10-13,10.5747222018789
1961-05-01,2018-10-13,2018-10-13,10.5508694450325
1961-06-01,2018-10-13,2018-10-13,10.5270166881862
1961-07-01,2018-10-13,2018-10-13,10.606525877674
1961-08-01,2018-10-13,2018-10-13,10.6701332292642
1961-09-01,2018-10-13,2018-10-13,10.7257896619057
1961-10-01,2018-10-13,2018-10-13,10.8450534461374
1961-11-01,2018-10-13,2018-10-13,10.9563663114203
1961-12-01,2018-10-13,2018-10-13,10.9961209061643
1962-01-01,2018-10-13,2018-10-13,11.0676791767033
1962-02-01,2018-10-13,2018-10-13,11.0789497257631
1962-03-01,2018-10-13,2018-10-13,11.1465730201217
1962-04-01,2018-10-13,2018-10-13,11.1691141182413
1962-05-01,2018-10-13,2018-10-13,11.2029257654206
1962-06-01,2018-10-13,2018-10-13,11.2480079616598
1962-07-01,2018-10-13,2018-10-13,11.2930901578989
1962-08-01,2018-10-13,2018-10-13,11.2818196088391
1962-09-01,2018-10-13,2018-10-13,11.3269018050782
1962-10-01,2018-10-13,2018-10-13,11.3494429031978
1962-11-01,2018-10-13,2018-10-13,11.4170661975564
1962-12-01,2018-10-13,2018-10-13,11.4621483937956
1963-01-01,2018-10-13,2018-10-13,11.5523127862738
1963-02-01,2018-10-13,2018-10-13,11.6199360806325
1963-03-01,2018-10-13,2018-10-13,11.6537477278118
1963-04-01,2018-10-13,2018-10-13,11.6762888259314
1963-05-01,2018-10-13,2018-10-13,11.7213710221705
1963-06-01,2018-10-13,2018-10-13,11.8002648655889
1963-07-01,2018-10-13,2018-10-13,11.8453470618281
1963-08-01,2018-10-13,2018-10-13,11.8904292580672
1963-09-01,2018-10-13,2018-10-13,11.9693231014856
1963-10-01,2018-10-13,2018-10-13,11.9918641996052
1963-11-01,2018-10-13,2018-10-13,12.0256758467845
1963-12-01,2018-10-13,2018-10-13,12.0482169449041
1964-01-01,2018-10-13,2018-10-13,12.0932991411432
1964-02-01,2018-10-13,2018-10-13,12.104569690203
1964-03-01,2018-10-13,2018-10-13,12.1158402392628
1964-04-01,2018-10-13,2018-10-13,12.1271107883225
1964-05-01,2018-10-13,2018-10-13,12.1383813373823
1964-06-01,2018-10-13,2018-10-13,12.1609224355019
1964-07-01,2018-10-13,2018-10-13,12.1947340826812
1964-08-01,2018-10-13,2018-10-13,12.2172751808008
1964-09-01,2018-10-13,2018-10-13,12.2736279260997
1964-10-01,2018-10-13,2018-10-13,12.307439573279
1964-11-01,2018-10-13,2018-10-13,12.307439573279
1964-12-01,2018-10-13,2018-10-13,12.307439573279
1965-01-01,2018-10-13,2018-10-13,12.3750628676377
1965-02-01,2018-10-13,2018-10-13,12.3863334166975
1965-03-01,2018-10-13,2018-10-13,12.4201450638768
1965-04-01,2018-10-13,2018-10-13,12.4426861619964
1965-05-01,2018-10-13,2018-10-13,12.4764978091757
1965-06-01,2018-10-13,2018-10-13,12.6793676922517
1965-07-01,2018-10-13,2018-10-13,12.5666622016539
1965-08-01,2018-10-13,2018-10-13,12.5328505544746
1965-09-01,2018-10-13,2018-10-13,12.5666622016539
1965-10-01,2018-10-13,2018-10-13,12.5892032997735
1965-11-01,2018-10-13,2018-10-13,12.611744397893
1965-12-01,2018-10-13,2018-10-13,12.6568265941322
1966-01-01,2018-10-13,2018-10-13,12.7019087903713
1966-02-01,2018-10-13,2018-10-13,12.7244498884908
1966-03-01,2018-10-13,2018-10-13,12.7469909866104
1966-04-01,2018-10-13,2018-10-13,12.7920731828495
1966-05-01,2018-10-13,2018-10-13,12.8371553790886
1966-06-01,2018-10-13,2018-10-13,12.8258848300289
1966-07-01,2018-10-13,2018-10-13,12.870967026268
1966-08-01,2018-10-13,2018-10-13,12.8822375753278
1966-09-01,2018-10-13,2018-10-13,12.9160492225071
1966-10-01,2018-10-13,2018-10-13,12.9385903206266
1966-11-01,2018-10-13,2018-10-13,12.972401967806
1966-12-01,2018-10-13,2018-10-13,13.0062136149853
1967-01-01,2018-10-13,2018-10-13,13.0625663602842
1967-02-01,2018-10-13,2018-10-13,13.073836909344
1967-03-01,2018-10-13,2018-10-13,13.1076485565233
1967-04-01,2018-10-13,2018-10-13,13.1189191055831
1967-05-01,2018-10-13,2018-10-13,13.1414602037027
1967-06-01,2018-10-13,2018-10-13,13.1414602037027
1967-07-01,2018-10-13,2018-10-13,13.175271850882
1967-08-01,2018-10-13,2018-10-13,13.2203540471211
1967-09-01,2018-10-13,2018-10-13,13.2654362433602
1967-10-01,2018-10-13,2018-10-13,13.3330595377189
1967-11-01,2018-10-13,2018-10-13,13.4344944792569
1967-12-01,2018-10-13,2018-10-13,13.4457650283167
1968-01-01,2018-10-13,2018-10-13,13.5810116170341
1968-02-01,2018-10-13,2018-10-13,13.5922821660938
