date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,18.7495877680484
1960-02-01,2018-10-13,2018-10-13,18.768565083607
1960-03-01,2018-10-13,2018-10-13,18.7116331369312
1960-04-01,2018-10-13,2018-10-13,18.8254970302482
1960-05-01,2018-10-13,2018-10-13,18.9962928700683
1960-06-01,2018-10-13,2018-10-13,18.9203836080411
1960-07-01,2018-10-13,2018-10-13,18.9014062924825
1960-08-01,2018-10-13,2018-10-13,19.053224816675
1960-09-01,2018-10-13,2018-10-13,19.2050433411437
1960-10-01,2018-10-13,2018-10-13,19.2999299190057
1960-11-01,2018-10-13,2018-10-13,19.0342475013236
1960-12-01,2018-10-13,2018-10-13,19.1860660257922
1961-01-01,2018-10-13,2018-10-13,19.4517484434743
1961-02-01,2018-10-13,2018-10-13,19.5466350213363
1961-03-01,2018-10-13,2018-10-13,19.508680390081
1961-04-01,2018-10-13,2018-10-13,19.6984535455288
1961-05-01,2018-10-13,2018-10-13,19.603566967943
1961-06-01,2018-10-13,2018-10-13,19.603566967943
1961-07-01,2018-10-13,2018-10-13,19.9261813322318
1961-08-01,2018-10-13,2018-10-13,20.0779998567004
1961-09-01,2018-10-13,2018-10-13,20.19186375019
1961-10-01,2018-10-13,2018-10-13,20.6283420079684
1961-11-01,2018-10-13,2018-10-13,20.7232285855542
1961-12-01,2018-10-13,2018-10-13,20.9130017412781
1962-01-01,2018-10-13,2018-10-13,21.0458429501191
1962-02-01,2018-10-13,2018-10-13,20.9699336878848
1962-03-01,2018-10-13,2018-10-13,21.0078883188639
1962-04-01,2018-10-13,2018-10-13,21.2356161055669
1962-05-01,2018-10-13,2018-10-13,21.3494799990565
1962-06-01,2018-10-13,2018-10-13,21.2735707368221
1962-07-01,2018-10-13,2018-10-13,21.4823212078975
1962-08-01,2018-10-13,2018-10-13,21.4823212078975
1962-09-01,2018-10-13,2018-10-13,21.4064119456632
1962-10-01,2018-10-13,2018-10-13,21.5772077854833
1962-11-01,2018-10-13,2018-10-13,21.501298523249
1962-12-01,2018-10-13,2018-10-13,21.9377767810274
1963-01-01,2018-10-13,2018-10-13,22.2983457765714
1963-02-01,2018-10-13,2018-10-13,22.3992432687938
1963-03-01,2018-10-13,2018-10-13,22.5001407610163
1963-04-01,2018-10-13,2018-10-13,22.6010382531928
1963-05-01,2018-10-13,2018-10-13,22.7776088645362
1963-06-01,2018-10-13,2018-10-13,22.9541794759255
1963-07-01,2018-10-13,2018-10-13,22.8028332375918
1963-08-01,2018-10-13,2018-10-13,22.7271601184709
1963-09-01,2018-10-13,2018-10-13,23.1811988333801
1963-10-01,2018-10-13,2018-10-13,23.1055257142133
1963-11-01,2018-10-13,2018-10-13,23.0046282219908
1963-12-01,2018-10-13,2018-10-13,23.1055257142133
1964-01-01,2018-10-13,2018-10-13,23.1307500872689
1964-02-01,2018-10-13,2018-10-13,23.1055257142133
1964-03-01,2018-10-13,2018-10-13,23.2064232063898
1964-04-01,2018-10-13,2018-10-13,23.4838913099557
1964-05-01,2018-10-13,2018-10-13,23.5847888021781
1964-06-01,2018-10-13,2018-10-13,23.5343400560669
1964-07-01,2018-10-13,2018-10-13,23.4082181908347
1964-08-01,2018-10-13,2018-10-13,23.6604619212991
1964-09-01,2018-10-13,2018-10-13,23.9631543979205
1964-10-01,2018-10-13,2018-10-13,24.3919687397741
1964-11-01,2018-10-13,2018-10-13,24.1901737553751
1964-12-01,2018-10-13,2018-10-13,24.1901737553751
1965-01-01,2018-10-13,2018-10-13,24.7198855894512
1965-02-01,2018-10-13,2018-10-13,24.6694368433399
1965-03-01,2018-10-13,2018-10-13,24.8207830816277
1965-04-01,2018-10-13,2018-10-13,25.3504949154744
1965-05-01,2018-10-13,2018-10-13,25.199148677416
1965-06-01,2018-10-13,2018-10-13,25.1486999313048
1965-07-01,2018-10-13,2018-10-13,25.0225780660267
1965-08-01,2018-10-13,2018-10-13,25.1486999313048
1965-09-01,2018-10-13,2018-10-13,25.5018411539916
1965-10-01,2018-10-13,2018-10-13,25.8297580034392
1965-11-01,2018-10-13,2018-10-13,25.5775142730666
1965-12-01,2018-10-13,2018-10-13,25.7540848843641
1966-01-01,2018-10-13,2018-10-13,26.0063286147367
1966-02-01,2018-10-13,2018-10-13,26.2081235991816
1966-03-01,2018-10-13,2018-10-13,26.309021091404
1966-04-01,2018-10-13,2018-10-13,26.6117135680714
1966-05-01,2018-10-13,2018-10-13,26.4351429567738
1966-06-01,2018-10-13,2018-10-13,26.4855917027015
1966-07-01,2018-10-13,2018-10-13,26.5612648221437
1966-08-01,2018-10-13,2018-10-13,26.3594698376988
1966-09-01,2018-10-13,2018-10-13,26.6621623139991
1966-10-01,2018-10-13,2018-10-13,26.8387329256636
1966-11-01,2018-10-13,2018-10-13,26.6369379412187
1966-12-01,2018-10-13,2018-10-13,26.8891816715913
1967-01-01,2018-10-13,2018-10-13,27.1918741482586
1967-02-01,2018-10-13,2018-10-13,27.3179960136285
1967-03-01,2018-10-13,2018-10-13,27.3684447595561
1967-04-01,2018-10-13,2018-10-13,27.4441178786312
1967-05-01,2018-10-13,2018-10-13,27.2675472673337
1967-06-01,2018-10-13,2018-10-13,27.1162010291836
1967-07-01,2018-10-13,2018-10-13,27.0909766560362
1967-08-01,2018-10-13,2018-10-13,27.3179960136285
1967-09-01,2018-10-13,2018-10-13,27.7468103552985
1967-10-01,2018-10-13,2018-10-13,28.2260734432634
1967-11-01,2018-10-13,2018-10-13,28.200849070116
1967-12-01,2018-10-13,2018-10-13,28.4026440545609
1968-01-01,2018-10-13,2018-10-13,28.6296634121531
1968-02-01,2018-10-13,2018-10-13,28.755785277523
