date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,18.7432619961955
1960-04-01,2018-10-13,2018-10-13,18.9140578361192
1960-07-01,2018-10-13,2018-10-13,19.0532248167671
1960-10-01,2018-10-13,2018-10-13,19.1734144820405
1961-01-01,2018-10-13,2018-10-13,19.5023546182972
1961-04-01,2018-10-13,2018-10-13,19.6351958271383
1961-07-01,2018-10-13,2018-10-13,20.0653483130408
1961-10-01,2018-10-13,2018-10-13,20.7548574449336
1962-01-01,2018-10-13,2018-10-13,21.007888318956
1962-04-01,2018-10-13,2018-10-13,21.2862222804818
1962-07-01,2018-10-13,2018-10-13,21.4570181204861
1962-10-01,2018-10-13,2018-10-13,21.6720943632532
1963-01-01,2018-10-13,2018-10-13,22.3992432687938
1963-04-01,2018-10-13,2018-10-13,22.7776088645515
1963-07-01,2018-10-13,2018-10-13,22.9037307298143
1963-10-01,2018-10-13,2018-10-13,23.0718932168058
1964-01-01,2018-10-13,2018-10-13,23.1475663359573
1964-04-01,2018-10-13,2018-10-13,23.5343400560669
1964-07-01,2018-10-13,2018-10-13,23.6772781700181
1964-10-01,2018-10-13,2018-10-13,24.2574387501748
1965-01-01,2018-10-13,2018-10-13,24.7367018381396
1965-04-01,2018-10-13,2018-10-13,25.2327811747317
1965-07-01,2018-10-13,2018-10-13,25.224373050441
1965-10-01,2018-10-13,2018-10-13,25.7204523869567
1966-01-01,2018-10-13,2018-10-13,26.1744911017741
1966-04-01,2018-10-13,2018-10-13,26.5108160758489
1966-07-01,2018-10-13,2018-10-13,26.5276323246138
1966-10-01,2018-10-13,2018-10-13,26.7882841794912
1967-01-01,2018-10-13,2018-10-13,27.2927716404811
1967-04-01,2018-10-13,2018-10-13,27.2759553917162
1967-07-01,2018-10-13,2018-10-13,27.3852610083211
1967-10-01,2018-10-13,2018-10-13,28.2765221893134
1968-01-01,2018-10-13,2018-10-13,28.7305609043756
1968-04-01,2018-10-13,2018-10-13,28.7978258990682
1968-07-01,2018-10-13,2018-10-13,29.0164371321556
1968-10-01,2018-10-13,2018-10-13,29.5713733393179
1969-01-01,2018-10-13,2018-10-13,29.7143114533303
1969-04-01,2018-10-13,2018-10-13,30.2524314116052
