date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,6.53636338210757
1960-02-01,2018-10-13,2018-10-13,6.53636338210757
1960-03-01,2018-10-13,2018-10-13,6.5244682713121
1960-04-01,2018-10-13,2018-10-13,6.5601536036985
1960-05-01,2018-10-13,2018-10-13,6.5601536036985
1960-06-01,2018-10-13,2018-10-13,6.59583893608489
1960-07-01,2018-10-13,2018-10-13,6.60773404688035
1960-08-01,2018-10-13,2018-10-13,6.56610115909623
1960-09-01,2018-10-13,2018-10-13,6.57204871449396
1960-10-01,2018-10-13,2018-10-13,6.62557671307355
1960-11-01,2018-10-13,2018-10-13,6.65531449006221
1960-12-01,2018-10-13,2018-10-13,6.6731571562554
1961-01-01,2018-10-13,2018-10-13,6.67910471165314
1961-02-01,2018-10-13,2018-10-13,6.67910471165314
1961-03-01,2018-10-13,2018-10-13,6.70289493324406
1961-04-01,2018-10-13,2018-10-13,6.73858026563045
1961-05-01,2018-10-13,2018-10-13,6.75642293182365
1961-06-01,2018-10-13,2018-10-13,6.81589848580097
1961-07-01,2018-10-13,2018-10-13,6.81589848580097
1961-08-01,2018-10-13,2018-10-13,6.88132159517603
1961-09-01,2018-10-13,2018-10-13,6.86942648438056
1961-10-01,2018-10-13,2018-10-13,6.88132159517603
1961-11-01,2018-10-13,2018-10-13,6.95269225994881
1961-12-01,2018-10-13,2018-10-13,6.96458737074428
1962-01-01,2018-10-13,2018-10-13,6.9883775923352
1962-02-01,2018-10-13,2018-10-13,6.99536596992754
1962-03-01,2018-10-13,2018-10-13,7.02331948029688
1962-04-01,2018-10-13,2018-10-13,7.12115676658957
1962-05-01,2018-10-13,2018-10-13,7.14212189936658
1962-06-01,2018-10-13,2018-10-13,7.19104054251292
1962-07-01,2018-10-13,2018-10-13,7.16308703214358
1962-08-01,2018-10-13,2018-10-13,7.10019163381257
1962-09-01,2018-10-13,2018-10-13,7.09320325622023
1962-10-01,2018-10-13,2018-10-13,7.0862148786279
1962-11-01,2018-10-13,2018-10-13,7.11416838899724
1962-12-01,2018-10-13,2018-10-13,7.14911027695891
1963-01-01,2018-10-13,2018-10-13,7.17706378732825
1963-02-01,2018-10-13,2018-10-13,7.23995918565927
1963-03-01,2018-10-13,2018-10-13,7.2469475632516
1963-04-01,2018-10-13,2018-10-13,7.26791269602861
1963-05-01,2018-10-13,2018-10-13,7.26092431843628
1963-06-01,2018-10-13,2018-10-13,7.26092431843628
1963-07-01,2018-10-13,2018-10-13,7.21899405288227
1963-08-01,2018-10-13,2018-10-13,7.19802892010526
1963-09-01,2018-10-13,2018-10-13,7.21899405288227
1963-10-01,2018-10-13,2018-10-13,7.2469475632516
1963-11-01,2018-10-13,2018-10-13,7.26791269602861
1963-12-01,2018-10-13,2018-10-13,7.28188945121328
1964-01-01,2018-10-13,2018-10-13,7.31683133917496
1964-02-01,2018-10-13,2018-10-13,7.32381971676729
1964-03-01,2018-10-13,2018-10-13,7.35177322713664
1964-04-01,2018-10-13,2018-10-13,7.41466862546765
1964-05-01,2018-10-13,2018-10-13,7.47756402379867
1964-06-01,2018-10-13,2018-10-13,7.50551753416801
1964-07-01,2018-10-13,2018-10-13,7.50551753416801
1964-08-01,2018-10-13,2018-10-13,7.53347104453735
1964-09-01,2018-10-13,2018-10-13,7.53347104453735
1964-10-01,2018-10-13,2018-10-13,7.54045942212968
1964-11-01,2018-10-13,2018-10-13,7.6033548204607
1964-12-01,2018-10-13,2018-10-13,7.63130833083004
1965-01-01,2018-10-13,2018-10-13,7.65227346360705
1965-02-01,2018-10-13,2018-10-13,7.65227346360705
1965-03-01,2018-10-13,2018-10-13,7.68022697397639
1965-04-01,2018-10-13,2018-10-13,7.82698290341543
1965-05-01,2018-10-13,2018-10-13,7.85493641378477
1965-06-01,2018-10-13,2018-10-13,7.87590154656178
1965-07-01,2018-10-13,2018-10-13,7.87590154656178
1965-08-01,2018-10-13,2018-10-13,7.88987830174644
1965-09-01,2018-10-13,2018-10-13,7.89686667933878
1965-10-01,2018-10-13,2018-10-13,7.90385505693112
1965-11-01,2018-10-13,2018-10-13,7.93879694489279
1965-12-01,2018-10-13,2018-10-13,7.97373883285447
1966-01-01,2018-10-13,2018-10-13,7.98771558803914
1966-02-01,2018-10-13,2018-10-13,7.99470396563147
1966-03-01,2018-10-13,2018-10-13,8.00868072081614
1966-04-01,2018-10-13,2018-10-13,8.10651800710884
1966-05-01,2018-10-13,2018-10-13,8.16242502784752
1966-06-01,2018-10-13,2018-10-13,8.18339016062453
1966-07-01,2018-10-13,2018-10-13,8.14844827266284
1966-08-01,2018-10-13,2018-10-13,8.1973669158092
1966-09-01,2018-10-13,2018-10-13,8.18339016062453
1966-10-01,2018-10-13,2018-10-13,8.20435529340153
1966-11-01,2018-10-13,2018-10-13,8.25327393654788
1966-12-01,2018-10-13,2018-10-13,8.26725069173255
1967-01-01,2018-10-13,2018-10-13,8.28122744691722
1967-02-01,2018-10-13,2018-10-13,8.28821582450955
1967-03-01,2018-10-13,2018-10-13,8.28821582450955
1967-04-01,2018-10-13,2018-10-13,8.35111122284057
1967-05-01,2018-10-13,2018-10-13,8.34412284524823
1967-06-01,2018-10-13,2018-10-13,8.37906473320991
1967-07-01,2018-10-13,2018-10-13,8.33014609006356
1967-08-01,2018-10-13,2018-10-13,8.30918095728656
1967-09-01,2018-10-13,2018-10-13,8.30219257969422
1967-10-01,2018-10-13,2018-10-13,8.36508797802524
1967-11-01,2018-10-13,2018-10-13,8.41400662117159
1967-12-01,2018-10-13,2018-10-13,8.46991364191027
1968-01-01,2018-10-13,2018-10-13,8.4978671522796
