date,realtime_start,realtime_end,value
1996-01-01,2018-10-13,2018-10-13,79.437275227417
1996-02-01,2018-10-13,2018-10-13,79.7757562936323
1996-03-01,2018-10-13,2018-10-13,80.0613496932515
1996-04-01,2018-10-13,2018-10-13,80.0930822932092
1996-05-01,2018-10-13,2018-10-13,80.2623228263169
1996-06-01,2018-10-13,2018-10-13,80.3892532261476
1996-07-01,2018-10-13,2018-10-13,80.4315633594246
1996-08-01,2018-10-13,2018-10-13,80.5161836259784
1996-09-01,2018-10-13,2018-10-13,80.6536915591284
1996-10-01,2018-10-13,2018-10-13,80.7171567590438
1996-11-01,2018-10-13,2018-10-13,80.6642690924476
1996-12-01,2018-10-13,2018-10-13,80.8335096255553
1997-01-01,2018-10-13,2018-10-13,80.8017770255976
1997-02-01,2018-10-13,2018-10-13,81.1191030251745
1997-03-01,2018-10-13,2018-10-13,81.3835413581553
1997-04-01,2018-10-13,2018-10-13,81.3306536915591
1997-05-01,2018-10-13,2018-10-13,81.5210492913052
1997-06-01,2018-10-13,2018-10-13,81.5527818912629
1997-07-01,2018-10-13,2018-10-13,81.647979691136
1997-08-01,2018-10-13,2018-10-13,81.7749100909668
1997-09-01,2018-10-13,2018-10-13,81.8701078908398
1997-10-01,2018-10-13,2018-10-13,81.8701078908398
1997-11-01,2018-10-13,2018-10-13,81.9441506240745
1997-12-01,2018-10-13,2018-10-13,82.0710810239052
1998-01-01,2018-10-13,2018-10-13,81.9018404907976
1998-02-01,2018-10-13,2018-10-13,82.2720541569706
1998-03-01,2018-10-13,2018-10-13,82.4836048233552
1998-04-01,2018-10-13,2018-10-13,82.6105352231859
1998-05-01,2018-10-13,2018-10-13,82.7586206896552
1998-06-01,2018-10-13,2018-10-13,82.8643960228475
1998-07-01,2018-10-13,2018-10-13,82.9172836894436
1998-08-01,2018-10-13,2018-10-13,83.0865242225513
1998-09-01,2018-10-13,2018-10-13,83.1711444891051
1998-10-01,2018-10-13,2018-10-13,83.1817220224244
1998-11-01,2018-10-13,2018-10-13,83.1922995557436
1998-12-01,2018-10-13,2018-10-13,83.2769198222974
1999-01-01,2018-10-13,2018-10-13,83.0230590226359
1999-02-01,2018-10-13,2018-10-13,83.3298074888936
1999-03-01,2018-10-13,2018-10-13,83.5730907552359
1999-04-01,2018-10-13,2018-10-13,83.6048233551936
1999-05-01,2018-10-13,2018-10-13,83.7105986883858
1999-06-01,2018-10-13,2018-10-13,83.7740638883012
1999-07-01,2018-10-13,2018-10-13,83.8798392214936
1999-08-01,2018-10-13,2018-10-13,84.0067696213243
1999-09-01,2018-10-13,2018-10-13,83.9856145546858
1999-10-01,2018-10-13,2018-10-13,83.9856145546858
1999-11-01,2018-10-13,2018-10-13,84.0596572879204
1999-12-01,2018-10-13,2018-10-13,84.1865876877512
2000-01-01,2018-10-13,2018-10-13,83.9327268880897
2000-02-01,2018-10-13,2018-10-13,84.1442775544743
2000-03-01,2018-10-13,2018-10-13,84.3240956209012
2000-04-01,2018-10-13,2018-10-13,84.4721810873704
2000-05-01,2018-10-13,2018-10-13,84.4404484874127
2000-06-01,2018-10-13,2018-10-13,84.5779564205627
2000-07-01,2018-10-13,2018-10-13,84.6414216204781
2000-08-01,2018-10-13,2018-10-13,84.8000846202666
2000-09-01,2018-10-13,2018-10-13,84.8423947535434
2000-10-01,2018-10-13,2018-10-13,84.9375925534165
2000-11-01,2018-10-13,2018-10-13,84.9693251533742
2000-12-01,2018-10-13,2018-10-13,85.4982018193357
2001-01-01,2018-10-13,2018-10-13,85.0010577533319
2001-02-01,2018-10-13,2018-10-13,85.1279881531627
2001-03-01,2018-10-13,2018-10-13,85.5828220858896
2001-04-01,2018-10-13,2018-10-13,85.9953458853395
2001-05-01,2018-10-13,2018-10-13,86.1011212185318
2001-06-01,2018-10-13,2018-10-13,86.2492066850011
2001-07-01,2018-10-13,2018-10-13,86.2280516183626
2001-08-01,2018-10-13,2018-10-13,86.3126718849164
2001-09-01,2018-10-13,2018-10-13,86.5348000846203
