date,realtime_start,realtime_end,value
1961-01-01,2018-10-13,2018-10-13,14.5897552517947
1961-04-01,2018-10-13,2018-10-13,14.4727909691854
1961-07-01,2018-10-13,2018-10-13,14.5466631476755
1961-10-01,2018-10-13,2018-10-13,14.7436556236491
1962-01-01,2018-10-13,2018-10-13,14.6820954749073
1962-04-01,2018-10-13,2018-10-13,14.706719534404
1962-07-01,2018-10-13,2018-10-13,14.7990597575166
1962-10-01,2018-10-13,2018-10-13,14.8729319360067
1963-01-01,2018-10-13,2018-10-13,14.9221800550001
1963-04-01,2018-10-13,2018-10-13,14.9283360698743
1963-07-01,2018-10-13,2018-10-13,15.0699244119803
1963-10-01,2018-10-13,2018-10-13,15.1068605012254
1964-01-01,2018-10-13,2018-10-13,15.1561086202188
1964-04-01,2018-10-13,2018-10-13,15.2053567392122
1964-07-01,2018-10-13,2018-10-13,15.2853849325765
1964-10-01,2018-10-13,2018-10-13,15.3161650069473
1965-01-01,2018-10-13,2018-10-13,15.3838811705633
1965-04-01,2018-10-13,2018-10-13,15.5193134977951
1965-07-01,2018-10-13,2018-10-13,15.6424337952786
1965-10-01,2018-10-13,2018-10-13,15.7224619886429
1966-01-01,2018-10-13,2018-10-13,15.8886743902456
1966-04-01,2018-10-13,2018-10-13,15.9994826579808
1966-07-01,2018-10-13,2018-10-13,16.0856668662192
1966-10-01,2018-10-13,2018-10-13,16.1780070893318
1967-01-01,2018-10-13,2018-10-13,16.3319074611862
1967-04-01,2018-10-13,2018-10-13,16.6150841453983
1967-07-01,2018-10-13,2018-10-13,16.8428566957427
1967-10-01,2018-10-13,2018-10-13,16.8674807552394
1968-01-01,2018-10-13,2018-10-13,17.0398491717163
1968-04-01,2018-10-13,2018-10-13,17.1629694691998
1968-07-01,2018-10-13,2018-10-13,17.3045578113059
1968-10-01,2018-10-13,2018-10-13,17.4092100641668
1969-01-01,2018-10-13,2018-10-13,17.5323303616503
1969-04-01,2018-10-13,2018-10-13,17.7477908822465
1969-07-01,2018-10-13,2018-10-13,17.8893792243525
1969-10-01,2018-10-13,2018-10-13,17.8893792243525
1970-01-01,2018-10-13,2018-10-13,18.0863717003261
1970-04-01,2018-10-13,2018-10-13,18.1910239531871
1970-07-01,2018-10-13,2018-10-13,18.2094919978096
1970-10-01,2018-10-13,2018-10-13,18.0617476408294
1971-01-01,2018-10-13,2018-10-13,18.2042534659215
1971-04-01,2018-10-13,2018-10-13,18.465558539595
1971-07-01,2018-10-13,2018-10-13,18.639761922044
1971-10-01,2018-10-13,2018-10-13,18.6978297161937
1972-01-01,2018-10-13,2018-10-13,19.0462364810917
1972-04-01,2018-10-13,2018-10-13,19.162372069391
1972-07-01,2018-10-13,2018-10-13,19.510778834289
1972-10-01,2018-10-13,2018-10-13,19.5688466284387
1973-01-01,2018-10-13,2018-10-13,19.9753211874864
1973-04-01,2018-10-13,2018-10-13,20.3527618494592
1973-07-01,2018-10-13,2018-10-13,20.9915075851056
1973-10-01,2018-10-13,2018-10-13,21.456049938303
1974-01-01,2018-10-13,2018-10-13,21.97866008565
1974-04-01,2018-10-13,2018-10-13,22.7625753066705
1974-07-01,2018-10-13,2018-10-13,23.4303549393917
1974-10-01,2018-10-13,2018-10-13,23.9529650867388
1975-01-01,2018-10-13,2018-10-13,24.5917108223851
1975-04-01,2018-10-13,2018-10-13,25.0852870726573
1975-07-01,2018-10-13,2018-10-13,26.014371779052
1975-10-01,2018-10-13,2018-10-13,26.5079480293242
1976-01-01,2018-10-13,2018-10-13,26.6531175146984
1976-04-01,2018-10-13,2018-10-13,27.0595920737461
1976-07-01,2018-10-13,2018-10-13,27.4951005298686
1976-10-01,2018-10-13,2018-10-13,27.8725411918415
1977-01-01,2018-10-13,2018-10-13,28.656456412862
1977-04-01,2018-10-13,2018-10-13,29.179066560209
1977-07-01,2018-10-13,2018-10-13,29.8758800900051
1977-10-01,2018-10-13,2018-10-13,30.4565580315018
1978-01-01,2018-10-13,2018-10-13,31.0372359729985
1978-04-01,2018-10-13,2018-10-13,31.7050156057197
1978-07-01,2018-10-13,2018-10-13,32.5179647238151
1978-10-01,2018-10-13,2018-10-13,32.8083036945634
1979-01-01,2018-10-13,2018-10-13,33.6502867097336
1979-04-01,2018-10-13,2018-10-13,34.5503375190535
1979-07-01,2018-10-13,2018-10-13,35.334252740074
1979-10-01,2018-10-13,2018-10-13,36.2052696523191
1980-01-01,2018-10-13,2018-10-13,36.9601509762648
1980-04-01,2018-10-13,2018-10-13,37.8892356826595
1980-07-01,2018-10-13,2018-10-13,39.1086593598026
1980-10-01,2018-10-13,2018-10-13,40.2409813457211
1981-01-01,2018-10-13,2018-10-13,41.489438919939
1981-04-01,2018-10-13,2018-10-13,42.7959642883066
1981-07-01,2018-10-13,2018-10-13,43.9573201713
1981-10-01,2018-10-13,2018-10-13,45.176743848443
1982-01-01,2018-10-13,2018-10-13,46.4832692168106
1982-04-01,2018-10-13,2018-10-13,47.9639979676272
1982-07-01,2018-10-13,2018-10-13,49.0963199535458
1982-10-01,2018-10-13,2018-10-13,49.8802351745663
1983-01-01,2018-10-13,2018-10-13,49.938302968716
1983-04-01,2018-10-13,2018-10-13,50.7222181897365
1983-07-01,2018-10-13,2018-10-13,51.4190317195326
1983-10-01,2018-10-13,2018-10-13,51.9997096610293
1984-01-01,2018-10-13,2018-10-13,52.4642520142266
1984-04-01,2018-10-13,2018-10-13,53.1320316469478
1984-07-01,2018-10-13,2018-10-13,53.3643028235465
1984-10-01,2018-10-13,2018-10-13,53.7127095884445
1985-01-01,2018-10-13,2018-10-13,54.4385570153154
1985-04-01,2018-10-13,2018-10-13,55.2224722363359
1985-07-01,2018-10-13,2018-10-13,55.9773535602816
1985-10-01,2018-10-13,2018-10-13,56.4128620164042
1986-01-01,2018-10-13,2018-10-13,57.1677433403498
1986-04-01,2018-10-13,2018-10-13,57.8355229730711
1986-07-01,2018-10-13,2018-10-13,58.5033026057923
1986-10-01,2018-10-13,2018-10-13,59.3743195180373
1987-01-01,2018-10-13,2018-10-13,59.780794077085
1987-04-01,2018-10-13,2018-10-13,60.5356754010307
1987-07-01,2018-10-13,2018-10-13,61.1163533425274
1987-10-01,2018-10-13,2018-10-13,61.8422007693983
1988-01-01,2018-10-13,2018-10-13,62.2777092255208
1988-04-01,2018-10-13,2018-10-13,62.945488858242
1988-07-01,2018-10-13,2018-10-13,63.4971329026639
1988-10-01,2018-10-13,2018-10-13,64.0197430500109
1989-01-01,2018-10-13,2018-10-13,64.7455904768818
1989-04-01,2018-10-13,2018-10-13,65.7908107715758
1989-07-01,2018-10-13,2018-10-13,66.5166581984467
1989-10-01,2018-10-13,2018-10-13,66.8360310662699
1990-01-01,2018-10-13,2018-10-13,67.7360818755898
1990-04-01,2018-10-13,2018-10-13,68.2586920229368
1990-07-01,2018-10-13,2018-10-13,69.0135733468825
1990-10-01,2018-10-13,2018-10-13,70.2039631269507
1991-01-01,2018-10-13,2018-10-13,73.136386731509
1991-04-01,2018-10-13,2018-10-13,73.8332002613051
1991-07-01,2018-10-13,2018-10-13,74.1525731291282
1991-10-01,2018-10-13,2018-10-13,74.3558104086521
1992-01-01,2018-10-13,2018-10-13,74.8493866589243
1992-04-01,2018-10-13,2018-10-13,75.0235900413733
1992-07-01,2018-10-13,2018-10-13,75.430064600421
1992-10-01,2018-10-13,2018-10-13,75.8655730565435
1993-01-01,2018-10-13,2018-10-13,76.3591493068157
1993-04-01,2018-10-13,2018-10-13,76.301081512666
1993-07-01,2018-10-13,2018-10-13,76.2139798214416
1993-10-01,2018-10-13,2018-10-13,76.6204543804892
1994-01-01,2018-10-13,2018-10-13,75.6623357770197
1994-04-01,2018-10-13,2018-10-13,74.9655222472236
1994-07-01,2018-10-13,2018-10-13,75.1106917325978
1994-10-01,2018-10-13,2018-10-13,75.255861217972
1995-01-01,2018-10-13,2018-10-13,76.0107425419177
1995-04-01,2018-10-13,2018-10-13,76.7365899687886
1995-07-01,2018-10-13,2018-10-13,76.7946577629382
1995-10-01,2018-10-13,2018-10-13,76.8527255570879
1996-01-01,2018-10-13,2018-10-13,77.2011323219859
1996-04-01,2018-10-13,2018-10-13,77.9560136459316
1996-07-01,2018-10-13,2018-10-13,77.9560136459316
1996-10-01,2018-10-13,2018-10-13,78.3334543079045
1997-01-01,2018-10-13,2018-10-13,78.5657254845032
1997-04-01,2018-10-13,2018-10-13,79.0302678377005
1997-07-01,2018-10-13,2018-10-13,79.0883356318502
1997-10-01,2018-10-13,2018-10-13,79.0593017347754
1998-01-01,2018-10-13,2018-10-13,79.9303186470204
1998-04-01,2018-10-13,2018-10-13,80.2206576177687
1998-07-01,2018-10-13,2018-10-13,80.1916237206939
1998-10-01,2018-10-13,2018-10-13,80.3367932060681
