date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-02-01,2018-10-13,2018-10-13,.
1955-03-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-05-01,2018-10-13,2018-10-13,.
1955-06-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-08-01,2018-10-13,2018-10-13,.
1955-09-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1955-11-01,2018-10-13,2018-10-13,.
1955-12-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-02-01,2018-10-13,2018-10-13,.
1956-03-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-05-01,2018-10-13,2018-10-13,.
1956-06-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-08-01,2018-10-13,2018-10-13,.
1956-09-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1956-11-01,2018-10-13,2018-10-13,.
1956-12-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-02-01,2018-10-13,2018-10-13,.
1957-03-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-05-01,2018-10-13,2018-10-13,.
1957-06-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-08-01,2018-10-13,2018-10-13,.
1957-09-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1957-11-01,2018-10-13,2018-10-13,.
1957-12-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-02-01,2018-10-13,2018-10-13,.
1958-03-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-05-01,2018-10-13,2018-10-13,.
1958-06-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-08-01,2018-10-13,2018-10-13,.
1958-09-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1958-11-01,2018-10-13,2018-10-13,.
1958-12-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-02-01,2018-10-13,2018-10-13,.
1959-03-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-05-01,2018-10-13,2018-10-13,.
1959-06-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-08-01,2018-10-13,2018-10-13,.
1959-09-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1959-11-01,2018-10-13,2018-10-13,.
1959-12-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,13.4690480175918
1960-02-01,2018-10-13,2018-10-13,13.4873919713101
1960-03-01,2018-10-13,2018-10-13,13.4873919713101
1960-04-01,2018-10-13,2018-10-13,13.5470098208942
1960-05-01,2018-10-13,2018-10-13,13.5607677861829
1960-06-01,2018-10-13,2018-10-13,13.5791117399011
1960-07-01,2018-10-13,2018-10-13,13.5515958093238
1960-08-01,2018-10-13,2018-10-13,13.5791117399011
1960-09-01,2018-10-13,2018-10-13,13.5791117399011
1960-10-01,2018-10-13,2018-10-13,13.6433155779148
1960-11-01,2018-10-13,2018-10-13,13.6570735432034
1960-12-01,2018-10-13,2018-10-13,13.6708315084921
1961-01-01,2018-10-13,2018-10-13,13.6845894737808
1961-02-01,2018-10-13,2018-10-13,13.6845894737808
1961-03-01,2018-10-13,2018-10-13,13.6845894737808
1961-04-01,2018-10-13,2018-10-13,13.6708315084921
1961-05-01,2018-10-13,2018-10-13,13.6845894737808
1961-06-01,2018-10-13,2018-10-13,13.6845894737808
1961-07-01,2018-10-13,2018-10-13,13.7212773812172
1961-08-01,2018-10-13,2018-10-13,13.7304493580763
1961-09-01,2018-10-13,2018-10-13,13.7487933117945
1961-10-01,2018-10-13,2018-10-13,13.7487933117945
1961-11-01,2018-10-13,2018-10-13,13.7487933117945
1961-12-01,2018-10-13,2018-10-13,13.7625512770831
1962-01-01,2018-10-13,2018-10-13,13.7763092423718
1962-02-01,2018-10-13,2018-10-13,13.8084111613786
1962-03-01,2018-10-13,2018-10-13,13.8359270919559
1962-04-01,2018-10-13,2018-10-13,13.8542710456742
1962-05-01,2018-10-13,2018-10-13,13.8680290109628
1962-06-01,2018-10-13,2018-10-13,13.8542710456742
1962-07-01,2018-10-13,2018-10-13,13.8588570341037
1962-08-01,2018-10-13,2018-10-13,13.886372964681
1962-09-01,2018-10-13,2018-10-13,13.9505768026947
1962-10-01,2018-10-13,2018-10-13,13.9322328489765
1962-11-01,2018-10-13,2018-10-13,13.9322328489765
1962-12-01,2018-10-13,2018-10-13,13.9322328489765
1963-01-01,2018-10-13,2018-10-13,13.9597487795538
1963-02-01,2018-10-13,2018-10-13,13.978092733272
1963-03-01,2018-10-13,2018-10-13,13.9918506985607
1963-04-01,2018-10-13,2018-10-13,13.978092733272
1963-05-01,2018-10-13,2018-10-13,13.9918506985607
1963-06-01,2018-10-13,2018-10-13,14.0377105828562
1963-07-01,2018-10-13,2018-10-13,14.0743984902926
1963-08-01,2018-10-13,2018-10-13,14.1019144208699
1963-09-01,2018-10-13,2018-10-13,14.0881564555813
1963-10-01,2018-10-13,2018-10-13,14.1019144208699
1963-11-01,2018-10-13,2018-10-13,14.1156723861586
1963-12-01,2018-10-13,2018-10-13,14.1615322704541
1964-01-01,2018-10-13,2018-10-13,14.1890482010314
1964-02-01,2018-10-13,2018-10-13,14.1752902357427
1964-03-01,2018-10-13,2018-10-13,14.1890482010314
1964-04-01,2018-10-13,2018-10-13,14.1936341894609
1964-05-01,2018-10-13,2018-10-13,14.2073921547496
1964-06-01,2018-10-13,2018-10-13,14.2211501200382
1964-07-01,2018-10-13,2018-10-13,14.2257361084678
1964-08-01,2018-10-13,2018-10-13,14.2394940737564
1964-09-01,2018-10-13,2018-10-13,14.2532520390451
1964-10-01,2018-10-13,2018-10-13,14.2715959927633
1964-11-01,2018-10-13,2018-10-13,14.3128698886293
1964-12-01,2018-10-13,2018-10-13,14.3312138423475
1965-01-01,2018-10-13,2018-10-13,14.3449718076361
1965-02-01,2018-10-13,2018-10-13,14.3449718076361
1965-03-01,2018-10-13,2018-10-13,14.3587297729248
1965-04-01,2018-10-13,2018-10-13,14.3908316919316
1965-05-01,2018-10-13,2018-10-13,14.4366915762272
1965-06-01,2018-10-13,2018-10-13,14.4963094258113
1965-07-01,2018-10-13,2018-10-13,14.4825514605227
1965-08-01,2018-10-13,2018-10-13,14.468793495234
1965-09-01,2018-10-13,2018-10-13,14.5008954142409
1965-10-01,2018-10-13,2018-10-13,14.5146533795295
1965-11-01,2018-10-13,2018-10-13,14.560513263825
1965-12-01,2018-10-13,2018-10-13,14.6063731481205
1966-01-01,2018-10-13,2018-10-13,14.6201311134092
1966-02-01,2018-10-13,2018-10-13,14.7118508820002
1966-03-01,2018-10-13,2018-10-13,14.7577107662957
1966-04-01,2018-10-13,2018-10-13,14.8035706505912
1966-05-01,2018-10-13,2018-10-13,14.8356725695981
1966-06-01,2018-10-13,2018-10-13,14.8494305348868
1966-07-01,2018-10-13,2018-10-13,14.8815324538936
1966-08-01,2018-10-13,2018-10-13,14.9732522224846
1966-09-01,2018-10-13,2018-10-13,15.0191121067802
1966-10-01,2018-10-13,2018-10-13,15.0649719910757
1966-11-01,2018-10-13,2018-10-13,15.0787299563643
1966-12-01,2018-10-13,2018-10-13,15.0970739100825
1967-01-01,2018-10-13,2018-10-13,15.0879019332234
1967-02-01,2018-10-13,2018-10-13,15.1337618175189
1967-03-01,2018-10-13,2018-10-13,15.1337618175189
1967-04-01,2018-10-13,2018-10-13,15.1796217018144
1967-05-01,2018-10-13,2018-10-13,15.1796217018144
1967-06-01,2018-10-13,2018-10-13,15.2713414704055
1967-07-01,2018-10-13,2018-10-13,15.317201354701
1967-08-01,2018-10-13,2018-10-13,15.3630612389965
1967-09-01,2018-10-13,2018-10-13,15.408921123292
1967-10-01,2018-10-13,2018-10-13,15.4547810075875
1967-11-01,2018-10-13,2018-10-13,15.5465007761785
1967-12-01,2018-10-13,2018-10-13,15.5923606604741
1968-01-01,2018-10-13,2018-10-13,15.6382205447696
1968-02-01,2018-10-13,2018-10-13,15.6840804290651
