date,realtime_start,realtime_end,value
1998-01-01,2018-10-13,2018-10-13,12000000000.0
1998-04-01,2018-10-13,2018-10-13,13500000000.0
1998-07-01,2018-10-13,2018-10-13,14600000000.0
1998-10-01,2018-10-13,2018-10-13,6500000000.0
1999-01-01,2018-10-13,2018-10-13,5900000000.0
1999-04-01,2018-10-13,2018-10-13,5300000000.0
1999-07-01,2018-10-13,2018-10-13,13400000000.0
1999-10-01,2018-10-13,2018-10-13,11400000000.0
2000-01-01,2018-10-13,2018-10-13,7100000000.0
2000-04-01,2018-10-13,2018-10-13,9500000000.0
2000-07-01,2018-10-13,2018-10-13,9200000000.0
2000-10-01,2018-10-13,2018-10-13,8700000000.0
2001-01-01,2018-10-13,2018-10-13,7200000000.0
2001-04-01,2018-10-13,2018-10-13,6200000000.0
2001-07-01,2018-10-13,2018-10-13,8500000000.0
2001-10-01,2018-10-13,2018-10-13,12000000000.0
2002-01-01,2018-10-13,2018-10-13,9900000000.0
2002-04-01,2018-10-13,2018-10-13,10800000000.0
2002-07-01,2018-10-13,2018-10-13,9100000000.0
2002-10-01,2018-10-13,2018-10-13,14300000000.0
2003-01-01,2018-10-13,2018-10-13,3100000000.0
2003-04-01,2018-10-13,2018-10-13,10200000000.0
2003-07-01,2018-10-13,2018-10-13,9400000000.0
2003-10-01,2018-10-13,2018-10-13,21700000000.0
2004-01-01,2018-10-13,2018-10-13,-2600000000.0
2004-04-01,2018-10-13,2018-10-13,8400000000.0
2004-07-01,2018-10-13,2018-10-13,17900000000.0
2004-10-01,2018-10-13,2018-10-13,35200000000.0
2005-01-01,2018-10-13,2018-10-13,23500000000.0
2005-04-01,2018-10-13,2018-10-13,30800000000.0
2005-07-01,2018-10-13,2018-10-13,37300000000.0
2005-10-01,2018-10-13,2018-10-13,42700000000.0
2006-01-01,2018-10-13,2018-10-13,32200000000.0
2006-04-01,2018-10-13,2018-10-13,47800000000.0
2006-07-01,2018-10-13,2018-10-13,59700000000.0
2006-10-01,2018-10-13,2018-10-13,78100000000.0
2007-01-01,2018-10-13,2018-10-13,57400000000.0
2007-04-01,2018-10-13,2018-10-13,78900000000.0
2007-07-01,2018-10-13,2018-10-13,86200000000.0
2007-10-01,2018-10-13,2018-10-13,93500000000.0
2008-01-01,2018-10-13,2018-10-13,56400000000.0
2008-04-01,2018-10-13,2018-10-13,75100000000.0
2008-07-01,2018-10-13,2018-10-13,101300000000.0
2008-10-01,2018-10-13,2018-10-13,127700000000.0
2009-01-01,2018-10-13,2018-10-13,72200000000.0
2009-04-01,2018-10-13,2018-10-13,46700000000.0
2009-07-01,2018-10-13,2018-10-13,54200000000.0
2009-10-01,2018-10-13,2018-10-13,76400000000.0
2010-01-01,2018-10-13,2018-10-13,30300000000.0
2010-04-01,2018-10-13,2018-10-13,59500000000.0
2010-07-01,2018-10-13,2018-10-13,81400000000.0
2010-10-01,2018-10-13,2018-10-13,83000000000.0
2011-01-01,2018-10-13,2018-10-13,20800000000
2011-04-01,2018-10-13,2018-10-13,66900000000
2011-07-01,2018-10-13,2018-10-13,85300000000
2011-10-01,2018-10-13,2018-10-13,70600000000
2012-01-01,2018-10-13,2018-10-13,21900000000
2012-04-01,2018-10-13,2018-10-13,90900000000
2012-07-01,2018-10-13,2018-10-13,102900000000
2012-10-01,2018-10-13,2018-10-13,105800000000
2013-01-01,2018-10-13,2018-10-13,67500000000
2013-04-01,2018-10-13,2018-10-13,90000000000
