date,realtime_start,realtime_end,value
1998-01-01,2018-10-13,2018-10-13,13900000000.0
1998-04-01,2018-10-13,2018-10-13,14600000000.0
1998-07-01,2018-10-13,2018-10-13,11600000000.0
1998-10-01,2018-10-13,2018-10-13,6600000000.0
1999-01-01,2018-10-13,2018-10-13,7600000000.0
1999-04-01,2018-10-13,2018-10-13,6400000000.0
1999-07-01,2018-10-13,2018-10-13,10800000000.0
1999-10-01,2018-10-13,2018-10-13,11000000000.0
2000-01-01,2018-10-13,2018-10-13,8800000000.0
2000-04-01,2018-10-13,2018-10-13,10500000000.0
2000-07-01,2018-10-13,2018-10-13,7600000000.0
2000-10-01,2018-10-13,2018-10-13,7200000000.0
2001-01-01,2018-10-13,2018-10-13,9200000000.0
2001-04-01,2018-10-13,2018-10-13,7200000000.0
2001-07-01,2018-10-13,2018-10-13,8000000000.0
2001-10-01,2018-10-13,2018-10-13,8500000000.0
2002-01-01,2018-10-13,2018-10-13,13300000000.0
2002-04-01,2018-10-13,2018-10-13,11700000000.0
2002-07-01,2018-10-13,2018-10-13,9200000000.0
2002-10-01,2018-10-13,2018-10-13,8400000000.0
2003-01-01,2018-10-13,2018-10-13,8300000000.0
2003-04-01,2018-10-13,2018-10-13,11400000000.0
2003-07-01,2018-10-13,2018-10-13,9500000000.0
2003-10-01,2018-10-13,2018-10-13,13400000000.0
2004-01-01,2018-10-13,2018-10-13,4900000000.0
2004-04-01,2018-10-13,2018-10-13,10200000000.0
2004-07-01,2018-10-13,2018-10-13,17200000000.0
2004-10-01,2018-10-13,2018-10-13,25000000000.0
2005-01-01,2018-10-13,2018-10-13,33000000000.0
2005-04-01,2018-10-13,2018-10-13,33500000000.0
2005-07-01,2018-10-13,2018-10-13,35500000000.0
2005-10-01,2018-10-13,2018-10-13,30300000000.0
2006-01-01,2018-10-13,2018-10-13,44100000000.0
2006-04-01,2018-10-13,2018-10-13,51600000000.0
2006-07-01,2018-10-13,2018-10-13,56800000000.0
2006-10-01,2018-10-13,2018-10-13,62700000000.0
2007-01-01,2018-10-13,2018-10-13,72000000000.0
2007-04-01,2018-10-13,2018-10-13,84300000000.0
2007-07-01,2018-10-13,2018-10-13,82400000000.0
2007-10-01,2018-10-13,2018-10-13,74300000000.0
2008-01-01,2018-10-13,2018-10-13,74500000000.0
2008-04-01,2018-10-13,2018-10-13,82100000000.0
2008-07-01,2018-10-13,2018-10-13,95600000000.0
2008-10-01,2018-10-13,2018-10-13,105400000000.0
2009-01-01,2018-10-13,2018-10-13,95000000000.0
2009-04-01,2018-10-13,2018-10-13,53800000000.0
2009-07-01,2018-10-13,2018-10-13,44900000000.0
2009-10-01,2018-10-13,2018-10-13,53500000000.0
2010-01-01,2018-10-13,2018-10-13,58700000000.0
2010-04-01,2018-10-13,2018-10-13,64500000000.0
2010-07-01,2018-10-13,2018-10-13,67400000000.0
2010-10-01,2018-10-13,2018-10-13,62300000000.0
2011-01-01,2018-10-13,2018-10-13,54000000000.0
2011-04-01,2018-10-13,2018-10-13,69000000000.0
2011-07-01,2018-10-13,2018-10-13,67500000000.0
2011-10-01,2018-10-13,2018-10-13,53000000000.0
2012-01-01,2018-10-13,2018-10-13,57400000000.0
2012-04-01,2018-10-13,2018-10-13,91100000000.0
2012-07-01,2018-10-13,2018-10-13,83400000000.0
2012-10-01,2018-10-13,2018-10-13,90400000000.0
2013-01-01,2018-10-13,2018-10-13,104200000000.0
2013-04-01,2018-10-13,2018-10-13,89200000000.0
