date,realtime_start,realtime_end,value
1980-01-01,2018-10-13,2018-10-13,-250600000.0
1980-04-01,2018-10-13,2018-10-13,-557700000.0
1980-07-01,2018-10-13,2018-10-13,-848400000.0
1980-10-01,2018-10-13,2018-10-13,-1401700000.0
1981-01-01,2018-10-13,2018-10-13,-578900000.0
1981-04-01,2018-10-13,2018-10-13,-739200000.0
1981-07-01,2018-10-13,2018-10-13,-1367500000.0
1981-10-01,2018-10-13,2018-10-13,-1191400000.0
1982-01-01,2018-10-13,2018-10-13,-775000000.0
1982-04-01,2018-10-13,2018-10-13,1090500000.0
1982-07-01,2018-10-13,2018-10-13,2745800000.0
1982-10-01,2018-10-13,2018-10-13,3983300000.0
1983-01-01,2018-10-13,2018-10-13,3476800000.0
1983-04-01,2018-10-13,2018-10-13,3273600000.0
1983-07-01,2018-10-13,2018-10-13,3440800000.0
1983-10-01,2018-10-13,2018-10-13,3913600000.0
1984-01-01,2018-10-13,2018-10-13,3931800000.0
1984-04-01,2018-10-13,2018-10-13,3490300000.0
1984-07-01,2018-10-13,2018-10-13,3038900000.0
1984-10-01,2018-10-13,2018-10-13,2723200000.0
1985-01-01,2018-10-13,2018-10-13,2238600000.0
1985-04-01,2018-10-13,2018-10-13,1527300000.0
1985-07-01,2018-10-13,2018-10-13,2274400000.0
1985-10-01,2018-10-13,2018-10-13,2357900000.0
1986-01-01,2018-10-13,2018-10-13,980800000.0
1986-04-01,2018-10-13,2018-10-13,800000000.0
1986-07-01,2018-10-13,2018-10-13,1244900000.0
1986-10-01,2018-10-13,2018-10-13,1994000000.0
1987-01-01,2018-10-13,2018-10-13,2110100000.0
1987-04-01,2018-10-13,2018-10-13,2424300000.0
1987-07-01,2018-10-13,2018-10-13,2175100000.0
1987-10-01,2018-10-13,2018-10-13,2077500000.0
1988-01-01,2018-10-13,2018-10-13,1460200000.0
1988-04-01,2018-10-13,2018-10-13,1019500000.0
1988-07-01,2018-10-13,2018-10-13,175400000.0
1988-10-01,2018-10-13,2018-10-13,-45600000.0
1989-01-01,2018-10-13,2018-10-13,101300000.0
1989-04-01,2018-10-13,2018-10-13,83000000.0
1989-07-01,2018-10-13,2018-10-13,330800000.0
1989-10-01,2018-10-13,2018-10-13,-110000000.0
1990-01-01,2018-10-13,2018-10-13,314600000.0
1990-04-01,2018-10-13,2018-10-13,-1083900000.0
1990-07-01,2018-10-13,2018-10-13,-72400000.0
1990-10-01,2018-10-13,2018-10-13,-40700000.0
1991-01-01,2018-10-13,2018-10-13,-1287500000.0
1991-04-01,2018-10-13,2018-10-13,-1620300000.0
1991-07-01,2018-10-13,2018-10-13,-1907900000.0
1991-10-01,2018-10-13,2018-10-13,-2463400000.0
1992-01-01,2018-10-13,2018-10-13,-3615800000.0
