date,realtime_start,realtime_end,value
1960-01-01,2018-10-13,2018-10-13,828000000.0
1960-04-01,2018-10-13,2018-10-13,1191000000.0
1960-07-01,2018-10-13,2018-10-13,1176000000.0
1960-10-01,2018-10-13,2018-10-13,1697000000.0
1961-01-01,2018-10-13,2018-10-13,1653000000.0
1961-04-01,2018-10-13,2018-10-13,1502000000.0
1961-07-01,2018-10-13,2018-10-13,1028000000.0
1961-10-01,2018-10-13,2018-10-13,1388000000.0
1962-01-01,2018-10-13,2018-10-13,1105000000.0
1962-04-01,2018-10-13,2018-10-13,1417000000.0
1962-07-01,2018-10-13,2018-10-13,980000000
1962-10-01,2018-10-13,2018-10-13,1019000000.0
1963-01-01,2018-10-13,2018-10-13,1071000000.0
1963-04-01,2018-10-13,2018-10-13,1528000000.0
1963-07-01,2018-10-13,2018-10-13,945000000.0
1963-10-01,2018-10-13,2018-10-13,1680000000
1964-01-01,2018-10-13,2018-10-13,1840000000
1964-04-01,2018-10-13,2018-10-13,1759000000.0
1964-07-01,2018-10-13,2018-10-13,1308000000.0
1964-10-01,2018-10-13,2018-10-13,1894000000.0
1965-01-01,2018-10-13,2018-10-13,1037000000.0
1965-04-01,2018-10-13,2018-10-13,1599000000.0
1965-07-01,2018-10-13,2018-10-13,888000000.0
1965-10-01,2018-10-13,2018-10-13,1427000000.0
1966-01-01,2018-10-13,2018-10-13,1178000000.0
1966-04-01,2018-10-13,2018-10-13,1131000000.0
1966-07-01,2018-10-13,2018-10-13,465000000.0
1966-10-01,2018-10-13,2018-10-13,1043000000.0
1967-01-01,2018-10-13,2018-10-13,1024000000.0
1967-04-01,2018-10-13,2018-10-13,1380000000
1967-07-01,2018-10-13,2018-10-13,774000000.0
1967-10-01,2018-10-13,2018-10-13,622000000.0
1968-01-01,2018-10-13,2018-10-13,256000000.0
1968-04-01,2018-10-13,2018-10-13,442000000.0
1968-07-01,2018-10-13,2018-10-13,-161000000.0
1968-10-01,2018-10-13,2018-10-13,98000000.0
1969-01-01,2018-10-13,2018-10-13,113000000.0
1969-04-01,2018-10-13,2018-10-13,123000000.0
1969-07-01,2018-10-13,2018-10-13,-229000000.0
1969-10-01,2018-10-13,2018-10-13,600000000
1970-01-01,2018-10-13,2018-10-13,773000000.0
1970-04-01,2018-10-13,2018-10-13,1115000000.0
1970-07-01,2018-10-13,2018-10-13,305000000.0
1970-10-01,2018-10-13,2018-10-13,410000000
1971-01-01,2018-10-13,2018-10-13,560000000
1971-04-01,2018-10-13,2018-10-13,-634000000.0
1971-07-01,2018-10-13,2018-10-13,-990000000
1971-10-01,2018-10-13,2018-10-13,-1196000000.0
1972-01-01,2018-10-13,2018-10-13,-1442000000.0
1972-04-01,2018-10-13,2018-10-13,-1569000000.0
1972-07-01,2018-10-13,2018-10-13,-2090000000.0
1972-10-01,2018-10-13,2018-10-13,-1315000000.0
1973-01-01,2018-10-13,2018-10-13,-568000000.0
1973-04-01,2018-10-13,2018-10-13,12000000.0
1973-07-01,2018-10-13,2018-10-13,-58000000.0
1973-10-01,2018-10-13,2018-10-13,1525000000.0
1974-01-01,2018-10-13,2018-10-13,654000000.0
1974-04-01,2018-10-13,2018-10-13,-1281000000.0
1974-07-01,2018-10-13,2018-10-13,-3812000000.0
1974-10-01,2018-10-13,2018-10-13,-1066000000.0
1975-01-01,2018-10-13,2018-10-13,2296000000.0
1975-04-01,2018-10-13,2018-10-13,3727000000.0
1975-07-01,2018-10-13,2018-10-13,426000000.0
1975-10-01,2018-10-13,2018-10-13,2454000000.0
1976-01-01,2018-10-13,2018-10-13,-872000000.0
1976-04-01,2018-10-13,2018-10-13,-997000000.0
1976-07-01,2018-10-13,2018-10-13,-4550000000
1976-10-01,2018-10-13,2018-10-13,-3064000000.0
1977-01-01,2018-10-13,2018-10-13,-7123000000.0
1977-04-01,2018-10-13,2018-10-13,-6191000000.0
1977-07-01,2018-10-13,2018-10-13,-8815000000.0
1977-10-01,2018-10-13,2018-10-13,-8962000000.0
1978-01-01,2018-10-13,2018-10-13,-11196000000.0
1978-04-01,2018-10-13,2018-10-13,-7342000000.0
1978-07-01,2018-10-13,2018-10-13,-9650000000
1978-10-01,2018-10-13,2018-10-13,-5739000000.0
1979-01-01,2018-10-13,2018-10-13,-5055000000.0
1979-04-01,2018-10-13,2018-10-13,-6230000000
1979-07-01,2018-10-13,2018-10-13,-9142000000.0
1979-10-01,2018-10-13,2018-10-13,-7141000000.0
1980-01-01,2018-10-13,2018-10-13,-10488000000.0
1980-04-01,2018-10-13,2018-10-13,-5469000000.0
1980-07-01,2018-10-13,2018-10-13,-5648000000.0
1980-10-01,2018-10-13,2018-10-13,-3895000000.0
1981-01-01,2018-10-13,2018-10-13,-5546000000.0
