date,realtime_start,realtime_end,value
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,61.071
1960-04-01,2018-10-13,2018-10-13,62.764
1960-07-01,2018-10-13,2018-10-13,62.906
1960-10-01,2018-10-13,2018-10-13,62.779
1961-01-01,2018-10-13,2018-10-13,62.968
1961-04-01,2018-10-13,2018-10-13,62.276
1961-07-01,2018-10-13,2018-10-13,61.832
1961-10-01,2018-10-13,2018-10-13,62.536
1962-01-01,2018-10-13,2018-10-13,64.29
1962-04-01,2018-10-13,2018-10-13,65.521
1962-07-01,2018-10-13,2018-10-13,66.055
1962-10-01,2018-10-13,2018-10-13,67.24
1963-01-01,2018-10-13,2018-10-13,68.79
1963-04-01,2018-10-13,2018-10-13,67.89
1963-07-01,2018-10-13,2018-10-13,70.675
1963-10-01,2018-10-13,2018-10-13,72.195
1964-01-01,2018-10-13,2018-10-13,72.083
1964-04-01,2018-10-13,2018-10-13,73.863
1964-07-01,2018-10-13,2018-10-13,74.319
1964-10-01,2018-10-13,2018-10-13,76.43
1965-01-01,2018-10-13,2018-10-13,77.07
1965-04-01,2018-10-13,2018-10-13,78.279
1965-07-01,2018-10-13,2018-10-13,78.051
1965-10-01,2018-10-13,2018-10-13,78.241
1966-01-01,2018-10-13,2018-10-13,78.014
1966-04-01,2018-10-13,2018-10-13,79.083
1966-07-01,2018-10-13,2018-10-13,81.32
1966-10-01,2018-10-13,2018-10-13,81.851
1967-01-01,2018-10-13,2018-10-13,85.046
1967-04-01,2018-10-13,2018-10-13,84.926
1967-07-01,2018-10-13,2018-10-13,86.523
1967-10-01,2018-10-13,2018-10-13,87.273
1968-01-01,2018-10-13,2018-10-13,86.496
1968-04-01,2018-10-13,2018-10-13,89.826
1968-07-01,2018-10-13,2018-10-13,91.014
1968-10-01,2018-10-13,2018-10-13,94.406
1969-01-01,2018-10-13,2018-10-13,93.752
1969-04-01,2018-10-13,2018-10-13,95.61
1969-07-01,2018-10-13,2018-10-13,97.193
1969-10-01,2018-10-13,2018-10-13,99.432
1970-01-01,2018-10-13,2018-10-13,101.498
1970-04-01,2018-10-13,2018-10-13,103.54
1970-07-01,2018-10-13,2018-10-13,103.325
1970-10-01,2018-10-13,2018-10-13,103.818
1971-01-01,2018-10-13,2018-10-13,105.073
1971-04-01,2018-10-13,2018-10-13,105.528
1971-07-01,2018-10-13,2018-10-13,108.844
1971-10-01,2018-10-13,2018-10-13,108.492
1972-01-01,2018-10-13,2018-10-13,107.175
1972-04-01,2018-10-13,2018-10-13,109.576
1972-07-01,2018-10-13,2018-10-13,109.02
1972-10-01,2018-10-13,2018-10-13,110.169
1973-01-01,2018-10-13,2018-10-13,113.013
1973-04-01,2018-10-13,2018-10-13,113.23
1973-07-01,2018-10-13,2018-10-13,114.369
1973-10-01,2018-10-13,2018-10-13,117.221
1974-01-01,2018-10-13,2018-10-13,117.243
1974-04-01,2018-10-13,2018-10-13,114.879
1974-07-01,2018-10-13,2018-10-13,116.259
1974-10-01,2018-10-13,2018-10-13,116.368
1975-01-01,2018-10-13,2018-10-13,116.828
1975-04-01,2018-10-13,2018-10-13,120.517
1975-07-01,2018-10-13,2018-10-13,119.198
1975-10-01,2018-10-13,2018-10-13,117.391
1976-01-01,2018-10-13,2018-10-13,122.582
1976-04-01,2018-10-13,2018-10-13,122.961
1976-07-01,2018-10-13,2018-10-13,123.959
1976-10-01,2018-10-13,2018-10-13,125.039
1977-01-01,2018-10-13,2018-10-13,124.357
1977-04-01,2018-10-13,2018-10-13,126.122
1977-07-01,2018-10-13,2018-10-13,125.585
1977-10-01,2018-10-13,2018-10-13,125.191
1978-01-01,2018-10-13,2018-10-13,126.074
1978-04-01,2018-10-13,2018-10-13,127.108
1978-07-01,2018-10-13,2018-10-13,129.037
1978-10-01,2018-10-13,2018-10-13,130.107
1979-01-01,2018-10-13,2018-10-13,133.665
1979-04-01,2018-10-13,2018-10-13,131.525
1979-07-01,2018-10-13,2018-10-13,132.749
1979-10-01,2018-10-13,2018-10-13,135.309
1980-01-01,2018-10-13,2018-10-13,135.916
1980-04-01,2018-10-13,2018-10-13,136.27
1980-07-01,2018-10-13,2018-10-13,136.988
1980-10-01,2018-10-13,2018-10-13,139.347
1981-01-01,2018-10-13,2018-10-13,139.884
1981-04-01,2018-10-13,2018-10-13,142.055
1981-07-01,2018-10-13,2018-10-13,144.911
1981-10-01,2018-10-13,2018-10-13,144.331
1982-01-01,2018-10-13,2018-10-13,143.16
1982-04-01,2018-10-13,2018-10-13,144.457
1982-07-01,2018-10-13,2018-10-13,143.493
1982-10-01,2018-10-13,2018-10-13,141.221
1983-01-01,2018-10-13,2018-10-13,139.8
1983-04-01,2018-10-13,2018-10-13,139.534
1983-07-01,2018-10-13,2018-10-13,143.436
1983-10-01,2018-10-13,2018-10-13,145.822
1984-01-01,2018-10-13,2018-10-13,149.476
1984-04-01,2018-10-13,2018-10-13,151.155
1984-07-01,2018-10-13,2018-10-13,152.442
1984-10-01,2018-10-13,2018-10-13,153.497
1985-01-01,2018-10-13,2018-10-13,155.74
1985-04-01,2018-10-13,2018-10-13,159.175
1985-07-01,2018-10-13,2018-10-13,161.334
1985-10-01,2018-10-13,2018-10-13,160.897
1986-01-01,2018-10-13,2018-10-13,161.997
1986-04-01,2018-10-13,2018-10-13,161.69
1986-07-01,2018-10-13,2018-10-13,162.136
1986-10-01,2018-10-13,2018-10-13,164.804
1987-01-01,2018-10-13,2018-10-13,166.456
1987-04-01,2018-10-13,2018-10-13,169.019
1987-07-01,2018-10-13,2018-10-13,172.074
1987-10-01,2018-10-13,2018-10-13,175.519
1988-01-01,2018-10-13,2018-10-13,176.377
1988-04-01,2018-10-13,2018-10-13,176.466
1988-07-01,2018-10-13,2018-10-13,177.903
1988-10-01,2018-10-13,2018-10-13,180.646
1989-01-01,2018-10-13,2018-10-13,182.608
1989-04-01,2018-10-13,2018-10-13,186.371
1989-07-01,2018-10-13,2018-10-13,187.916
1989-10-01,2018-10-13,2018-10-13,187.425
