date,realtime_start,realtime_end,value
1997-01-01,2018-10-13,2018-10-13,3.65854002421695
1997-04-01,2018-10-13,2018-10-13,4.73439524426493
1997-07-01,2018-10-13,2018-10-13,1.92007381012151
1997-10-01,2018-10-13,2018-10-13,3.76183567480569
1998-01-01,2018-10-13,2018-10-13,0.901627303442311
1998-04-01,2018-10-13,2018-10-13,1.49213264143916
1998-07-01,2018-10-13,2018-10-13,0.478692352597786
1998-10-01,2018-10-13,2018-10-13,-1.46520534088931
1999-01-01,2018-10-13,2018-10-13,0.642408909393053
1999-04-01,2018-10-13,2018-10-13,-0.402150111610991
1999-07-01,2018-10-13,2018-10-13,-0.513446602508401
1999-10-01,2018-10-13,2018-10-13,2.162464276146
2000-01-01,2018-10-13,2018-10-13,3.73485932999588
2000-04-01,2018-10-13,2018-10-13,3.96644389425305
2000-07-01,2018-10-13,2018-10-13,5.41733309796021
2000-10-01,2018-10-13,2018-10-13,5.22306798092102
2001-01-01,2018-10-13,2018-10-13,3.10581461589593
2001-04-01,2018-10-13,2018-10-13,2.33667916437998
2001-07-01,2018-10-13,2018-10-13,0.528226553085224
2001-10-01,2018-10-13,2018-10-13,-1.13674162701889
2002-01-01,2018-10-13,2018-10-13,1.03629538425781
2002-04-01,2018-10-13,2018-10-13,2.28172136997507
2002-07-01,2018-10-13,2018-10-13,3.67800589314337
2002-10-01,2018-10-13,2018-10-13,5.24680038030689
2003-01-01,2018-10-13,2018-10-13,2.60100246401887
2003-04-01,2018-10-13,2018-10-13,0.76760092004306
2003-07-01,2018-10-13,2018-10-13,0.581902483279025
2003-10-01,2018-10-13,2018-10-13,0.631542466994861
2004-01-01,2018-10-13,2018-10-13,3.44717280995879
2004-04-01,2018-10-13,2018-10-13,6.2509026525951
2004-07-01,2018-10-13,2018-10-13,6.64032658229926
2004-10-01,2018-10-13,2018-10-13,6.33531905313172
2005-01-01,2018-10-13,2018-10-13,4.49544849852766
2005-04-01,2018-10-13,2018-10-13,4.4279022510452
2005-07-01,2018-10-13,2018-10-13,2.09130284655588
2005-10-01,2018-10-13,2018-10-13,2.70090840703777
2006-01-01,2018-10-13,2018-10-13,3.73792171195204
2006-04-01,2018-10-13,2018-10-13,2.24119025267626
2006-07-01,2018-10-13,2018-10-13,5.04012748594264
2006-10-01,2018-10-13,2018-10-13,4.82538093503467
2007-01-01,2018-10-13,2018-10-13,5.12747921740584
2007-04-01,2018-10-13,2018-10-13,6.52483290982103
2007-07-01,2018-10-13,2018-10-13,5.93571926839427
2007-10-01,2018-10-13,2018-10-13,6.16481421681476
2008-01-01,2018-10-13,2018-10-13,6.21621233888803
2008-04-01,2018-10-13,2018-10-13,6.31691915940201
2008-07-01,2018-10-13,2018-10-13,6.65265236076122
2008-10-01,2018-10-13,2018-10-13,0.998536458433498
2009-01-01,2018-10-13,2018-10-13,-2.0246659933988
2009-04-01,2018-10-13,2018-10-13,-2.21371962655027
2009-07-01,2018-10-13,2018-10-13,-1.17783148874627
2009-10-01,2018-10-13,2018-10-13,5.33207221189638
2010-01-01,2018-10-13,2018-10-13,8.97586529466792
2010-04-01,2018-10-13,2018-10-13,8.48612836214541
2010-07-01,2018-10-13,2018-10-13,7.08768258938172
2010-10-01,2018-10-13,2018-10-13,5.74949687982484
2011-01-01,2018-10-13,2018-10-13,4.97863747537282
2011-04-01,2018-10-13,2018-10-13,4.73018848469776
2011-07-01,2018-10-13,2018-10-13,3.64319541789345
2011-10-01,2018-10-13,2018-10-13,3.03307598650585
2012-01-01,2018-10-13,2018-10-13,1.25022895443912
2012-04-01,2018-10-13,2018-10-13,1.02929543647456
2012-07-01,2018-10-13,2018-10-13,2.99035860329152
2012-10-01,2018-10-13,2018-10-13,2.159566136459
2013-01-01,2018-10-13,2018-10-13,2.73556262009827
2013-04-01,2018-10-13,2018-10-13,4.09253377034144
2013-07-01,2018-10-13,2018-10-13,2.47672531574082
2013-10-01,2018-10-13,2018-10-13,2.61031018997723
2014-01-01,2018-10-13,2018-10-13,3.20328974348195
2014-04-01,2018-10-13,2018-10-13,-0.392453617424612
2014-07-01,2018-10-13,2018-10-13,-0.602603235652842
2014-10-01,2018-10-13,2018-10-13,-0.124486903357611
2015-01-01,2018-10-13,2018-10-13,-1.73300676159995
2015-04-01,2018-10-13,2018-10-13,-2.66049925948185
2015-07-01,2018-10-13,2018-10-13,-4.29586462650753
2015-10-01,2018-10-13,2018-10-13,-5.53483218598381
2016-01-01,2018-10-13,2018-10-13,-5.5156097575304
2016-04-01,2018-10-13,2018-10-13,-3.39284085521641
2016-07-01,2018-10-13,2018-10-13,-2.70598275291294
2016-10-01,2018-10-13,2018-10-13,-2.06140954509445
2017-01-01,2018-10-13,2018-10-13,-0.151260062991066
2017-04-01,2018-10-13,2018-10-13,0.380872739119277
2017-07-01,2018-10-13,2018-10-13,1.8234713763278
2017-10-01,2018-10-13,2018-10-13,2.1482489263125
2018-01-01,2018-10-13,2018-10-13,1.22633954131187
2018-04-01,2018-10-13,2018-10-13,0.978870158103462
