date,realtime_start,realtime_end,value
1991-01-01,2018-10-13,2018-10-13,8.61699894289415
1991-04-01,2018-10-13,2018-10-13,8.71316900822353
1991-07-01,2018-10-13,2018-10-13,9.07336516269506
1991-10-01,2018-10-13,2018-10-13,9.2899150219944
1992-01-01,2018-10-13,2018-10-13,6.67543035416108
1992-04-01,2018-10-13,2018-10-13,5.35924503606908
1992-07-01,2018-10-13,2018-10-13,7.57269576657567
1992-10-01,2018-10-13,2018-10-13,6.4800976271022
1993-01-01,2018-10-13,2018-10-13,7.35496095942233
1993-04-01,2018-10-13,2018-10-13,7.2018406553281
1993-07-01,2018-10-13,2018-10-13,7.08875008578959
1993-10-01,2018-10-13,2018-10-13,10.1125724698884
1994-01-01,2018-10-13,2018-10-13,9.02342601611565
1994-04-01,2018-10-13,2018-10-13,10.7437332967092
1994-07-01,2018-10-13,2018-10-13,7.10417318728981
1994-10-01,2018-10-13,2018-10-13,3.58912288863905
1995-01-01,2018-10-13,2018-10-13,8.16387005567728
1995-04-01,2018-10-13,2018-10-13,7.42222566241846
1995-07-01,2018-10-13,2018-10-13,7.88030287244402
1995-10-01,2018-10-13,2018-10-13,9.41361507027009
1996-01-01,2018-10-13,2018-10-13,5.58927427038742
1996-04-01,2018-10-13,2018-10-13,6.80918219632866
1996-07-01,2018-10-13,2018-10-13,8.38716837360675
1996-10-01,2018-10-13,2018-10-13,10.3941923760352
1997-01-01,2018-10-13,2018-10-13,7.20407348064731
1997-04-01,2018-10-13,2018-10-13,5.22316084212928
1997-07-01,2018-10-13,2018-10-13,5.22210733286243
1997-10-01,2018-10-13,2018-10-13,1.3899636666981
1998-01-01,2018-10-13,2018-10-13,-4.87944453529447
1998-04-01,2018-10-13,2018-10-13,-13.4689200551257
1998-07-01,2018-10-13,2018-10-13,-16.004716367185
1998-10-01,2018-10-13,2018-10-13,-17.9287646897027
1999-01-01,2018-10-13,2018-10-13,-6.4078739615515
1999-04-01,2018-10-13,2018-10-13,1.49700677541803
1999-07-01,2018-10-13,2018-10-13,2.92131259454081
1999-10-01,2018-10-13,2018-10-13,5.99180694097708
2000-01-01,2018-10-13,2018-10-13,3.48344609856037
2000-04-01,2018-10-13,2018-10-13,2.94509725465552
2000-07-01,2018-10-13,2018-10-13,5.16571771575287
2000-10-01,2018-10-13,2018-10-13,8.07400892104022
2001-01-01,2018-10-13,2018-10-13,4.02958390708465
2001-04-01,2018-10-13,2018-10-13,5.70139945902846
2001-07-01,2018-10-13,2018-10-13,3.20873593817363
2001-10-01,2018-10-13,2018-10-13,1.74469879542626
2002-01-01,2018-10-13,2018-10-13,3.72420142208176
2002-04-01,2018-10-13,2018-10-13,3.99375540186317
2002-07-01,2018-10-13,2018-10-13,5.30670853791859
2002-10-01,2018-10-13,2018-10-13,4.95861944752848
2003-01-01,2018-10-13,2018-10-13,5.04781192508191
2003-04-01,2018-10-13,2018-10-13,4.89061726629924
2003-07-01,2018-10-13,2018-10-13,4.64627280918854
2003-10-01,2018-10-13,2018-10-13,4.54743021472158
2004-01-01,2018-10-13,2018-10-13,4.41313989145891
2004-04-01,2018-10-13,2018-10-13,4.47719595520383
2004-07-01,2018-10-13,2018-10-13,4.65218037106565
2004-10-01,2018-10-13,2018-10-13,6.54703801963798
2005-01-01,2018-10-13,2018-10-13,6.16374281056233
2005-04-01,2018-10-13,2018-10-13,6.11055594539112
2005-07-01,2018-10-13,2018-10-13,5.99007129755724
2005-10-01,2018-10-13,2018-10-13,4.55414196410056
2006-01-01,2018-10-13,2018-10-13,5.08328668656961
2006-04-01,2018-10-13,2018-10-13,5.21998881568849
2006-07-01,2018-10-13,2018-10-13,5.75075463341214
2006-10-01,2018-10-13,2018-10-13,5.93136833711719
2007-01-01,2018-10-13,2018-10-13,6.25039309383254
2007-04-01,2018-10-13,2018-10-13,6.65945413433388
2007-07-01,2018-10-13,2018-10-13,6.62236765775865
2007-10-01,2018-10-13,2018-10-13,5.85795260241698
2008-01-01,2018-10-13,2018-10-13,6.44606160043165
2008-04-01,2018-10-13,2018-10-13,6.26404024020929
2008-07-01,2018-10-13,2018-10-13,6.06263164863434
2008-10-01,2018-10-13,2018-10-13,5.30578131910277
2009-01-01,2018-10-13,2018-10-13,4.43777328944048
2009-04-01,2018-10-13,2018-10-13,4.22165667799421
2009-07-01,2018-10-13,2018-10-13,4.3805198462339
2009-10-01,2018-10-13,2018-10-13,5.75160066665636
2010-01-01,2018-10-13,2018-10-13,6.0615647976965
2010-04-01,2018-10-13,2018-10-13,6.45210003150249
2010-07-01,2018-10-13,2018-10-13,6.41876136613893
2010-10-01,2018-10-13,2018-10-13,6.56769509581146
2011-01-01,2018-10-13,2018-10-13,6.35797530616056
2011-04-01,2018-10-13,2018-10-13,6.15527375271352
2011-07-01,2018-10-13,2018-10-13,6.15685849156904
2011-10-01,2018-10-13,2018-10-13,6.0170761605688
2012-01-01,2018-10-13,2018-10-13,6.08465369543144
2012-04-01,2018-10-13,2018-10-13,6.12994848043663
2012-07-01,2018-10-13,2018-10-13,6.00409599385325
2012-10-01,2018-10-13,2018-10-13,5.90639292960841
2013-01-01,2018-10-13,2018-10-13,5.80945162342296
2013-04-01,2018-10-13,2018-10-13,5.55296492817296
2013-07-01,2018-10-13,2018-10-13,5.49412646329129
2013-10-01,2018-10-13,2018-10-13,5.3820062007153
2014-01-01,2018-10-13,2018-10-13,5.12555784243994
2014-04-01,2018-10-13,2018-10-13,5.13116856310911
2014-07-01,2018-10-13,2018-10-13,4.95096951870228
2014-10-01,2018-10-13,2018-10-13,4.82592779460775
2015-01-01,2018-10-13,2018-10-13,4.87928974012596
2015-04-01,2018-10-13,2018-10-13,4.76701125570474
2015-07-01,2018-10-13,2018-10-13,4.85360186761268
2015-10-01,2018-10-13,2018-10-13,5.00275446729391
2016-01-01,2018-10-13,2018-10-13,4.99180660120803
2016-04-01,2018-10-13,2018-10-13,5.08361871654822
2016-07-01,2018-10-13,2018-10-13,5.07456088842525
2016-10-01,2018-10-13,2018-10-13,4.98341677993668
2017-01-01,2018-10-13,2018-10-13,5.02356158212003
2017-04-01,2018-10-13,2018-10-13,5.035546687039
2017-07-01,2018-10-13,2018-10-13,5.06953238525353
2017-10-01,2018-10-13,2018-10-13,5.13974847678431
2018-01-01,2018-10-13,2018-10-13,5.14093689819259
2018-04-01,2018-10-13,2018-10-13,5.16278512681239
