date,realtime_start,realtime_end,value
1980-01-01,2018-10-13,2018-10-13,0.000000000357203995820630000000
1981-01-01,2018-10-13,2018-10-13,0.000000000720570021177796000000
1982-01-01,2018-10-13,2018-10-13,0.000000001445055325820990000000
1983-01-01,2018-10-13,2018-10-13,0.000000003396277631137110000000
1984-01-01,2018-10-13,2018-10-13,0.000000009921274253124830000000
1985-01-01,2018-10-13,2018-10-13,0.000000032342357865952400000000
1986-01-01,2018-10-13,2018-10-13,0.000000079931770840998000000000
1987-01-01,2018-10-13,2018-10-13,0.000000262444985223705000000000
1988-01-01,2018-10-13,2018-10-13,0.000001913521012574230000000000
1989-01-01,2018-10-13,2018-10-13,0.000029290745851734000000000000
1990-01-01,2018-10-13,2018-10-13,0.000892703787788586
1991-01-01,2018-10-13,2018-10-13,0.00475620641594903
1992-01-01,2018-10-13,2018-10-13,0.0500334868123738
1993-01-01,2018-10-13,2018-10-13,1.01436932324969
1994-01-01,2018-10-13,2018-10-13,22.0715442934335
1995-01-01,2018-10-13,2018-10-13,36.640315941141
1996-01-01,2018-10-13,2018-10-13,42.4139744020249
1997-01-01,2018-10-13,2018-10-13,45.3518684755867
1998-01-01,2018-10-13,2018-10-13,46.8008952735922
1999-01-01,2018-10-13,2018-10-13,49.0746921995342
2000-01-01,2018-10-13,2018-10-13,52.5315827425714
2001-01-01,2018-10-13,2018-10-13,56.1249316036127
2002-01-01,2018-10-13,2018-10-13,60.8675805806435
2003-01-01,2018-10-13,2018-10-13,69.8241962003047
2004-01-01,2018-10-13,2018-10-13,74.430627668128
2005-01-01,2018-10-13,2018-10-13,79.5436673306746
2006-01-01,2018-10-13,2018-10-13,82.8714308457339
2007-01-01,2018-10-13,2018-10-13,85.8890058743968
2008-01-01,2018-10-13,2018-10-13,90.7662937251917
2009-01-01,2018-10-13,2018-10-13,95.202981748031
2010-01-01,2018-10-13,2018-10-13,100.000000000000000000000000000000
2011-01-01,2018-10-13,2018-10-13,106.636369352532
2012-01-01,2018-10-13,2018-10-13,112.398522504251
2013-01-01,2018-10-13,2018-10-13,119.372104441451
2014-01-01,2018-10-13,2018-10-13,126.927346648276
2015-01-01,2018-10-13,2018-10-13,138.388641316635
2016-01-01,2018-10-13,2018-10-13,150.482603036064
2017-01-01,2018-10-13,2018-10-13,155.668786230018
