date,realtime_start,realtime_end,value
1970-01-01,2018-10-13,2018-10-13,0.000965939240036182
1970-02-01,2018-10-13,2018-10-13,0.00101529379974606
1970-03-01,2018-10-13,2018-10-13,0.00105054705668169
1970-04-01,2018-10-13,2018-10-13,0.00107572795449285
1970-05-01,2018-10-13,2018-10-13,0.00109889438047912
1970-06-01,2018-10-13,2018-10-13,0.00112004633464049
1970-07-01,2018-10-13,2018-10-13,0.00114220552471432
1970-08-01,2018-10-13,2018-10-13,0.00117141536617527
1970-09-01,2018-10-13,2018-10-13,0.00120263967946111
1970-10-01,2018-10-13,2018-10-13,0.00121271203858557
1970-11-01,2018-10-13,2018-10-13,0.00122076992588514
1970-12-01,2018-10-13,2018-10-13,0.00122076992588514
1971-01-01,2018-10-13,2018-10-13,0.00123789293639673
1971-02-01,2018-10-13,2018-10-13,0.00124695805960875
1971-03-01,2018-10-13,2018-10-13,0.00126206659829545
1971-04-01,2018-10-13,2018-10-13,0.00129329091158129
1971-05-01,2018-10-13,2018-10-13,0.00132955140442936
1971-06-01,2018-10-13,2018-10-13,0.00135573953815297
1971-07-01,2018-10-13,2018-10-13,0.00135976848180276
1971-08-01,2018-10-13,2018-10-13,0.00137487702048946
1971-09-01,2018-10-13,2018-10-13,0.00138897832326371
1971-10-01,2018-10-13,2018-10-13,0.00141315198516242
1971-11-01,2018-10-13,2018-10-13,0.00145041971392294
1971-12-01,2018-10-13,2018-10-13,0.0014907091504208
1972-01-01,2018-10-13,2018-10-13,0.00154509988969291
1972-02-01,2018-10-13,2018-10-13,0.00164481624502511
1972-03-01,2018-10-13,2018-10-13,0.00169014186108521
1972-04-01,2018-10-13,2018-10-13,0.00178582927276762
1972-05-01,2018-10-13,2018-10-13,0.00186137196620111
1972-06-01,2018-10-13,2018-10-13,0.00190065416678652
1972-07-01,2018-10-13,2018-10-13,0.00198526198343203
1972-08-01,2018-10-13,2018-10-13,0.00243650367220805
1972-09-01,2018-10-13,2018-10-13,0.00297738935719182
1972-10-01,2018-10-13,2018-10-13,0.00343165275370518
1972-11-01,2018-10-13,2018-10-13,0.00362403481298246
1972-12-01,2018-10-13,2018-10-13,0.00392620558671641
1973-01-01,2018-10-13,2018-10-13,0.00433010718760745
1973-02-01,2018-10-13,2018-10-13,0.00450939518002293
1973-03-01,2018-10-13,2018-10-13,0.0047883995277706
1973-04-01,2018-10-13,2018-10-13,0.00527690894530715
1973-05-01,2018-10-13,2018-10-13,0.00630126786826523
1973-06-01,2018-10-13,2018-10-13,0.00728735182655034
1973-07-01,2018-10-13,2018-10-13,0.00840135474571616
1973-08-01,2018-10-13,2018-10-13,0.00983465144912751
1973-09-01,2018-10-13,2018-10-13,0.0114955834687518
1973-10-01,2018-10-13,2018-10-13,0.021561899177742
1973-11-01,2018-10-13,2018-10-13,0.0227907269909267
1973-12-01,2018-10-13,2018-10-13,0.0238724983608942
1974-01-01,2018-10-13,2018-10-13,0.0272427097239402
1974-02-01,2018-10-13,2018-10-13,0.0339106114643359
1974-03-01,2018-10-13,2018-10-13,0.0387282208335674
1974-04-01,2018-10-13,2018-10-13,0.0446578186501399
1974-05-01,2018-10-13,2018-10-13,0.0485316479694091
1974-06-01,2018-10-13,2018-10-13,0.0586312024635101
1974-07-01,2018-10-13,2018-10-13,0.0653796830769015
1974-08-01,2018-10-13,2018-10-13,0.0725028554497231
1974-09-01,2018-10-13,2018-10-13,0.081783527147005
1974-10-01,2018-10-13,2018-10-13,0.0972345260439341
1974-11-01,2018-10-13,2018-10-13,0.106674341015383
1974-12-01,2018-10-13,2018-10-13,0.113605131328927
1975-01-01,2018-10-13,2018-10-13,0.129429814749374
1975-02-01,2018-10-13,2018-10-13,0.150832570652949
1975-03-01,2018-10-13,2018-10-13,0.182755905662028
1975-04-01,2018-10-13,2018-10-13,0.220722656145786
1975-05-01,2018-10-13,2018-10-13,0.255962819014551
1975-06-01,2018-10-13,2018-10-13,0.306562322312213
1975-07-01,2018-10-13,2018-10-13,0.335077170993573
1975-08-01,2018-10-13,2018-10-13,0.36492056384345
1975-09-01,2018-10-13,2018-10-13,0.398593467632449
1975-10-01,2018-10-13,2018-10-13,0.432118307742318
1975-11-01,2018-10-13,2018-10-13,0.467471281033277
1975-12-01,2018-10-13,2018-10-13,0.500655675404739
1976-01-01,2018-10-13,2018-10-13,0.553084319119403
1976-02-01,2018-10-13,2018-10-13,0.608670647419588
1976-03-01,2018-10-13,2018-10-13,0.691113914089245
1976-04-01,2018-10-13,2018-10-13,0.773351704632764
