date,realtime_start,realtime_end,value
1993-01-01,2018-10-13,2018-10-13,47.5167239529564
1993-02-01,2018-10-13,2018-10-13,47.7858780186636
1993-03-01,2018-10-13,2018-10-13,48.6703354183114
1993-04-01,2018-10-13,2018-10-13,50.0766122143276
1993-05-01,2018-10-13,2018-10-13,50.8263087791745
1993-06-01,2018-10-13,2018-10-13,50.7559863160665
1993-07-01,2018-10-13,2018-10-13,50.4043157021113
1993-08-01,2018-10-13,2018-10-13,51.4845351308678
1993-09-01,2018-10-13,2018-10-13,52.836015465274
1993-10-01,2018-10-13,2018-10-13,53.2199607295399
1993-11-01,2018-10-13,2018-10-13,53.6812696099269
1993-12-01,2018-10-13,2018-10-13,55.3039015404546
1994-01-01,2018-10-13,2018-10-13,57.542753385559
1994-02-01,2018-10-13,2018-10-13,58.8722017772919
1994-03-01,2018-10-13,2018-10-13,59.5724904354163
1994-04-01,2018-10-13,2018-10-13,60.9432367765834
1994-05-01,2018-10-13,2018-10-13,61.6523123013704
1994-06-01,2018-10-13,2018-10-13,62.2268391328111
1994-07-01,2018-10-13,2018-10-13,62.5013509847979
1994-08-01,2018-10-13,2018-10-13,64.7675447865428
1994-09-01,2018-10-13,2018-10-13,67.2602481731139
1994-10-01,2018-10-13,2018-10-13,67.9618890305864
1994-11-01,2018-10-13,2018-10-13,68.4436185502318
1994-12-01,2018-10-13,2018-10-13,69.4063958219469
1995-01-01,2018-10-13,2018-10-13,71.4105568713184
1995-02-01,2018-10-13,2018-10-13,72.0595745025404
1995-03-01,2018-10-13,2018-10-13,72.2614311451185
1995-04-01,2018-10-13,2018-10-13,73.5584866703103
1995-05-01,2018-10-13,2018-10-13,74.1677318272909
1995-06-01,2018-10-13,2018-10-13,73.5521232363717
1995-07-01,2018-10-13,2018-10-13,72.9390773466124
1995-08-01,2018-10-13,2018-10-13,74.158838889901
1995-09-01,2018-10-13,2018-10-13,76.1386004331896
1995-10-01,2018-10-13,2018-10-13,76.1852780308091
1995-11-01,2018-10-13,2018-10-13,76.1093046699459
1995-12-01,2018-10-13,2018-10-13,76.4164417724338
1996-01-01,2018-10-13,2018-10-13,77.837506933058
1996-02-01,2018-10-13,2018-10-13,78.7611149571871
1996-03-01,2018-10-13,2018-10-13,79.3430513552357
1996-04-01,2018-10-13,2018-10-13,80.6936604522176
1996-05-01,2018-10-13,2018-10-13,80.7686597437299
1996-06-01,2018-10-13,2018-10-13,79.8776065261837
1996-07-01,2018-10-13,2018-10-13,78.9930203842027
1996-08-01,2018-10-13,2018-10-13,80.1657051476691
1996-09-01,2018-10-13,2018-10-13,81.7728572296107
1996-10-01,2018-10-13,2018-10-13,81.5182478087488
1996-11-01,2018-10-13,2018-10-13,81.3608461367179
1996-12-01,2018-10-13,2018-10-13,81.7655925993401
1997-01-01,2018-10-13,2018-10-13,82.4299200421044
1997-02-01,2018-10-13,2018-10-13,83.1717374142224
1997-03-01,2018-10-13,2018-10-13,82.5167733446691
1997-04-01,2018-10-13,2018-10-13,83.2758575737333
1997-05-01,2018-10-13,2018-10-13,83.030182384972
1997-06-01,2018-10-13,2018-10-13,82.1141790652011
1997-07-01,2018-10-13,2018-10-13,81.1258322706018
1997-08-01,2018-10-13,2018-10-13,81.6888532620797
1997-09-01,2018-10-13,2018-10-13,83.2447683245278
1997-10-01,2018-10-13,2018-10-13,82.741021436813
1997-11-01,2018-10-13,2018-10-13,82.2558158741726
1997-12-01,2018-10-13,2018-10-13,82.0926556142588
1998-01-01,2018-10-13,2018-10-13,82.6772097730815
1998-02-01,2018-10-13,2018-10-13,83.0885658185057
1998-03-01,2018-10-13,2018-10-13,83.0943908018056
1998-04-01,2018-10-13,2018-10-13,83.0260294326026
1998-05-01,2018-10-13,2018-10-13,82.1998809740694
1998-06-01,2018-10-13,2018-10-13,81.0466946013238
1998-07-01,2018-10-13,2018-10-13,79.9900706463432
1998-08-01,2018-10-13,2018-10-13,80.5452092062914
1998-09-01,2018-10-13,2018-10-13,81.996097244995
1998-10-01,2018-10-13,2018-10-13,81.830869820449
1998-11-01,2018-10-13,2018-10-13,81.2687459768021
1998-12-01,2018-10-13,2018-10-13,81.2717289123702
1999-01-01,2018-10-13,2018-10-13,81.685083297909
1999-02-01,2018-10-13,2018-10-13,82.0084144045667
1999-03-01,2018-10-13,2018-10-13,81.598691524463
1999-04-01,2018-10-13,2018-10-13,81.1994566911601
1999-05-01,2018-10-13,2018-10-13,80.391483573207
1999-06-01,2018-10-13,2018-10-13,79.344714479464
1999-07-01,2018-10-13,2018-10-13,78.8702091050788
1999-08-01,2018-10-13,2018-10-13,79.4981219003664
1999-09-01,2018-10-13,2018-10-13,81.340128337483
1999-10-01,2018-10-13,2018-10-13,81.3398846177203
1999-11-01,2018-10-13,2018-10-13,80.5373267747616
1999-12-01,2018-10-13,2018-10-13,80.4590117608955
2000-01-01,2018-10-13,2018-10-13,81.521712515941
2000-02-01,2018-10-13,2018-10-13,82.5824732292868
2000-03-01,2018-10-13,2018-10-13,81.4354948280399
2000-04-01,2018-10-13,2018-10-13,80.9558583834335
2000-05-01,2018-10-13,2018-10-13,80.4718746584077
2000-06-01,2018-10-13,2018-10-13,79.7414376227202
2000-07-01,2018-10-13,2018-10-13,79.2645606364244
2000-08-01,2018-10-13,2018-10-13,79.7366158579786
2000-09-01,2018-10-13,2018-10-13,81.340128337483
2000-10-01,2018-10-13,2018-10-13,81.3398846177203
2000-11-01,2018-10-13,2018-10-13,81.5843120584603
2000-12-01,2018-10-13,2018-10-13,81.6658966417684
2001-01-01,2018-10-13,2018-10-13,82.4999736847432
2001-02-01,2018-10-13,2018-10-13,82.5824732292868
2001-03-01,2018-10-13,2018-10-13,82.086978806097
2001-04-01,2018-10-13,2018-10-13,82.2511528106718
2001-05-01,2018-10-13,2018-10-13,81.8398963583733
2001-06-01,2018-10-13,2018-10-13,80.8578182627882
2001-07-01,2018-10-13,2018-10-13,80.4535284710836
2001-08-01,2018-10-13,2018-10-13,80.5339827129005
2001-09-01,2018-10-13,2018-10-13,81.258788283638
2001-10-01,2018-10-13,2018-10-13,81.5025647254104
2001-11-01,2018-10-13,2018-10-13,81.3395591182364
2001-12-01,2018-10-13,2018-10-13,81.4208991720815
2002-01-01,2018-10-13,2018-10-13,81.665161433979
2002-02-01,2018-10-13,2018-10-13,82.5634784720957
2002-03-01,2018-10-13,2018-10-13,81.4901536406146
2002-04-01,2018-10-13,2018-10-13,81.2456824760632
2002-05-01,2018-10-13,2018-10-13,81.001945709601
2002-06-01,2018-10-13,2018-10-13,80.272928078379
2002-07-01,2018-10-13,2018-10-13,79.7110179955871
2002-08-01,2018-10-13,2018-10-13,79.9501508066638
2002-09-01,2018-10-13,2018-10-13,80.7496520313354
2002-10-01,2018-10-13,2018-10-13,80.9111515961215
2002-11-01,2018-10-13,2018-10-13,80.830240683387
2002-12-01,2018-10-13,2018-10-13,81.0727313212283
2003-01-01,2018-10-13,2018-10-13,81.9645310823668
2003-02-01,2018-10-13,2018-10-13,82.7022116961195
2003-03-01,2018-10-13,2018-10-13,82.2059990688448
2003-04-01,2018-10-13,2018-10-13,82.0415870124086
2003-05-01,2018-10-13,2018-10-13,81.4672958037286
2003-06-01,2018-10-13,2018-10-13,80.4896880629947
2003-07-01,2018-10-13,2018-10-13,80.0872395295642
2003-08-01,2018-10-13,2018-10-13,80.6478500435214
2003-09-01,2018-10-13,2018-10-13,81.6156247849234
2003-10-01,2018-10-13,2018-10-13,82.3501653812676
2003-11-01,2018-10-13,2018-10-13,83.1736669298192
2003-12-01,2018-10-13,2018-10-13,83.6727086496224
2004-01-01,2018-10-13,2018-10-13,84.5931086415255
2004-02-01,2018-10-13,2018-10-13,84.42392259266
2004-03-01,2018-10-13,2018-10-13,84.6771943887775
