date,realtime_start,realtime_end,value
1993-01-01,2018-10-13,2018-10-13,47.9909791299771
1993-04-01,2018-10-13,2018-10-13,50.5529691031895
1993-07-01,2018-10-13,2018-10-13,51.574955432751
1993-10-01,2018-10-13,2018-10-13,54.0683772933071
1994-01-01,2018-10-13,2018-10-13,58.662481866089
1994-04-01,2018-10-13,2018-10-13,61.6074627369216
1994-07-01,2018-10-13,2018-10-13,64.8430479814848
1994-10-01,2018-10-13,2018-10-13,68.6039678009217
1995-01-01,2018-10-13,2018-10-13,71.9105208396591
1995-04-01,2018-10-13,2018-10-13,73.7594472446577
1995-07-01,2018-10-13,2018-10-13,74.4121722232343
1995-10-01,2018-10-13,2018-10-13,76.2370081577296
1996-01-01,2018-10-13,2018-10-13,78.6472244151603
1996-04-01,2018-10-13,2018-10-13,80.4466422407104
1996-07-01,2018-10-13,2018-10-13,80.3105275871608
1996-10-01,2018-10-13,2018-10-13,81.5482288482689
1997-01-01,2018-10-13,2018-10-13,82.706143600332
1997-04-01,2018-10-13,2018-10-13,82.8067396746354
1997-07-01,2018-10-13,2018-10-13,82.0198179524031
1997-10-01,2018-10-13,2018-10-13,82.3631643084148
1998-01-01,2018-10-13,2018-10-13,82.9533887977976
1998-04-01,2018-10-13,2018-10-13,82.0908683359986
1998-07-01,2018-10-13,2018-10-13,80.8437923658765
1998-10-01,2018-10-13,2018-10-13,81.4571149032071
1999-01-01,2018-10-13,2018-10-13,81.7640630756462
1999-04-01,2018-10-13,2018-10-13,80.3118849146104
1999-07-01,2018-10-13,2018-10-13,79.9028197809761
1999-10-01,2018-10-13,2018-10-13,80.7787410511258
2000-01-01,2018-10-13,2018-10-13,81.8465601910892
2000-04-01,2018-10-13,2018-10-13,80.3897235548538
2000-07-01,2018-10-13,2018-10-13,80.1137682772953
2000-10-01,2018-10-13,2018-10-13,81.530031105983
2001-01-01,2018-10-13,2018-10-13,82.3898085733757
2001-04-01,2018-10-13,2018-10-13,81.6496224772778
2001-07-01,2018-10-13,2018-10-13,80.7487664892074
2001-10-01,2018-10-13,2018-10-13,81.4210076719095
2002-01-01,2018-10-13,2018-10-13,81.9062645155631
2002-04-01,2018-10-13,2018-10-13,80.8401854213477
2002-07-01,2018-10-13,2018-10-13,80.1369402778621
2002-10-01,2018-10-13,2018-10-13,80.9380412002456
2003-01-01,2018-10-13,2018-10-13,82.2909139491103
2003-04-01,2018-10-13,2018-10-13,81.3328569597106
2003-07-01,2018-10-13,2018-10-13,80.7835714526696
2003-10-01,2018-10-13,2018-10-13,83.0655136535698
2004-01-01,2018-10-13,2018-10-13,84.564741874321
2004-04-01,2018-10-13,2018-10-13,84.8454770821103
2004-07-01,2018-10-13,2018-10-13,84.9557890191157
2004-10-01,2018-10-13,2018-10-13,85.6315021963118
2005-01-01,2018-10-13,2018-10-13,86.8867523599387
2005-04-01,2018-10-13,2018-10-13,86.2708139511346
2005-07-01,2018-10-13,2018-10-13,86.0668612646168
2005-10-01,2018-10-13,2018-10-13,86.8128445443074
2006-01-01,2018-10-13,2018-10-13,88.1154157473195
2006-04-01,2018-10-13,2018-10-13,87.7015544894503
2006-07-01,2018-10-13,2018-10-13,87.4372513376922
2006-10-01,2018-10-13,2018-10-13,88.4907001882553
2007-01-01,2018-10-13,2018-10-13,90.5365621478648
2007-04-01,2018-10-13,2018-10-13,90.8663859705944
2007-07-01,2018-10-13,2018-10-13,92.8492554131832
2007-10-01,2018-10-13,2018-10-13,94.4354511042286
2008-01-01,2018-10-13,2018-10-13,97.8669184834315
2008-04-01,2018-10-13,2018-10-13,98.0116299939947
2008-07-01,2018-10-13,2018-10-13,97.782434903477
2008-10-01,2018-10-13,2018-10-13,96.8723502223302
2009-01-01,2018-10-13,2018-10-13,97.25456326795
2009-04-01,2018-10-13,2018-10-13,96.5110498437953
2009-07-01,2018-10-13,2018-10-13,96.5413347368137
2009-10-01,2018-10-13,2018-10-13,97.3826440760308
2010-01-01,2018-10-13,2018-10-13,99.2692455618307
2010-04-01,2018-10-13,2018-10-13,99.1342955270811
2010-07-01,2018-10-13,2018-10-13,99.6929886709446
2010-10-01,2018-10-13,2018-10-13,101.903470240144
2011-01-01,2018-10-13,2018-10-13,104.454720195301
2011-04-01,2018-10-13,2018-10-13,105.036846092619
2011-07-01,2018-10-13,2018-10-13,106.111668676412
2011-10-01,2018-10-13,2018-10-13,106.612352863309
2012-01-01,2018-10-13,2018-10-13,108.348058044552
2012-04-01,2018-10-13,2018-10-13,107.947510695035
2012-07-01,2018-10-13,2018-10-13,108.125466910043
2012-10-01,2018-10-13,2018-10-13,108.854598471191
2013-01-01,2018-10-13,2018-10-13,111.017341842884
2013-04-01,2018-10-13,2018-10-13,110.528475482955
2013-07-01,2018-10-13,2018-10-13,111.081090578072
2013-10-01,2018-10-13,2018-10-13,112.005096080011
2014-01-01,2018-10-13,2018-10-13,113.504751597744
2014-04-01,2018-10-13,2018-10-13,112.891833600591
2014-07-01,2018-10-13,2018-10-13,113.198292599167
2014-10-01,2018-10-13,2018-10-13,113.581366347388
2015-01-01,2018-10-13,2018-10-13,114.807202341694
2015-04-01,2018-10-13,2018-10-13,114.424128593473
2015-07-01,2018-10-13,2018-10-13,115.228583464736
2015-10-01,2018-10-13,2018-10-13,115.228583464736
2016-01-01,2018-10-13,2018-10-13,117.220566955483
2016-04-01,2018-10-13,2018-10-13,116.837493207263
2016-07-01,2018-10-13,2018-10-13,117.105644831017
2016-10-01,2018-10-13,2018-10-13,117.71856282817
2017-01-01,2018-10-13,2018-10-13,118.906091447653
2017-04-01,2018-10-13,2018-10-13,118.599632449077
2017-07-01,2018-10-13,2018-10-13,118.982706197298
2017-10-01,2018-10-13,2018-10-13,119.863775818205
2018-01-01,2018-10-13,2018-10-13,121.434378185909
2018-04-01,2018-10-13,2018-10-13,120.629923314646
