date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,1.43281631630841
1960-04-01,2018-10-13,2018-10-13,1.49346230490018
1960-07-01,2018-10-13,2018-10-13,1.51022744537288
1960-10-01,2018-10-13,2018-10-13,1.47127694747569
1961-01-01,2018-10-13,2018-10-13,1.58418513584892
1961-04-01,2018-10-13,2018-10-13,1.61377211147599
1961-07-01,2018-10-13,2018-10-13,1.62461498252746
1961-10-01,2018-10-13,2018-10-13,1.56939164803538
1962-01-01,2018-10-13,2018-10-13,1.6004555352959
1962-04-01,2018-10-13,2018-10-13,1.70054432566266
1962-07-01,2018-10-13,2018-10-13,1.74788104951806
1962-10-01,2018-10-13,2018-10-13,1.76612310162421
1963-01-01,2018-10-13,2018-10-13,1.85536902093951
1963-04-01,2018-10-13,2018-10-13,1.94164893124836
1963-07-01,2018-10-13,2018-10-13,2.22712912597886
1963-10-01,2018-10-13,2018-10-13,2.20099315179231
1964-01-01,2018-10-13,2018-10-13,2.54218654774478
1964-04-01,2018-10-13,2018-10-13,2.72856499701204
1964-07-01,2018-10-13,2018-10-13,2.62995311827872
1964-10-01,2018-10-13,2018-10-13,2.74779409402173
1965-01-01,2018-10-13,2018-10-13,2.93067036174236
1965-04-01,2018-10-13,2018-10-13,3.03229942958823
1965-07-01,2018-10-13,2018-10-13,3.0888412610996
1965-10-01,2018-10-13,2018-10-13,3.03936715852715
1966-01-01,2018-10-13,2018-10-13,3.17633487106762
1966-04-01,2018-10-13,2018-10-13,3.33572434437985
1966-07-01,2018-10-13,2018-10-13,3.42199938039289
1966-10-01,2018-10-13,2018-10-13,3.51875415241881
1967-01-01,2018-10-13,2018-10-13,3.55921080772436
1967-04-01,2018-10-13,2018-10-13,3.71543198875362
1967-07-01,2018-10-13,2018-10-13,3.75564492926817
1967-10-01,2018-10-13,2018-10-13,3.88651977203371
1968-01-01,2018-10-13,2018-10-13,4.02348748457419
1968-04-01,2018-10-13,2018-10-13,4.07905445692157
1968-07-01,2018-10-13,2018-10-13,4.11439310161618
1968-10-01,2018-10-13,2018-10-13,4.30668407171304
1969-01-01,2018-10-13,2018-10-13,4.46290525274229
1969-04-01,2018-10-13,2018-10-13,4.5435748485624
