date,realtime_start,realtime_end,value
1960-01-01,2018-10-13,2018-10-13,.
1961-01-01,2018-10-13,2018-10-13,.
1962-01-01,2018-10-13,2018-10-13,.
1963-01-01,2018-10-13,2018-10-13,.
1964-01-01,2018-10-13,2018-10-13,.
1965-01-01,2018-10-13,2018-10-13,.
1966-01-01,2018-10-13,2018-10-13,.
1967-01-01,2018-10-13,2018-10-13,.
1968-01-01,2018-10-13,2018-10-13,.
1969-01-01,2018-10-13,2018-10-13,0.0160667723708051
1970-01-01,2018-10-13,2018-10-13,0.0168706567611908
1971-01-01,2018-10-13,2018-10-13,0.0177933165288565
1972-01-01,2018-10-13,2018-10-13,0.0186729626474329
1973-01-01,2018-10-13,2018-10-13,0.0209290196571994
1974-01-01,2018-10-13,2018-10-13,0.0259067829804346
1975-01-01,2018-10-13,2018-10-13,0.0297784289532139
1976-01-01,2018-10-13,2018-10-13,0.0344907818651965
1977-01-01,2018-10-13,2018-10-13,0.0445152263304348
1978-01-01,2018-10-13,2018-10-13,0.0522863808735516
1979-01-01,2018-10-13,2018-10-13,0.0617979273606922
1980-01-01,2018-10-13,2018-10-13,0.0780826991478873
1981-01-01,2018-10-13,2018-10-13,0.099894133775077
1982-01-01,2018-10-13,2018-10-13,0.158745191561126
1983-01-01,2018-10-13,2018-10-13,0.320466742612228
1984-01-01,2018-10-13,2018-10-13,0.53020841782615
1985-01-01,2018-10-13,2018-10-13,0.836395539373126
1986-01-01,2018-10-13,2018-10-13,1.55764708847146
1987-01-01,2018-10-13,2018-10-13,3.61105270698163
1988-01-01,2018-10-13,2018-10-13,7.73351166705092
1989-01-01,2018-10-13,2018-10-13,9.2808232834062
1990-01-01,2018-10-13,2018-10-13,11.7543180144723
1991-01-01,2018-10-13,2018-10-13,14.418124498925
1992-01-01,2018-10-13,2018-10-13,16.6540726658841
1993-01-01,2018-10-13,2018-10-13,18.2780879622006
1994-01-01,2018-10-13,2018-10-13,19.5513054364293
1995-01-01,2018-10-13,2018-10-13,26.3941183048841
1996-01-01,2018-10-13,2018-10-13,35.4679897214918
1997-01-01,2018-10-13,2018-10-13,42.7834852012299
1998-01-01,2018-10-13,2018-10-13,49.5982065905487
1999-01-01,2018-10-13,2018-10-13,57.8243762684866
2000-01-01,2018-10-13,2018-10-13,63.312811594595
2001-01-01,2018-10-13,2018-10-13,67.3444047245733
2002-01-01,2018-10-13,2018-10-13,70.732321603158
2003-01-01,2018-10-13,2018-10-13,73.9484480787418
2004-01-01,2018-10-13,2018-10-13,77.4154524025727
2005-01-01,2018-10-13,2018-10-13,80.5028276631082
2006-01-01,2018-10-13,2018-10-13,83.4246481888371
2007-01-01,2018-10-13,2018-10-13,86.7339785361081
2008-01-01,2018-10-13,2018-10-13,91.1790790569436
2009-01-01,2018-10-13,2018-10-13,96.0091604992871
2010-01-01,2018-10-13,2018-10-13,100.000000000000000000000000000000
2011-01-01,2018-10-13,2018-10-13,103.407379616713
2012-01-01,2018-10-13,2018-10-13,107.658982866408
2013-01-01,2018-10-13,2018-10-13,111.756903434246
2014-01-01,2018-10-13,2018-10-13,116.247985579976
2015-01-01,2018-10-13,2018-10-13,119.410676242572
2016-01-01,2018-10-13,2018-10-13,122.780096550463
2017-01-01,2018-10-13,2018-10-13,130.197801843039
