date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,4.95215818464447
1960-04-01,2018-10-13,2018-10-13,4.96080827123272
1960-07-01,2018-10-13,2018-10-13,5.00405859382294
1960-10-01,2018-10-13,2018-10-13,5.05163390453176
1961-01-01,2018-10-13,2018-10-13,5.03000874323666
1961-04-01,2018-10-13,2018-10-13,5.03000874323666
1961-07-01,2018-10-13,2018-10-13,5.10785930182884
1961-10-01,2018-10-13,2018-10-13,5.1597597110073
1962-01-01,2018-10-13,2018-10-13,5.17705977383277
1962-04-01,2018-10-13,2018-10-13,5.19435983665823
1962-07-01,2018-10-13,2018-10-13,5.23328517112984
1962-10-01,2018-10-13,2018-10-13,5.26788529678077
1963-01-01,2018-10-13,2018-10-13,5.27221039525041
1963-04-01,2018-10-13,2018-10-13,5.29383555654552
1963-07-01,2018-10-13,2018-10-13,5.33276078066609
1963-10-01,2018-10-13,2018-10-13,5.38466107949352
1964-01-01,2018-10-13,2018-10-13,5.40628635113967
1964-04-01,2018-10-13,2018-10-13,5.45386155149745
1964-07-01,2018-10-13,2018-10-13,5.53603720855928
1964-10-01,2018-10-13,2018-10-13,5.62686273150728
1965-01-01,2018-10-13,2018-10-13,5.63983791656517
1965-04-01,2018-10-13,2018-10-13,5.64848789280239
1965-07-01,2018-10-13,2018-10-13,5.72201346327596
1965-10-01,2018-10-13,2018-10-13,5.76093868739654
1966-01-01,2018-10-13,2018-10-13,5.79988123662962
1966-04-01,2018-10-13,2018-10-13,5.83403168181252
1966-07-01,2018-10-13,2018-10-13,5.86818212699543
1966-10-01,2018-10-13,2018-10-13,5.896640776139
1967-01-01,2018-10-13,2018-10-13,6.04462603859825
1967-04-01,2018-10-13,2018-10-13,6.2096863581224
1967-07-01,2018-10-13,2018-10-13,6.27798724848821
1967-10-01,2018-10-13,2018-10-13,6.28367893417651
1968-01-01,2018-10-13,2018-10-13,6.34628813885402
1968-04-01,2018-10-13,2018-10-13,6.43166419663577
1968-07-01,2018-10-13,2018-10-13,6.50565677268988
1968-10-01,2018-10-13,2018-10-13,6.60241631219926
1969-01-01,2018-10-13,2018-10-13,6.69348416602033
1969-04-01,2018-10-13,2018-10-13,6.76747674207444
