date,realtime_start,realtime_end,value
1992-01-01,2018-10-13,2018-10-13,0.0158098740340977
1992-02-01,2018-10-13,2018-10-13,0.0218176261670548
1992-03-01,2018-10-13,2018-10-13,0.0283410963910042
1992-04-01,2018-10-13,2018-10-13,0.0344911143078522
1992-05-01,2018-10-13,2018-10-13,0.0385955569104866
1992-06-01,2018-10-13,2018-10-13,0.0459673082803895
1992-07-01,2018-10-13,2018-10-13,0.0508398429581108
1992-08-01,2018-10-13,2018-10-13,0.0552120694525084
1992-09-01,2018-10-13,2018-10-13,0.0615614574395468
1992-10-01,2018-10-13,2018-10-13,0.075659031193203
1992-11-01,2018-10-13,2018-10-13,0.095406038334629
1992-12-01,2018-10-13,2018-10-13,0.119448359994956
1993-01-01,2018-10-13,2018-10-13,0.150266036873654
1993-02-01,2018-10-13,2018-10-13,0.187381747981447
1993-03-01,2018-10-13,2018-10-13,0.225045479325717
1993-04-01,2018-10-13,2018-10-13,0.267128983959627
1993-05-01,2018-10-13,2018-10-13,0.315479330056319
1993-06-01,2018-10-13,2018-10-13,0.378259716737526
1993-07-01,2018-10-13,2018-10-13,0.462989893286732
1993-08-01,2018-10-13,2018-10-13,0.583367265541283
1993-09-01,2018-10-13,2018-10-13,0.717541736615778
1993-10-01,2018-10-13,2018-10-13,0.857462375255854
1993-11-01,2018-10-13,2018-10-13,0.998086204797815
1993-12-01,2018-10-13,2018-10-13,1.12284698039754
1994-01-01,2018-10-13,2018-10-13,1.3238365898887
1994-02-01,2018-10-13,2018-10-13,1.46707570891466
1994-03-01,2018-10-13,2018-10-13,1.57578601894524
1994-04-01,2018-10-13,2018-10-13,1.70957025195369
1994-05-01,2018-10-13,2018-10-13,1.82770155636369
1994-06-01,2018-10-13,2018-10-13,1.93736364974551
1994-07-01,2018-10-13,2018-10-13,2.04062513227694
1994-08-01,2018-10-13,2018-10-13,2.13490201338814
1994-09-01,2018-10-13,2018-10-13,2.30484021365383
1994-10-01,2018-10-13,2018-10-13,2.65056624570191
1994-11-01,2018-10-13,2018-10-13,3.03781397419896
1994-12-01,2018-10-13,2018-10-13,3.53723059155726
1995-01-01,2018-10-13,2018-10-13,4.16579646767699
1995-02-01,2018-10-13,2018-10-13,4.62486723841499
1995-03-01,2018-10-13,2018-10-13,5.0383303695293
1995-04-01,2018-10-13,2018-10-13,5.46507695182843
1995-05-01,2018-10-13,2018-10-13,5.89845755410842
1995-06-01,2018-10-13,2018-10-13,6.29129482721204
1995-07-01,2018-10-13,2018-10-13,6.62976648891605
1995-08-01,2018-10-13,2018-10-13,6.93208384081062
1995-09-01,2018-10-13,2018-10-13,7.24125478011078
1995-10-01,2018-10-13,2018-10-13,7.583042005732
1995-11-01,2018-10-13,2018-10-13,7.92882872119338
1995-12-01,2018-10-13,2018-10-13,8.18255124027157
