date,realtime_start,realtime_end,value
1955-01-01,2018-10-13,2018-10-13,.
1955-04-01,2018-10-13,2018-10-13,.
1955-07-01,2018-10-13,2018-10-13,.
1955-10-01,2018-10-13,2018-10-13,.
1956-01-01,2018-10-13,2018-10-13,.
1956-04-01,2018-10-13,2018-10-13,.
1956-07-01,2018-10-13,2018-10-13,.
1956-10-01,2018-10-13,2018-10-13,.
1957-01-01,2018-10-13,2018-10-13,.
1957-04-01,2018-10-13,2018-10-13,.
1957-07-01,2018-10-13,2018-10-13,.
1957-10-01,2018-10-13,2018-10-13,.
1958-01-01,2018-10-13,2018-10-13,.
1958-04-01,2018-10-13,2018-10-13,.
1958-07-01,2018-10-13,2018-10-13,.
1958-10-01,2018-10-13,2018-10-13,.
1959-01-01,2018-10-13,2018-10-13,.
1959-04-01,2018-10-13,2018-10-13,.
1959-07-01,2018-10-13,2018-10-13,.
1959-10-01,2018-10-13,2018-10-13,.
1960-01-01,2018-10-13,2018-10-13,2.8546570162647
1960-04-01,2018-10-13,2018-10-13,2.84731575330882
1960-07-01,2018-10-13,2018-10-13,2.85137289066795
1960-10-01,2018-10-13,2018-10-13,2.88189772111129
1961-01-01,2018-10-13,2018-10-13,2.8894323674959
1961-04-01,2018-10-13,2018-10-13,2.87030593736756
1961-07-01,2018-10-13,2018-10-13,2.86122578941079
1961-10-01,2018-10-13,2018-10-13,2.90681991262336
1962-01-01,2018-10-13,2018-10-13,2.9373447430667
1962-04-01,2018-10-13,2018-10-13,3.03123800870755
1962-07-01,2018-10-13,2018-10-13,3.05558057188599
1962-10-01,2018-10-13,2018-10-13,3.16145160519917
1963-01-01,2018-10-13,2018-10-13,3.2605610038901
1963-04-01,2018-10-13,2018-10-13,3.30074561062384
1963-07-01,2018-10-13,2018-10-13,3.32103103644316
1963-10-01,2018-10-13,2018-10-13,3.36875028956152
1964-01-01,2018-10-13,2018-10-13,3.39096798381046
1964-04-01,2018-10-13,2018-10-13,3.43250470868762
1964-07-01,2018-10-13,2018-10-13,3.58957276512094
1964-10-01,2018-10-13,2018-10-13,3.76286911001445
1965-01-01,2018-10-13,2018-10-13,3.91259590349189
1965-04-01,2018-10-13,2018-10-13,3.98890824057654
1965-07-01,2018-10-13,2018-10-13,4.01383017111232
1965-10-01,2018-10-13,2018-10-13,4.1338046239562
1966-01-01,2018-10-13,2018-10-13,4.16896595911601
1966-04-01,2018-10-13,2018-10-13,4.25146056346556
1966-07-01,2018-10-13,2018-10-13,4.27561000419156
1966-10-01,2018-10-13,2018-10-13,4.35462709951562
1967-01-01,2018-10-13,2018-10-13,4.4297804409093
1967-04-01,2018-10-13,2018-10-13,4.51285415163991
1967-07-01,2018-10-13,2018-10-13,4.54260623129718
1967-10-01,2018-10-13,2018-10-13,4.65523916020889
1968-01-01,2018-10-13,2018-10-13,4.7164824655006
1968-04-01,2018-10-13,2018-10-13,4.78429402198583
1968-07-01,2018-10-13,2018-10-13,4.74797316918247
1968-10-01,2018-10-13,2018-10-13,4.79047628925074
1969-01-01,2018-10-13,2018-10-13,4.80148818368455
1969-04-01,2018-10-13,2018-10-13,4.84901457532675
